type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T172833.000Z,,54000017,Master III,72000007,Friendly,,collection,#9QJVQRYP,Maestro Riesco,6908,2,#YJV8LPP2,La Resistencia,16000028,Miner,3,6,Wall Breakers,6,9,Mega Knight,3,6,Bats,11,14,Prince,6,9,Arrows,11,14,Musketeer,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PUYUJCGCP,⚡エㄚタղ⚡,6063,1,#GGU8QY,AlmasDeFuego,16000000,Royal Giant,11,14,Fireball,9,12,The Log,3,6,Dark Prince,6,9,Skeletons,11,14,Fisherman,3,6,Mega Minion,9,12,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T172359.000Z,,54000015,Master I,72000007,Friendly,,collection,#9QJVQRYP,Maestro Riesco,6908,1,#YJV8LPP2,La Resistencia,16000028,Heal Spirit,9,12,Mother Witch,3,6,Cannon Cart,6,9,Royal Ghost,3,6,Elite Barbarians,11,14,Bandit,3,6,Barbarian Barrel,6,9,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PUYUJCGCP,⚡エㄚタղ⚡,6063,2,#GGU8QY,AlmasDeFuego,16000000,Balloon,6,9,Skeleton Dragons,11,14,Mega Minion,9,12,Zap,11,14,Lava Hound,3,6,Fireball,9,12,Valkyrie,9,12,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T172041.000Z,,54000015,Master I,72000007,Friendly,,collection,#9QJVQRYP,Maestro Riesco,6908,2,#YJV8LPP2,La Resistencia,16000028,Balloon,6,9,Minions,11,14,Mega Minion,9,12,Arrows,11,14,Lava Hound,3,6,Lightning,6,9,Golden Knight,1,4,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PUYUJCGCP,⚡エㄚタղ⚡,6063,0,#GGU8QY,AlmasDeFuego,16000000,Mortar,11,14,Archer Queen,1,4,The Log,3,6,Fireball,9,12,Miner,3,6,Knight,11,14,Bats,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T171723.000Z,,54000017,Master III,72000007,Friendly,,collection,#9QJVQRYP,Maestro Riesco,6908,2,#YJV8LPP2,La Resistencia,16000028,Balloon,6,9,Minions,11,14,Mega Minion,9,12,Arrows,11,14,Lava Hound,3,6,Lightning,6,9,Golden Knight,1,4,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PUYUJCGCP,⚡エㄚタղ⚡,6063,1,#GGU8QY,AlmasDeFuego,16000000,Balloon,6,9,Lumberjack,3,6,Electro Dragon,6,9,Barbarian Barrel,6,9,Bowler,6,9,Tornado,6,9,Freeze,6,9,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T170822.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,2,eventDeck,#9QJVQRYP,Maestro Riesco,6908,3,#YJV8LPP2,La Resistencia,16000028,Ram Rider,3,6,Mega Knight,3,6,Electro Wizard,3,6,Bandit,3,6,Royal Ghost,3,6,Giant Snowball,11,14,Poison,6,9,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQY9QQQ0,n^n,5161,0,,,,Ram Rider,3,6,P.E.K.K.A,6,9,Bandit,3,6,Electro Wizard,3,6,Baby Dragon,6,9,Barbarian Barrel,6,9,Zap,11,14,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T170352.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,1,eventDeck,#9QJVQRYP,Maestro Riesco,6908,1,#YJV8LPP2,La Resistencia,16000028,Ram Rider,3,6,Mega Knight,3,6,Electro Wizard,3,6,Bandit,3,6,Royal Ghost,3,6,Giant Snowball,11,14,Poison,6,9,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GQG29P02,TwisT,5565,0,#J9QLRR,:v,16000165,Ram Rider,3,6,Mega Knight,3,6,Mini P.E.K.K.A,9,12,Wizard,9,12,Furnace,9,12,Zap,11,14,Fireball,9,12,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T170025.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#9QJVQRYP,Maestro Riesco,6908,3,#YJV8LPP2,La Resistencia,16000028,Ram Rider,3,6,Mega Knight,3,6,Electro Wizard,3,6,Bandit,3,6,Royal Ghost,3,6,Giant Snowball,11,14,Poison,6,9,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GGRGU2R,marc empire,5729,0,,,,Ram Rider,3,6,Freeze,6,9,Earthquake,9,12,Bomb Tower,9,12,Zap,11,14,Firecracker,11,14,Arrows,11,14,Elixir Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165600.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9QJVQRYP,Maestro Riesco,6879,3,#YJV8LPP2,La Resistencia,16000028,Balloon,9,9,Minions,14,14,Mega Minion,12,12,Arrows,14,14,Lava Hound,6,6,Lightning,9,9,Valkyrie,12,12,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCYJRJY0,υκ TooGood ρκ,6878,1,#LQ29LY2Y,Mortar Cycle,16000152,Knight,14,14,Tornado,9,9,Archers,14,14,Mortar,14,14,Rocket,12,12,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T162632.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#9QJVQRYP,Maestro Riesco,6879,1,#YJV8LPP2,La Resistencia,16000028,Baby Dragon,6,9,Flying Machine,9,12,Electro Giant,6,9,Poison,6,9,Night Witch,3,6,Elite Barbarians,11,14,Royal Delivery,11,14,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9P0R0CRV,Carba,5309,0,#G0Y8G9CC,Sota de bastos,16000009,Electro Wizard,3,6,Firecracker,11,14,Hog Rider,9,12,Lightning,6,9,Bowler,6,9,Furnace,9,12,Zap,11,14,Fisherman,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T162143.000Z,,54000008,Arena 7,72000087,ClassicDecks_Friendly,,predefined,#9QJVQRYP,Maestro Riesco,6879,1,#YJV8LPP2,La Resistencia,16000028,Royal Hogs,9,12,Bandit,3,6,Flying Machine,9,12,Bats,11,14,Barbarians,11,14,Musketeer,9,12,Barbarian Barrel,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9P0R0CRV,Carba,5309,0,#G0Y8G9CC,Sota de bastos,16000009,Goblin Giant,6,9,Goblin Cage,9,12,Dark Prince,6,9,Electro Wizard,3,6,Sparky,3,6,Mega Minion,9,12,Giant Snowball,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
