type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T144151.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#9RJGC8LL9,芝っち,6829,1,#8QP9RCUC,Selene Vert,16000031,Ram Rider,3,6,Mirror,6,9,Knight,11,14,Cannon,11,14,Skeletons,11,14,Fire Spirit,11,14,Electro Spirit,11,14,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G08VU22G,AKHMADOV,5221,0,#PLJY8CCC,Crimson Tide,16000097,Ram Rider,3,6,The Log,3,6,Mega Knight,3,6,Goblin Barrel,6,9,Skeleton Army,6,9,Valkyrie,9,12,Bats,11,14,Furnace,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T143837.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#9RJGC8LL9,芝っち,6829,0,#8QP9RCUC,Selene Vert,16000031,Ram Rider,3,6,Mirror,6,9,Knight,11,14,Cannon,11,14,Skeletons,11,14,Fire Spirit,11,14,Electro Spirit,11,14,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LYJ8YPC,LaDouille,6130,1,#9GPLU8CP,Hyper Actifs Fr,16000078,Ram Rider,3,6,Royal Ghost,3,6,Archer Queen,1,4,The Log,3,6,Mega Knight,3,6,Lightning,6,9,Bandit,3,6,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T143520.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#9RJGC8LL9,芝っち,6829,2,#8QP9RCUC,Selene Vert,16000031,Ram Rider,3,6,Mirror,6,9,Knight,11,14,Cannon,11,14,Skeletons,11,14,Fire Spirit,11,14,Electro Spirit,11,14,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Q9G8UJJ,VICTOR,5301,0,,,,Ram Rider,3,6,Archer Queen,1,4,Bandit,3,6,Royal Ghost,3,6,Mega Knight,3,6,Lightning,6,9,Electro Spirit,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T143157.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,5,eventDeck,#9RJGC8LL9,芝っち,6829,1,#8QP9RCUC,Selene Vert,16000031,Ram Rider,3,6,Mirror,6,9,Knight,11,14,Cannon,11,14,Skeletons,11,14,Fire Spirit,11,14,Electro Spirit,11,14,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YCGCCYUGR,Juan,5205,0,#LG9Q8C8R,Perro,16000136,Ram Rider,3,6,Archer Queen,1,4,Bandit,3,6,Electro Wizard,3,6,The Log,3,6,Dark Prince,6,9,Bowler,6,9,Princess,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T142818.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#9RJGC8LL9,芝っち,6829,3,#8QP9RCUC,Selene Vert,16000031,Ram Rider,3,6,Mirror,6,9,Knight,11,14,Cannon,11,14,Skeletons,11,14,Fire Spirit,11,14,Electro Spirit,11,14,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YPQ2RR8Y,•Alvaro°⭐,5617,0,#LLG2PL0Y,Warañeros,16000043,Ram Rider,3,6,Electro Spirit,11,14,Skeleton Army,6,9,Goblin Cage,9,12,Fireball,9,12,Electro Wizard,3,6,Magic Archer,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142321.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9RJGC8LL9,芝っち,6800,1,#8QP9RCUC,Selene Vert,16000031,Miner,6,6,Balloon,9,9,Cannon,14,14,Valkyrie,12,12,Executioner,9,9,Tornado,8,9,Zap,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6797,0,#LQ29RGCU,YouTube,16000012,Electro Wizard,6,6,Royal Ghost,6,6,Ram Rider,6,6,Giant Snowball,14,14,Lightning,9,9,Golden Knight,4,4,Barbarian Barrel,9,9,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141849.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9RJGC8LL9,芝っち,6772,1,#8QP9RCUC,Selene Vert,16000031,Miner,6,6,Balloon,9,9,Cannon,14,14,Valkyrie,12,12,Executioner,9,9,Tornado,8,9,Zap,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GCUVJYP,David,6760,0,,,,Mega Knight,6,6,Inferno Dragon,6,6,Electro Wizard,6,6,Zap,14,14,Miner,6,6,Bats,14,14,Bandit,6,6,The Log,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141458.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9RJGC8LL9,芝っち,6796,0,#8QP9RCUC,Selene Vert,16000031,Miner,6,6,Balloon,9,9,Cannon,14,14,Valkyrie,12,12,Executioner,9,9,Tornado,8,9,Zap,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QV8V2,Log❤️Princess,6864,1,#YGL9PU80,Troops Of War,16000161,Inferno Tower,12,12,Goblin Barrel,9,9,Rocket,12,12,Knight,14,14,Goblin Gang,14,14,The Log,6,6,Princess,6,6,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140829.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9RJGC8LL9,芝っち,6768,1,#8QP9RCUC,Selene Vert,16000031,Miner,6,6,Balloon,9,9,Cannon,14,14,Valkyrie,12,12,Executioner,9,9,Tornado,8,9,Zap,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y08R8CR,THE PRINCE,6752,0,,,,Valkyrie,12,12,Musketeer,12,12,Tornado,9,9,The Log,6,6,Hog Rider,12,12,Elite Barbarians,14,14,Ice Spirit,14,14,Executioner,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140338.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9RJGC8LL9,芝っち,6741,1,#8QP9RCUC,Selene Vert,16000031,Miner,6,6,Balloon,9,9,Cannon,14,14,Valkyrie,12,12,Executioner,9,9,Tornado,8,9,Zap,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PLLPVURP,vadimdmish,6707,0,#LQYPP289,Сила дивана,16000142,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Ice Golem,12,12,Cannon,14,14,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
