type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T160909.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#G0QG82808,Josh DH,6143,0,#PUPLQ08J,the sevens gods,16000028,Inferno Dragon,6,6,Bowler,9,9,Balloon,9,9,Lumberjack,6,6,Electro Dragon,9,9,Barbarian Barrel,9,9,Freeze,9,9,Tornado,9,9,#9RPPU0GYY,"PATRON13 \,,/",,0,#PUPLQ08J,the sevens gods,16000028,Zap,13,14,Lumberjack,5,6,Electro Wizard,5,6,Tornado,8,9,Freeze,8,9,Executioner,8,9,Balloon,9,9,P.E.K.K.A,9,9,#VVJ2QPQU,退游了，辣鸡游戏,5236,3,#L0Y8VJJG,PWR战队,16000144,Arrows,13,14,Valkyrie,11,12,Wizard,12,12,Freeze,8,9,Lumberjack,6,6,Goblin Barrel,9,9,Mini P.E.K.K.A,11,12,Hog Rider,11,12,#2PYPGLYVJ,墨雪无常,,3,#YVY2PP0C,丿Mars灬丨如梦令,16000000,Wizard,12,12,Tornado,9,9,Royal Recruits,13,14,Dart Goblin,12,12,The Log,6,6,Knight,14,14,Mini P.E.K.K.A,12,12,Goblin Barrel,8,9
casual2v2,20220104T153856.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#PQ89V8RQV,WEED MAN,6135,1,#PUPLQ08J,the sevens gods,16000028,Magic Archer,6,6,Electro Wizard,6,6,Bandit,6,6,Cannon Cart,9,9,Barbarian Barrel,9,9,Royal Ghost,6,6,Fireball,12,12,Goblin Drill,9,9,#9RPPU0GYY,"PATRON13 \,,/",,1,#PUPLQ08J,the sevens gods,16000028,Zap,13,14,Lumberjack,5,6,Electro Wizard,5,6,Tornado,8,9,Freeze,8,9,Executioner,8,9,Balloon,9,9,P.E.K.K.A,9,9,#PGJUJVRL2,<c2>BAZIF,5966,0,#LL2RRQG0,NOVA I PAKISTAN,16000031,P.E.K.K.A,9,9,Royal Hogs,12,12,Electro Wizard,6,6,Firecracker,13,14,Zap,13,14,Golden Knight,4,4,Mega Knight,6,6,Lightning,9,9,#2UPG8YGPV,Neizan,,0,#Y9RR8V2J,Comando esport,16000172,Tornado,8,9,Electro Giant,8,9,Dark Prince,8,9,Skeletons,13,14,Archer Queen,2,4,Tesla,13,14,Lightning,8,9,Barbarian Barrel,9,9
challenge,20220104T060524.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#9RPPU0GYY,"PATRON13 \,,/",6821,1,#PUPLQ08J,the sevens gods,16000028,Ram Rider,3,6,P.E.K.K.A,6,9,Electro Wizard,3,6,Tornado,6,9,Baby Dragon,6,9,Golden Knight,1,4,Mini P.E.K.K.A,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YV2G9QGY,king灬冬,5170,0,#88CGGUCY,小沫,16000141,Ram Rider,3,6,The Log,3,6,Lumberjack,3,6,Fisherman,3,6,Electro Wizard,3,6,Skeleton Army,6,9,Baby Dragon,6,9,Golden Knight,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T060204.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#9RPPU0GYY,"PATRON13 \,,/",6821,0,#PUPLQ08J,the sevens gods,16000028,Ram Rider,3,6,P.E.K.K.A,6,9,Electro Wizard,3,6,Tornado,6,9,Baby Dragon,6,9,Golden Knight,1,4,Mini P.E.K.K.A,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G8VJLR8VV,prince,2169,3,#LLPGULLR,Клан Подвал,16000168,Ram Rider,3,6,Arrows,11,14,Tombstone,9,12,Wizard,9,12,Zap,11,14,Minion Horde,11,14,Electro Wizard,3,6,Giant Skeleton,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T060046.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#9RPPU0GYY,"PATRON13 \,,/",6821,0,#PUPLQ08J,the sevens gods,16000028,Ram Rider,3,6,P.E.K.K.A,6,9,Electro Wizard,3,6,Tornado,6,9,Baby Dragon,6,9,Golden Knight,1,4,Mini P.E.K.K.A,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY8VYLJQ8,Shane,5378,3,#L02VP2VQ,AKATSUKI,16000120,Ram Rider,3,6,Magic Archer,3,6,Royal Ghost,3,6,Electro Wizard,3,6,Zap,11,14,Bandit,3,6,Fireball,9,12,P.E.K.K.A,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T055951.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#9RPPU0GYY,"PATRON13 \,,/",6821,0,#PUPLQ08J,the sevens gods,16000028,Ram Rider,3,6,P.E.K.K.A,6,9,Electro Wizard,3,6,Tornado,6,9,Baby Dragon,6,9,Golden Knight,1,4,Mini P.E.K.K.A,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y8Q28PYUC,@_@Gui$_$,5151,3,#LPQGYJ8L,Br_B,16000163,Ram Rider,3,6,Electro Wizard,3,6,Mega Knight,3,6,Dark Prince,6,9,Witch,6,9,Hog Rider,9,12,Wizard,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T055856.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#9RPPU0GYY,"PATRON13 \,,/",6821,3,#PUPLQ08J,the sevens gods,16000028,Ram Rider,3,6,P.E.K.K.A,6,9,Electro Wizard,3,6,Tornado,6,9,Baby Dragon,6,9,Golden Knight,1,4,Mini P.E.K.K.A,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLL8G92LG,Bugad0_gg,5109,0,#LYP9L9RP,ELITE 084,16000138,Ram Rider,3,6,Inferno Tower,9,12,Zap,11,14,Skeleton King,1,4,Electro Wizard,3,6,Prince,6,9,Skeleton Army,6,9,Goblin Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T055612.000Z,,54000016,Master II,72000007,Friendly,,collection,#9RPPU0GYY,"PATRON13 \,,/",6821,0,#PUPLQ08J,the sevens gods,16000028,Zap,11,14,Lumberjack,3,6,Electro Wizard,3,6,Tornado,6,9,Freeze,6,9,Executioner,6,9,Balloon,6,9,P.E.K.K.A,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80QRPYVCC,Criss✨Dead™️,6406,1,#PUPLQ08J,the sevens gods,16000028,Miner,3,6,Prince,6,9,Fireball,9,12,Bats,11,14,Mortar,11,14,Fire Spirit,11,14,The Log,3,6,Spear Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T052017.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#Y899J0CCL,jimmy,6401,0,#PUPLQ08J,the sevens gods,16000028,Lumberjack,6,6,Balloon,9,9,Tornado,9,9,Barbarian Barrel,9,9,Inferno Dragon,6,6,Bowler,9,9,Electro Dragon,9,9,Freeze,7,9,#9RPPU0GYY,"PATRON13 \,,/",,0,#PUPLQ08J,the sevens gods,16000028,The Log,6,6,Electro Spirit,13,14,Musketeer,11,12,Skeletons,14,14,Ice Golem,11,12,Tesla,13,14,Fireball,12,12,Hog Rider,11,12,#Q9208Q8C,肥仔酋长,5600,3,#2QV8VJYV,欢乐一家人,16000039,Zap,13,14,Bandit,5,6,Magic Archer,5,6,Fireball,12,12,Dark Prince,9,9,Electro Wizard,6,6,Battle Ram,11,12,P.E.K.K.A,9,9,#PQQYJPCR0,elmatematico,,3,#8CYRPUYJ,Mexicanos,16000081,Mega Knight,6,6,Musketeer,12,12,Magic Archer,6,6,Bats,14,14,Prince,9,9,Arrows,14,14,Mini P.E.K.K.A,12,12,Fireball,12,12
challenge,20220104T043050.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#9RPPU0GYY,"PATRON13 \,,/",6821,0,#8PRYPYY0,Imperio Español,16000172,Ram Rider,3,6,P.E.K.K.A,6,9,Electro Wizard,3,6,Tornado,6,9,Baby Dragon,6,9,Golden Knight,1,4,Mini P.E.K.K.A,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22GPCGVUP,dylan,4230,3,#LUJJ8U8P,gloria ARG,16000160,Ram Rider,3,6,Electro Spirit,11,14,Giant Snowball,11,14,Bandit,3,6,Royal Ghost,3,6,Mega Knight,3,6,Archer Queen,1,4,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
