type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T140756.000Z,,54000017,Master III,72000007,Friendly,,collection,#9URYPLQR0,takaporon™️,6883,1,#YU2PPVVL,月色ホライズン,16000032,Zap,11,14,Balloon,6,9,Miner,3,6,Inferno Dragon,3,6,Fireball,9,12,Ice Golem,9,12,Goblin Cage,9,12,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V9QVQCGC,やすおう^_^,6596,0,#YJQPRRQV,Splash moon,16000032,Mega Knight,3,6,Electro Spirit,11,14,Barbarian Barrel,6,9,Bandit,3,6,Royal Ghost,3,6,Lightning,6,9,Archer Queen,1,4,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T140408.000Z,,54000017,Master III,72000007,Friendly,,collection,#9URYPLQR0,takaporon™️,6883,0,#YU2PPVVL,月色ホライズン,16000032,Rocket,9,12,Bandit,3,6,Dark Prince,6,9,Cannon Cart,6,9,Giant Snowball,11,14,Rascals,11,14,Goblin Barrel,6,9,Princess,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V9QVQCGC,やすおう^_^,6596,1,#YJQPRRQV,Splash moon,16000032,Archer Queen,1,4,Royal Delivery,11,14,The Log,3,6,Valkyrie,9,12,Prince,6,9,Freeze,6,9,Graveyard,3,6,Hunter,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T135932.000Z,,54000017,Master III,72000007,Friendly,,collection,#9URYPLQR0,takaporon™️,6883,1,#YU2PPVVL,月色ホライズン,16000032,Prince,6,9,Fireball,9,12,Goblin Giant,6,9,Bats,11,14,Spear Goblins,11,14,Dark Prince,6,9,Guards,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V9QVQCGC,やすおう^_^,6596,0,#YJQPRRQV,Splash moon,16000032,Valkyrie,9,12,Magic Archer,3,6,Bomb Tower,9,12,Fireball,9,12,Tornado,6,9,Miner,3,6,Wall Breakers,6,9,Spear Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135338.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9URYPLQR0,takaporon™️,6905,0,#YU2PPVVL,月色ホライズン,16000032,Balloon,9,9,Miner,6,6,Musketeer,12,12,Bomb Tower,12,12,Ice Golem,12,12,Skeletons,14,14,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQQJCP9V,Εκατία κυανός,6990,1,#QRQP89YQ,Jisooinyourarea,16000111,Lava Hound,6,6,Baby Dragon,9,9,Lumberjack,6,6,Fireball,12,12,Flying Machine,12,12,Clone,9,9,Bats,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134902.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9URYPLQR0,takaporon™️,6874,1,#YU2PPVVL,月色ホライズン,16000032,Balloon,9,9,Miner,6,6,Musketeer,12,12,Bomb Tower,12,12,Ice Golem,12,12,Skeletons,14,14,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRYLGLRQU,LWJ,6889,0,#LRC29YY0,BetaGo,16000014,Zap,14,14,Fireball,12,12,Minions,14,14,Battle Ram,12,12,Royal Ghost,6,6,Bandit,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134513.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9URYPLQR0,takaporon™️,6845,1,#YU2PPVVL,月色ホライズン,16000032,Balloon,9,9,Miner,6,6,Musketeer,12,12,Bomb Tower,12,12,Ice Golem,12,12,Skeletons,14,14,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UPY0V992,Danu.R,6840,0,,,,Prince,9,9,Dark Prince,9,9,Bats,14,14,Goblin Giant,9,9,Guards,9,9,Spear Goblins,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T120653.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9URYPLQR0,takaporon™️,6866,0,#YU2PPVVL,月色ホライズン,16000032,Balloon,9,9,Miner,6,6,Musketeer,12,12,Bomb Tower,12,12,Ice Golem,12,12,Skeletons,14,14,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q88YUVLG,❄️ Polar ☃️,6967,1,,,,Goblin Cage,12,12,Fireball,12,12,Royal Recruits,14,14,Zappies,12,12,Royal Hogs,12,12,Arrows,14,14,Flying Machine,12,12,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T120307.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9URYPLQR0,takaporon™️,6831,1,#YU2PPVVL,月色ホライズン,16000032,Balloon,9,9,Miner,6,6,Musketeer,12,12,Bomb Tower,12,12,Ice Golem,12,12,Skeletons,14,14,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LGCQVLJ,为什么不能升级？,6893,0,#9QGQQGPU,疯人院,16000028,Ram Rider,6,6,Baby Dragon,9,9,Royal Ghost,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T115935.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9URYPLQR0,takaporon™️,6852,1,#YU2PPVVL,月色ホライズン,16000032,Balloon,9,9,Miner,6,6,Musketeer,12,12,Bomb Tower,12,12,Ice Golem,12,12,Skeletons,14,14,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99Q8CU,Kaique™,6954,2,#9GUCJRL0,Team Solid,16000113,Skeleton King,4,4,Miner,6,6,Mortar,14,14,Bats,14,14,Minion Horde,14,14,Fireball,12,12,Skeleton Army,9,9,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T115358.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9URYPLQR0,takaporon™️,6828,1,#YU2PPVVL,月色ホライズン,16000032,Balloon,9,9,Miner,6,6,Musketeer,12,12,Bomb Tower,12,12,Ice Golem,12,12,Skeletons,14,14,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R9JVLCGQ8,Shockra,6764,0,#LR0JLQRU,YT ShockraCr,16000110,The Log,6,6,Archers,14,14,Fireball,12,12,Tesla,14,14,X-Bow,9,9,Knight,14,14,Skeletons,14,14,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
