type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T175832.000Z,,54000017,Master III,72000007,Friendly,,collection,#9Y2VLLUR,NAFNAF,6724,0,#LYG9C9QU,night prince,16000012,Electro Wizard,3,6,Barbarian Barrel,6,9,Ram Rider,3,6,Mother Witch,3,6,Golden Knight,1,4,P.E.K.K.A,6,9,Dark Prince,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QUUQQ0C2,K.I.N.G boy;),6813,1,#LPJU88VY,GEORGIA,16000015,Hog Rider,9,12,Firecracker,11,14,The Log,3,6,Earthquake,9,12,Guards,6,9,Bomb Tower,9,12,Fire Spirit,11,14,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T175258.000Z,,54000017,Master III,72000007,Friendly,,collection,#9Y2VLLUR,NAFNAF,6724,1,#LYG9C9QU,night prince,16000012,Electro Wizard,3,6,Barbarian Barrel,6,9,Ram Rider,3,6,Mother Witch,3,6,Golden Knight,1,4,P.E.K.K.A,6,9,Dark Prince,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QUUQQ0C2,K.I.N.G boy;),6813,0,#LPJU88VY,GEORGIA,16000015,Hog Rider,9,12,Firecracker,11,14,The Log,3,6,Earthquake,9,12,Skeletons,11,14,Bomb Tower,9,12,Fire Spirit,11,14,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T174923.000Z,,54000017,Master III,72000007,Friendly,,collection,#9Y2VLLUR,NAFNAF,6724,0,#LYG9C9QU,night prince,16000012,Mega Knight,3,6,Electro Wizard,3,6,Inferno Dragon,3,6,Ram Rider,3,6,Bandit,3,6,Zap,11,14,Poison,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QUUQQ0C2,K.I.N.G boy;),6813,1,#LPJU88VY,GEORGIA,16000015,Hog Rider,9,12,Firecracker,11,14,The Log,3,6,Earthquake,9,12,Skeletons,11,14,Bomb Tower,9,12,Fire Spirit,11,14,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T171126.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#9Y2VLLUR,NAFNAF,6724,1,#LYG9C9QU,night prince,16000012,Mega Knight,3,6,Electro Wizard,3,6,Inferno Dragon,3,6,Ram Rider,3,6,Bandit,3,6,Zap,11,14,Poison,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PVRV2PV22,Andy_FuryFi,5328,0,#Q2ULVCVV,PEPALABUTANERA,16000172,P.E.K.K.A,6,9,Ram Rider,3,6,Dark Prince,6,9,Bandit,3,6,Mother Witch,3,6,Electro Wizard,3,6,Fireball,9,12,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T170722.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#9Y2VLLUR,NAFNAF,6724,3,#LYG9C9QU,night prince,16000012,Mega Knight,3,6,Electro Wizard,3,6,Inferno Dragon,3,6,Ram Rider,3,6,Bandit,3,6,Zap,11,14,Poison,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PVRV2PV22,Andy_FuryFi,5328,0,#Q2ULVCVV,PEPALABUTANERA,16000172,Ice Golem,9,12,Firecracker,11,14,The Log,3,6,Mini P.E.K.K.A,9,12,Rocket,9,12,Skeletons,11,14,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165653.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9Y2VLLUR,NAFNAF,6746,0,#LYG9C9QU,night prince,16000012,The Log,6,6,Mortar,14,14,Fireball,12,12,Goblin Gang,14,14,Miner,6,6,Dart Goblin,12,12,Prince,9,9,Rascals,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8RPQ8G8,奧特☠amine,6834,3,#LP2LCGVG,Ad Astra,16000040,P.E.K.K.A,9,9,Battle Ram,12,12,Bandit,6,6,Zap,14,14,Magic Archer,6,6,Fireball,12,12,Royal Ghost,6,6,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T153933.000Z,,54000016,Master II,72000007,Friendly,,collection,#9Y2VLLUR,NAFNAF,6746,1,#LYG9C9QU,night prince,16000012,Mega Knight,3,6,Wall Breakers,6,9,Bats,11,14,Musketeer,9,12,Prince,6,9,Golden Knight,1,4,Miner,3,6,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88UUGCPPY,InsiTe✨Ἄνουβις,6461,0,#YRQUUJP2,NoA_academy,16000009,Mega Knight,3,6,Wall Breakers,6,9,Bats,11,14,Musketeer,9,12,Prince,6,9,Golden Knight,1,4,Miner,3,6,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T153449.000Z,,54000016,Master II,72000007,Friendly,,collection,#9Y2VLLUR,NAFNAF,6746,1,#LYG9C9QU,night prince,16000012,The Log,3,6,Mortar,11,14,Fireball,9,12,Goblin Gang,11,14,Miner,3,6,Dart Goblin,9,12,Prince,6,9,Rascals,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88UUGCPPY,InsiTe✨Ἄνουβις,6461,0,#YRQUUJP2,NoA_academy,16000009,Mega Knight,3,6,Wall Breakers,6,9,Bats,11,14,Musketeer,9,12,Prince,6,9,Golden Knight,1,4,Miner,3,6,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T153126.000Z,,54000016,Master II,72000007,Friendly,,collection,#9Y2VLLUR,NAFNAF,6746,0,#LYG9C9QU,night prince,16000012,The Log,3,6,Mortar,11,14,Fireball,9,12,Goblin Gang,11,14,Miner,3,6,Dart Goblin,9,12,Prince,6,9,Rascals,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88UUGCPPY,InsiTe✨Ἄνουβις,6461,3,#YRQUUJP2,NoA_academy,16000009,Mega Knight,3,6,Rage,6,9,Elite Barbarians,11,14,Zap,11,14,Minions,11,14,Skeleton Army,6,9,Inferno Dragon,3,6,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T152847.000Z,,54000016,Master II,72000007,Friendly,,collection,#9Y2VLLUR,NAFNAF,6746,0,#LYG9C9QU,night prince,16000012,Mega Knight,3,6,Electro Wizard,3,6,Inferno Dragon,3,6,Ram Rider,3,6,Bandit,3,6,Zap,11,14,Poison,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88UUGCPPY,InsiTe✨Ἄνουβις,6461,3,#YRQUUJP2,NoA_academy,16000009,The Log,3,6,Princess,3,6,Goblin Barrel,6,9,Goblin Gang,11,14,Dart Goblin,9,12,Prince,6,9,Rascals,11,14,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
