type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
tournament,20220104T175628.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#9YQVUC228,TRB❄️$_Gman_$❄️,4,1,#YV9C9GVP,eXiledKings,16000029,Royal Giant,11,14,Lumberjack,3,6,Baby Dragon,6,9,Goblin Cage,9,12,Barbarian Barrel,6,9,Electro Spirit,11,14,Lightning,6,9,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GJ9JY8LYP,Doğan,5,0,#YGQGCP8,#Ay Yıldız#,16000030,Mega Knight,2,6,Ram Rider,3,6,Hunter,6,9,Royal Ghost,2,6,Bandit,2,6,Electro Spirit,11,14,Giant Snowball,9,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T175117.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#9YQVUC228,TRB❄️$_Gman_$❄️,4,1,#YV9C9GVP,eXiledKings,16000029,Golem,6,9,Night Witch,3,6,Lumberjack,3,6,Baby Dragon,6,9,Bomber,11,14,Tornado,6,9,Lightning,6,9,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PVCJR0ULJ,lwllzwy,3,2,#YGYLR2RV,CHN-NB,16000130,Golem,6,9,Tombstone,9,12,Night Witch,3,6,Skeleton King,1,4,Electro Wizard,3,6,Baby Dragon,6,9,Arrows,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T174725.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#9YQVUC228,TRB❄️$_Gman_$❄️,3,3,#YV9C9GVP,eXiledKings,16000029,Golem,6,9,Night Witch,3,6,Lumberjack,3,6,Baby Dragon,6,9,Bomber,11,14,Tornado,6,9,Lightning,6,9,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90VPLUVLJ,DiegoYT_Hero P2,4,1,#YCCCUQGP,ROYALMEXPOW,16000028,Zap,11,14,Balloon,6,9,Freeze,6,9,Tornado,6,9,Ice Wizard,3,6,Valkyrie,9,12,Lumberjack,3,6,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T174450.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#9YQVUC228,TRB❄️$_Gman_$❄️,3,0,#YV9C9GVP,eXiledKings,16000029,Golem,6,9,Night Witch,3,6,Lumberjack,3,6,Baby Dragon,6,9,Bomber,11,14,Tornado,6,9,Lightning,6,9,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JQV8L99Q,bomber,2,1,#P0PLR8Y2,$ CHAMPIONS $,16000024,Magic Archer,3,6,Prince,6,9,Bats,11,14,The Log,3,6,Miner,3,6,Royal Delivery,11,14,Royal Recruits,11,14,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173827.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9YQVUC228,TRB❄️$_Gman_$❄️,6855,1,#YV9C9GVP,eXiledKings,16000029,Mega Knight,6,6,Lumberjack,6,6,Balloon,9,9,Prince,9,9,Wizard,12,12,Bats,14,14,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLCCQ2GRR,LDN✨Paulo™✌️,6860,3,#PCQPGP9G,B49☆CŘ,16000058,Giant,12,12,Bowler,9,9,Graveyard,6,6,Bats,14,14,Skeleton Army,9,9,Night Witch,6,6,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171932.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9YQVUC228,TRB❄️$_Gman_$❄️,6828,3,#YV9C9GVP,eXiledKings,16000029,Mega Knight,6,6,Lumberjack,6,6,Balloon,9,9,Prince,9,9,Wizard,12,12,Bats,14,14,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JU990YGV,⭐LORD_MA3N⭐,6796,0,#L8P02JCG,Mula Gang,16000139,Bomber,14,14,Skeletons,14,14,Archer Queen,4,4,Electro Giant,9,9,Goblin Cage,12,12,Tornado,9,9,Lightning,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171552.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#9YQVUC228,TRB❄️$_Gman_$❄️,6856,0,#YV9C9GVP,eXiledKings,16000029,Mega Knight,6,6,Lumberjack,6,6,Balloon,9,9,Prince,9,9,Wizard,12,12,Bats,14,14,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CLRGCQGV,✨로제❤️Rosé✨,6869,1,#YGL9PU80,Troops Of War,16000161,Mega Knight,6,6,Giant Snowball,14,14,Archer Queen,4,4,Electro Spirit,14,14,Ram Rider,6,6,Bandit,6,6,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T171153.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#9YQVUC228,TRB❄️$_Gman_$❄️,2,1,#YV9C9GVP,eXiledKings,16000029,Prince,6,9,Dark Prince,6,9,Hunter,6,9,Barbarian Barrel,6,9,Zappies,9,12,Graveyard,3,6,Giant Snowball,11,14,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GV8U2UJ0,hugemongo@123,2,0,#9Q9R9C22,Branded Bros,16000028,Ice Wizard,3,6,Baby Dragon,6,9,Bomb Tower,9,12,Knight,11,14,Barbarian Barrel,6,9,Graveyard,3,6,Tornado,6,9,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T170820.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#9YQVUC228,TRB❄️$_Gman_$❄️,1,1,#YV9C9GVP,eXiledKings,16000029,Prince,6,9,Dark Prince,6,9,Hunter,6,9,Barbarian Barrel,6,9,Zappies,9,12,Graveyard,3,6,Giant Snowball,11,14,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20L9298YC,@6475505634,1,0,#L2YPY82L,bangenergy,16000170,Mini P.E.K.K.A,8,12,The Log,3,6,Bats,10,14,Dart Goblin,9,12,Electro Spirit,10,14,Hog Rider,9,12,Ice Golem,8,12,Giant Snowball,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tournament,20220104T170359.000Z,,54000040,Legendary Arena,72000009,Tournament,,collection,#9YQVUC228,TRB❄️$_Gman_$❄️,,3,#YV9C9GVP,eXiledKings,16000029,Giant Skeleton,6,9,Lumberjack,3,6,Balloon,6,9,Minion Horde,11,14,Tornado,6,9,Electro Wizard,2,6,The Log,3,6,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RYG0LV0P,simplet1031,,1,#2QCYRPL2,Suisse Romande,16000060,Flying Machine,9,12,Witch,6,9,Furnace,9,12,Guards,6,9,Earthquake,9,12,Skeleton King,1,4,Cannon Cart,6,9,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
