type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T183831.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#C88VYCJC,Twitch/EGW_CR,6634,0,#LP9QQLG9,The Rage Cult,16000106,Wall Breakers,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Mirror,9,9,Skeleton Barrel,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GVUJ9RVG,Nova I ferxD,6642,3,#LCC2CCLR,WaseoArmy,16000142,Royal Giant,14,14,Electro Wizard,6,6,Dark Prince,9,9,Fisherman,5,6,Goblin Cage,12,12,Mega Minion,12,12,Barbarian Barrel,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182857.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#C88VYCJC,Twitch/EGW_CR,6608,1,#LP9QQLG9,The Rage Cult,16000106,Wall Breakers,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Mirror,9,9,Skeleton Barrel,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28JG9CGYQ,SkrubR1c3,6572,0,#QJ98V8JL,Bozos,16000154,Ice Golem,12,12,Lumberjack,6,6,Musketeer,12,12,The Log,6,6,Balloon,9,9,Ice Spirit,14,14,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182523.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#C88VYCJC,Twitch/EGW_CR,6638,1,#LP9QQLG9,The Rage Cult,16000106,Wall Breakers,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Mirror,9,9,Skeleton Barrel,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L8U8RC8G,Big Dervish,6628,3,#8LGRYC,CrownTown☀️,16000013,Royal Giant,14,14,Skeletons,14,14,Fireball,12,12,Hunter,9,9,Bats,14,14,Electro Spirit,14,14,Fisherman,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182119.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#C88VYCJC,Twitch/EGW_CR,6671,1,#LP9QQLG9,The Rage Cult,16000106,Wall Breakers,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Mirror,9,9,Skeleton Barrel,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22U98UVLR,OBEDM77,6631,2,#YCQYVCCP,el salvador503,16000010,Royal Giant,14,14,Fisherman,6,6,The Log,6,6,Archer Queen,4,4,Electro Spirit,14,14,Skeletons,14,14,Fireball,12,12,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181608.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#C88VYCJC,Twitch/EGW_CR,6642,2,#LP9QQLG9,The Rage Cult,16000106,Wall Breakers,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Mirror,9,9,Skeleton Barrel,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Y0V2JR0C,✨SebasMx“),6632,1,#PCLV8PVP,Ping guys Royal,16000044,Electro Giant,9,9,Lightning,9,9,Fisherman,6,6,Flying Machine,12,12,Valkyrie,12,12,Tornado,9,9,Bomber,14,14,Zappies,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181247.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#C88VYCJC,Twitch/EGW_CR,6612,1,#LP9QQLG9,The Rage Cult,16000106,Wall Breakers,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Mirror,9,9,Skeleton Barrel,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82V9UQCGG,LEVANI GLP,6623,0,,,,Bandit,6,6,Miner,6,6,Skeleton Army,9,9,Bats,14,14,Electro Wizard,6,6,Prince,9,9,Zap,14,14,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180840.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#C88VYCJC,Twitch/EGW_CR,6645,0,#LP9QQLG9,The Rage Cult,16000106,Wall Breakers,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Mirror,9,9,Skeleton Barrel,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YPGC0LY,Pancho,6600,2,,,,Bandit,6,6,Archer Queen,4,4,Electro Spirit,13,14,Giant Snowball,13,14,Lightning,9,9,Mega Knight,6,6,Ram Rider,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173451.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#C88VYCJC,Twitch/EGW_CR,6614,2,#LP9QQLG9,The Rage Cult,16000106,Wall Breakers,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Mirror,9,9,Skeleton Barrel,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U8Y8V0VR,SR ★ Côme,6628,1,#LRG2VRU8,La family,16000162,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,8,9,Freeze,8,9,Graveyard,6,6,Bowler,9,9,Ice Wizard,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173110.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#C88VYCJC,Twitch/EGW_CR,6639,1,#LP9QQLG9,The Rage Cult,16000106,Wall Breakers,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Mirror,9,9,Skeleton Barrel,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q2YYYRYP,TTV Sweat,6693,2,#LJLQ08QR,SnowStorm,16000168,Prince,9,9,Valkyrie,12,12,Arrows,14,14,Executioner,9,9,Hog Rider,12,12,Baby Dragon,9,9,Skeleton Army,9,9,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172744.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#C88VYCJC,Twitch/EGW_CR,6668,1,#LP9QQLG9,The Rage Cult,16000106,Wall Breakers,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Mirror,9,9,Skeleton Barrel,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LCJC0JLP,оу74,6671,3,#2CG02V8L,LIFE vs GAME,16000132,Golem,9,9,Prince,9,9,Skeleton Dragons,14,14,Bats,14,14,Lightning,9,9,Bomber,14,14,Tornado,9,9,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
