type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T174318.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CCR02PP2,saribakhsh,6668,1,#VL8VJRG,(اساطير رويال),16000028,Skeletons,13,14,Dark Prince,9,9,Tornado,9,9,Lightning,9,9,Electro Giant,9,9,Archer Queen,4,4,Goblin Cage,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P08YPYYGP,杜雷丝,6684,3,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172751.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CCR02PP2,saribakhsh,6694,0,#VL8VJRG,(اساطير رويال),16000028,Skeletons,13,14,Dark Prince,9,9,Tornado,9,9,Lightning,9,9,Electro Giant,9,9,Archer Queen,4,4,Goblin Cage,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V2GV8LC0,Kor4e♥️R1se,6734,1,#G0C0JLVC,Nova I Bulgaria,16000044,Electro Wizard,6,6,Royal Hogs,12,12,Minions,14,14,Royal Ghost,6,6,Bandit,6,6,P.E.K.K.A,9,9,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172300.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CCR02PP2,saribakhsh,6722,0,#VL8VJRG,(اساطير رويال),16000028,Skeletons,13,14,Dark Prince,9,9,Tornado,9,9,Lightning,9,9,Electro Giant,9,9,Archer Queen,4,4,Goblin Cage,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P8RV9UQ,Dr Karl,6738,1,#PV2G9U2L,darkzero,16000109,Electro Wizard,6,6,Freeze,9,9,Lumberjack,6,6,Balloon,9,9,Inferno Tower,12,12,Wizard,12,12,The Log,6,6,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171423.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CCR02PP2,saribakhsh,6696,1,#VL8VJRG,(اساطير رويال),16000028,Skeletons,13,14,Dark Prince,9,9,Tornado,9,9,Lightning,9,9,Electro Giant,9,9,Archer Queen,4,4,Goblin Cage,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9ULG8VQ,Nzo_Cr,6656,0,#LR0Y09P0,Bacchus Esport,16000043,Graveyard,6,6,Barbarians,14,14,Freeze,9,9,Skeleton Dragons,14,14,Musketeer,12,12,Barbarian Barrel,9,9,Arrows,14,14,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171034.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CCR02PP2,saribakhsh,6723,0,#VL8VJRG,(اساطير رويال),16000028,Skeletons,13,14,Dark Prince,9,9,Tornado,9,9,Lightning,9,9,Electro Giant,9,9,Archer Queen,4,4,Goblin Cage,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CJ9UJPRY,ur l Happy ❤,6747,1,#P0UVGY8R,PERUCLASH2019,16000014,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,P.E.K.K.A,9,9,Minions,14,14,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170651.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CCR02PP2,saribakhsh,6752,1,#VL8VJRG,(اساطير رويال),16000028,Skeletons,13,14,Dark Prince,9,9,Tornado,9,9,Lightning,9,9,Electro Giant,9,9,Archer Queen,4,4,Goblin Cage,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GLYLV998,FENOFINALFORM⚡☠,6754,2,#LCGG2V9P,KIN8.,16000081,Goblin Giant,9,9,Sparky,6,6,Elite Barbarians,14,14,Dark Prince,9,9,Mega Minion,12,12,Archer Queen,4,4,Zap,14,14,Rage,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163340.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CCR02PP2,saribakhsh,6723,1,#VL8VJRG,(اساطير رويال),16000028,Skeletons,13,14,Dark Prince,9,9,Tornado,9,9,Lightning,9,9,Electro Giant,9,9,Archer Queen,4,4,Goblin Cage,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CVYGP0CV,NC I NeoSpartan,6712,0,#PRV09Q02,Venezuela Pride,16000162,Cannon Cart,9,9,Magic Archer,6,6,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,Bandit,6,6,Fireball,11,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162114.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CCR02PP2,saribakhsh,6694,1,#VL8VJRG,(اساطير رويال),16000028,Skeletons,13,14,Dark Prince,9,9,Tornado,9,9,Lightning,9,9,Electro Giant,9,9,Archer Queen,4,4,Goblin Cage,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YURLP8UV9,venerableBrass,6691,0,#LYV802JG,Reds Force,16000069,Knight,14,14,Goblin Gang,14,14,Princess,6,6,Goblin Barrel,9,9,Rocket,12,12,Inferno Tower,12,12,Electro Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154435.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CCR02PP2,saribakhsh,6661,2,#VL8VJRG,(اساطير رويال),16000028,Skeletons,13,14,Dark Prince,9,9,Tornado,9,9,Lightning,9,9,Electro Giant,9,9,Archer Queen,4,4,Goblin Cage,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P2LRGYQQ,Slash Gaming,6696,1,,,,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,The Log,6,6,Royal Delivery,14,14,Skeletons,14,14,Fire Spirit,14,14,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154101.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CCR02PP2,saribakhsh,6692,1,#VL8VJRG,(اساطير رويال),16000028,Skeletons,13,14,Dark Prince,9,9,Tornado,9,9,Lightning,9,9,Electro Giant,9,9,Archer Queen,4,4,Goblin Cage,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U0VQ0PPR,GS❤️上杉绘梨衣,6679,2,,,,P.E.K.K.A,9,9,Poison,9,9,Electro Wizard,6,6,Archer Queen,4,4,Dark Prince,9,9,Bandit,6,6,Zap,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
