type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T173007.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CG9GCR,Yoari,6789,2,#YG29QUPJ,SC Royale on fb,16000013,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Goblin Cage,12,12,Electro Giant,9,9,Lightning,9,9,Bowler,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CRJ0YUVL,✨CRAZYKILLER✨,6868,0,,,,Spear Goblins,14,14,Wall Breakers,9,9,Magic Archer,6,6,Tornado,8,9,Fireball,12,12,Miner,6,6,Valkyrie,12,12,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172613.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CG9GCR,Yoari,6757,1,#YG29QUPJ,SC Royale on fb,16000013,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Goblin Cage,12,12,Electro Giant,9,9,Lightning,9,9,Bowler,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90RC0LY2U,<c5>Tman™️✨,6790,0,#L8L92VQC,Lighting™️⚜️,16000008,Electro Giant,9,9,Dark Prince,9,9,Inferno Dragon,6,6,Barbarian Barrel,9,9,Mother Witch,6,6,Goblin Cage,12,12,Lightning,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171928.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CG9GCR,Yoari,6790,0,#YG29QUPJ,SC Royale on fb,16000013,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Goblin Cage,12,12,Electro Giant,9,9,Lightning,9,9,Bowler,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80G2QYU02,脱獄 I the beast,6746,1,#LRPPR88J,prison break,16000176,Graveyard,6,6,Valkyrie,12,12,Archer Queen,4,4,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171452.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CG9GCR,Yoari,6820,0,#YG29QUPJ,SC Royale on fb,16000013,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Goblin Cage,12,12,Electro Giant,9,9,Lightning,9,9,Bowler,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8RPQ8G8,奧特☠amine,6819,1,#LGQG2GJC,★TBT eSports★,16000024,Mega Knight,6,6,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Barbarian Barrel,9,9,Lightning,9,9,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171032.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CG9GCR,Yoari,6793,1,#YG29QUPJ,SC Royale on fb,16000013,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Goblin Cage,12,12,Electro Giant,9,9,Lightning,9,9,Bowler,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YCRR9QQ,SeaSickShrimp™,6766,0,#9CPV098R,Titan Warfare,16000156,Archer Queen,4,4,Magic Archer,6,6,Battle Ram,12,12,Barbarian Barrel,9,9,Heal Spirit,12,12,Elite Barbarians,14,14,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170629.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CG9GCR,Yoari,6819,0,#YG29QUPJ,SC Royale on fb,16000013,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Goblin Cage,12,12,Electro Giant,9,9,Lightning,9,9,Bowler,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9P0Q8RVC,:Camiel:,6863,1,#JUGLL8,FC GROOTEGAST,16000098,Knight,14,14,X-Bow,9,9,Electro Spirit,14,14,Fireball,12,12,Tesla,14,14,Skeletons,14,14,The Log,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170128.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CG9GCR,Yoari,6790,3,#YG29QUPJ,SC Royale on fb,16000013,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Goblin Cage,12,12,Electro Giant,9,9,Lightning,9,9,Bowler,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GLYLV998,FENOFINALFORM⚡☠,6783,0,#LCGG2V9P,KIN8.,16000081,Giant,12,12,Mega Minion,12,12,Elite Barbarians,14,14,Sparky,6,6,Archer Queen,4,4,Dark Prince,9,9,Arrows,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165814.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CG9GCR,Yoari,6820,0,#YG29QUPJ,SC Royale on fb,16000013,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Goblin Cage,12,12,Electro Giant,9,9,Lightning,9,9,Bowler,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GGVRR8V2V,Hermione✨,6814,1,#VQCQQJP,Nice Strategy,16000136,Freeze,9,9,Valkyrie,12,12,Inferno Dragon,6,6,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Electro Wizard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165433.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CG9GCR,Yoari,6850,0,#YG29QUPJ,SC Royale on fb,16000013,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Goblin Cage,12,12,Electro Giant,9,9,Lightning,9,9,Bowler,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28VUJLPYJ,CHN丨小孩Matt Mx ❤,6839,1,#G90YLCQ8,Dark Dinasty,16000110,Archer Queen,4,4,Bandit,6,6,Ram Rider,6,6,Barbarian Barrel,9,9,Fireball,12,12,Royal Ghost,5,6,Mega Knight,6,6,Electro Spirit,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164953.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CG9GCR,Yoari,6877,0,#YG29QUPJ,SC Royale on fb,16000013,Mega Minion,12,12,Baby Dragon,9,9,Tornado,9,9,Goblin Cage,12,12,Electro Giant,9,9,Lightning,9,9,Bowler,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPPPJGC2,Enrico 2005,6908,1,,,,Miner,6,6,Valkyrie,12,12,Fireball,12,12,Spear Goblins,14,14,Tesla,14,14,Bats,14,14,Wall Breakers,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
