type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T120855.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CPQY22VQ,NS丨叶子酱,6734,3,#LYLQGYJ0,外星伴侣,16000041,P.E.K.K.A,9,9,Royal Ghost,6,6,Bandit,6,6,Battle Ram,12,12,Electro Wizard,6,6,Fireball,12,12,Minions,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y08PCY8P2,夢の神 I Dream✨,6692,0,#8LGRYC,CrownTown☀️,16000013,Graveyard,6,6,Electro Wizard,6,6,Bowler,9,9,Archer Queen,4,4,Tornado,9,9,Valkyrie,12,12,Freeze,9,9,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T120402.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CPQY22VQ,NS丨叶子酱,6705,1,#LYLQGYJ0,外星伴侣,16000041,P.E.K.K.A,9,9,Royal Ghost,6,6,Bandit,6,6,Battle Ram,12,12,Electro Wizard,6,6,Fireball,12,12,Minions,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YY0YGJCJ,LD-森森,6696,0,#Q2YPCQRC,Loving Day - 3部,16000108,Fireball,12,12,Ram Rider,6,6,Magic Archer,6,6,Inferno Dragon,6,6,Lumberjack,6,6,Bandit,6,6,Barbarian Barrel,9,9,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T115811.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#CPQY22VQ,NS丨叶子酱,6705,1,#LYLQGYJ0,外星伴侣,16000041,Knight,11,14,Bomber,11,14,Goblin Barrel,6,9,Inferno Dragon,3,6,Inferno Tower,9,12,Royal Delivery,11,14,Rocket,9,12,Princess,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#228C9V8GY,瞿轶甍斯菲尔·冯·爱因兹贝伦,6005,0,#LYLQGYJ0,外星伴侣,16000041,Dark Prince,6,9,Bowler,6,9,Mega Knight,3,6,Electro Dragon,6,9,Bomb Tower,9,12,Tornado,6,9,Fireball,9,12,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T115158.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#CPQY22VQ,NS丨叶子酱,6705,1,#LYLQGYJ0,外星伴侣,16000041,Wall Breakers,6,9,Knight,11,14,Fireball,9,12,Cannon,11,14,Ice Spirit,11,14,Bats,11,14,The Log,3,6,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJ00LLQ8J,流心❤麻薯,5853,0,#Y9PCCVVJ,5k road,16000032,Mega Knight,3,6,Dark Prince,6,9,Lightning,6,9,P.E.K.K.A,6,9,Skeleton Army,6,9,Minions,11,14,Zap,11,14,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T114717.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#CPQY22VQ,NS丨叶子酱,6705,1,#LYLQGYJ0,外星伴侣,16000041,Skeletons,11,14,Musketeer,9,12,The Log,3,6,Cannon,11,14,Graveyard,3,6,Poison,6,9,Bats,11,14,Knight,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJ00LLQ8J,流心❤麻薯,5853,3,#Y9PCCVVJ,5k road,16000032,Electro Spirit,11,14,Magic Archer,3,6,Tornado,6,9,Royal Recruits,11,14,Balloon,6,9,Lightning,6,9,Mega Minion,9,12,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T114201.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#CPQY22VQ,NS丨叶子酱,6705,1,#LYLQGYJ0,外星伴侣,16000041,Poison,6,9,Graveyard,3,6,Baby Dragon,6,9,Spear Goblins,11,14,Guards,6,9,Goblin Cage,9,12,Dark Prince,6,9,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJ00LLQ8J,流心❤麻薯,5853,0,#Y9PCCVVJ,5k road,16000032,Rocket,9,12,Hog Rider,9,12,Zappies,9,12,Ice Wizard,3,6,Tombstone,9,12,Tesla,11,14,Valkyrie,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T113652.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#CPQY22VQ,NS丨叶子酱,6705,2,#LYLQGYJ0,外星伴侣,16000041,Poison,6,9,Bomb Tower,9,12,Archers,11,14,Bomber,11,14,Miner,3,6,The Log,3,6,Hunter,6,9,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#288CU2PL,<c5>林の葉,6425,1,#YYLP9CLC,喵咪,16000013,Lightning,6,9,Royal Recruits,11,14,Bats,11,14,Night Witch,3,6,Dark Prince,6,9,Zap,11,14,Baby Dragon,6,9,Balloon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T113041.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#CPQY22VQ,NS丨叶子酱,6705,3,#LYLQGYJ0,外星伴侣,16000041,Rocket,9,12,Fire Spirit,11,14,Cannon Cart,6,9,Giant Snowball,11,14,Magic Archer,3,6,Mega Minion,9,12,Electro Giant,6,9,P.E.K.K.A,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#288CU2PL,<c5>林の葉,6425,0,#YYLP9CLC,喵咪,16000013,Fireball,9,12,Guards,6,9,Sparky,3,6,Zap,11,14,Wizard,9,12,Archers,11,14,Golem,6,9,Furnace,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T112634.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CPQY22VQ,NS丨叶子酱,6736,0,#LYLQGYJ0,外星伴侣,16000041,P.E.K.K.A,9,9,Royal Ghost,6,6,Bandit,6,6,Battle Ram,12,12,Electro Wizard,6,6,Fireball,12,12,Minions,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGCG8UL2P,yoan974,6721,1,#LVQUJQG2,GOTAGANG,16000097,Graveyard,6,6,Witch,9,9,Dark Prince,9,9,Zappies,12,12,Goblin Hut,12,12,Arrows,14,14,Barbarian Barrel,9,9,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T112102.000Z,,54000049,Legendary Arena,72000194,Draft_Competitive,,draftCompetitive,#CPQY22VQ,NS丨叶子酱,6736,0,#LYLQGYJ0,外星伴侣,16000041,Elite Barbarians,11,14,Freeze,6,9,Mother Witch,3,6,Mega Knight,3,6,Skeleton Dragons,11,14,Zap,11,14,Ice Wizard,3,6,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#288CU2PL,<c5>林の葉,6425,1,#YYLP9CLC,喵咪,16000013,P.E.K.K.A,6,9,Poison,6,9,Bowler,6,9,Hog Rider,9,12,Electro Wizard,3,6,Giant Snowball,11,14,Minions,11,14,Goblin Gang,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
