type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T184308.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#CPVJPR,"""DAMN"" ⚡Killer⚡",6716,2,#LVQUJQG2,GOTAGANG,16000097,Dark Prince,6,9,Archer Queen,1,4,Rage,6,9,Mini P.E.K.K.A,9,12,Goblin Giant,6,9,Sparky,3,6,Zap,11,14,Minions,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYQUL8GG9,ichi maru,5664,1,#YPPVRLL2,TURKMEN DRAGONS,16000032,Ram Rider,3,6,Archer Queen,1,4,Lightning,6,9,Mega Knight,3,6,Giant Snowball,11,14,Bandit,3,6,Electro Spirit,11,14,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T183928.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#CPVJPR,"""DAMN"" ⚡Killer⚡",6716,3,#LVQUJQG2,GOTAGANG,16000097,Dark Prince,6,9,Archer Queen,1,4,Rage,6,9,Mini P.E.K.K.A,9,12,Goblin Giant,6,9,Sparky,3,6,Zap,11,14,Minions,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LVCPPYLQ,ezequielvallari,5107,0,#Q92GP0CY,disfruta la 45,16000106,Magic Archer,3,6,Bomb Tower,9,12,Spear Goblins,11,14,Miner,3,6,Wall Breakers,6,9,Valkyrie,9,12,The Log,3,6,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T183734.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#CPVJPR,"""DAMN"" ⚡Killer⚡",6716,0,#LVQUJQG2,GOTAGANG,16000097,Dark Prince,6,9,Archer Queen,1,4,Rage,6,9,Mini P.E.K.K.A,9,12,Goblin Giant,6,9,Sparky,3,6,Zap,11,14,Minions,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22V09GYRG,Frio,6148,1,#8PJCQ9G,Polish Knights,16000152,Mega Knight,3,6,Lightning,6,9,Ram Rider,3,6,Bandit,3,6,Bats,11,14,Zap,11,14,Royal Ghost,3,6,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183314.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CPVJPR,"""DAMN"" ⚡Killer⚡",6686,1,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Poison,9,9,Barbarian Barrel,9,9,Graveyard,6,6,Tombstone,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29V9VLGQ2,⭐️ Striker ⭐️,6686,0,#LLGV9C8P,KarojBo$$,16000098,Lava Hound,6,6,Fireball,12,12,Zap,14,14,Skeleton Dragons,14,14,Tombstone,12,12,Mega Minion,12,12,Balloon,9,9,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182953.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CPVJPR,"""DAMN"" ⚡Killer⚡",6659,1,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Poison,9,9,Barbarian Barrel,9,9,Graveyard,6,6,Tombstone,12,12,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QUUQQPJP,Linjiakun,6626,0,,,,Graveyard,6,6,Elite Barbarians,14,14,Minions,14,14,Arrows,14,14,Skeleton Army,9,9,Witch,9,9,Giant,12,12,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182634.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CPVJPR,"""DAMN"" ⚡Killer⚡",6684,0,#LVQUJQG2,GOTAGANG,16000097,Arrows,14,14,Mega Minion,12,12,Graveyard,6,6,Inferno Tower,12,12,Guards,9,9,Bowler,9,9,Freeze,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29QGY9YJC,Seb,6734,1,#YC8VL8LQ,B I C H O T A S,16000028,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Tombstone,12,12,Poison,9,9,Valkyrie,12,12,Graveyard,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182222.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CPVJPR,"""DAMN"" ⚡Killer⚡",6652,1,#LVQUJQG2,GOTAGANG,16000097,Arrows,14,14,Mega Minion,12,12,Graveyard,6,6,Inferno Tower,12,12,Guards,9,9,Bowler,9,9,Freeze,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QJ9JQUJL,莫念雪祥,6685,0,#99G0VYU,无与伦比,16000165,Bomber,14,14,Electro Giant,9,9,Barbarian Barrel,9,9,Baby Dragon,9,9,Lightning,9,9,Dark Prince,9,9,Tornado,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180928.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CPVJPR,"""DAMN"" ⚡Killer⚡",6684,0,#LVQUJQG2,GOTAGANG,16000097,Arrows,14,14,Mega Minion,12,12,Graveyard,6,6,Inferno Tower,12,12,Guards,9,9,Bowler,9,9,Freeze,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R9U2GC2,TopNotch,6654,1,#2C2PG2Q,FrEsNo FiNeSt,16000038,Lava Hound,6,6,Balloon,9,9,Guards,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Zap,14,14,Fireball,12,12,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180600.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CPVJPR,"""DAMN"" ⚡Killer⚡",6654,1,#LVQUJQG2,GOTAGANG,16000097,Arrows,14,14,Mega Minion,12,12,Graveyard,6,6,Inferno Tower,12,12,Guards,9,9,Bowler,9,9,Freeze,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88JGRLPVR,DesseRT<*>,6658,0,#9QCUPCY0,NordicAlliance™,16000168,Miner,6,6,Musketeer,12,12,Giant Snowball,14,14,Ice Golem,12,12,Balloon,9,9,Skeletons,14,14,The Log,6,6,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180113.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CPVJPR,"""DAMN"" ⚡Killer⚡",6685,0,#LVQUJQG2,GOTAGANG,16000097,Arrows,14,14,Mega Minion,12,12,Graveyard,6,6,Inferno Tower,12,12,Guards,9,9,Bowler,9,9,Freeze,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28UQYQ9C,ぼぼん,6663,1,#8G82CR,正義超人軍,16000098,Ram Rider,6,6,Bandit,6,6,Barbarian Barrel,9,9,P.E.K.K.A,9,9,Fireball,12,12,Electro Spirit,14,14,Royal Ghost,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
