type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T135619.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CQ8J82Y8,Park Min Seo,6879,1,#8JU9YVG8,라이라이,16000010,Royal Giant,14,14,Valkyrie,12,12,Baby Dragon,9,9,Mega Minion,12,12,Tombstone,12,12,Lightning,9,9,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#200U8CULL,RoCaT,6850,0,#LR0UL202,Twitter@RoCaT20,16000179,Lava Hound,6,6,Arrows,14,14,Electro Dragon,9,9,Flying Machine,12,12,Skeleton Dragons,14,14,Tombstone,12,12,Barbarians,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T134835.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#CQ8J82Y8,Park Min Seo,6879,1,#8JU9YVG8,라이라이,16000010,Archer Queen,1,4,Hog Rider,9,12,Mini P.E.K.K.A,9,12,Bats,11,14,Ice Golem,9,12,Skeletons,11,14,The Log,3,6,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90LP09VV,Wayne,6021,0,#2RC8GCJ,Awtkast,16000162,Zappies,9,12,Poison,6,9,Royal Hogs,9,12,Goblin Cage,9,12,Royal Recruits,11,14,Magic Archer,3,6,Flying Machine,9,12,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T120137.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#CQ8J82Y8,Park Min Seo,6879,1,#8JU9YVG8,라이라이,16000010,Archer Queen,1,4,Hog Rider,9,12,Mini P.E.K.K.A,9,12,Bats,11,14,Ice Golem,9,12,Skeletons,11,14,The Log,3,6,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V8L2QL9C,凯撒,5362,0,#PQRQV9G2,大肥车,16000128,Mega Knight,3,6,Hog Rider,9,12,Inferno Dragon,3,6,Ice Golem,9,12,Bats,11,14,Goblins,11,14,Ice Spirit,11,14,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T115741.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#CQ8J82Y8,Park Min Seo,6879,1,#8JU9YVG8,라이라이,16000010,Archer Queen,1,4,Hog Rider,9,12,Mini P.E.K.K.A,9,12,Bats,11,14,Ice Golem,9,12,Skeletons,11,14,The Log,3,6,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Y90L2PU2,misho,5660,0,#8JYY9GUC,GHOSTS,16000028,Rocket,9,12,The Log,3,6,Princess,3,6,Skeleton King,1,4,Tesla,11,14,Skeletons,11,14,Electro Spirit,11,14,Goblin Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T115330.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#CQ8J82Y8,Park Min Seo,6879,3,#8JU9YVG8,라이라이,16000010,Archer Queen,1,4,Hog Rider,9,12,Mini P.E.K.K.A,9,12,Bats,11,14,Ice Golem,9,12,Skeletons,11,14,The Log,3,6,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQU9C89R9,ALI DER BOSS,4252,0,#92Y2LGRV,4Us,16000165,Minion Horde,11,14,Skeleton Army,6,9,Royal Giant,11,14,Rage,6,9,Skeletons,11,14,Royal Hogs,9,12,Golden Knight,1,4,Hog Rider,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T114925.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#CQ8J82Y8,Park Min Seo,6879,3,#8JU9YVG8,라이라이,16000010,Ram Rider,3,6,P.E.K.K.A,6,9,Inferno Dragon,3,6,Goblin Cage,9,12,Fireball,9,12,Electro Wizard,3,6,Magic Archer,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UP2C9PPP,OscarAkbar,5382,0,#L0GCJ8VQ,ALLAHAKBAR,16000104,Ram Rider,3,6,Royal Ghost,3,6,Golden Knight,1,4,Electro Wizard,3,6,P.E.K.K.A,6,9,Electro Spirit,11,14,Giant Snowball,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T114603.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#CQ8J82Y8,Park Min Seo,6879,1,#8JU9YVG8,라이라이,16000010,Ram Rider,3,6,P.E.K.K.A,6,9,Inferno Dragon,3,6,Goblin Cage,9,12,Fireball,9,12,Electro Wizard,3,6,Magic Archer,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYJPVJQP,vir,5409,0,#GPVC0L,the division!,16000078,Ram Rider,3,6,Archer Queen,1,4,Bandit,3,6,Royal Ghost,3,6,Barbarian Barrel,6,9,Electro Spirit,11,14,Mega Knight,3,6,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T114203.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,5,eventDeck,#CQ8J82Y8,Park Min Seo,6879,3,#8JU9YVG8,라이라이,16000010,Ram Rider,3,6,P.E.K.K.A,6,9,Inferno Dragon,3,6,Goblin Cage,9,12,Fireball,9,12,Electro Wizard,3,6,Magic Archer,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YLVC9YQ9Y,logan,2418,0,#Q9PR9L2Y,Ih_Eu,16000171,Ram Rider,3,6,Mega Knight,3,6,Golden Knight,1,4,Elite Barbarians,11,14,Minions,11,14,Goblin Gang,11,14,Zap,11,14,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T114031.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#CQ8J82Y8,Park Min Seo,6879,1,#8JU9YVG8,라이라이,16000010,Ram Rider,3,6,P.E.K.K.A,6,9,Inferno Dragon,3,6,Goblin Cage,9,12,Fireball,9,12,Electro Wizard,3,6,Magic Archer,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8C2PCG8R,Nicrobe N,5318,0,#L9U0UG08,1vs1 rn,16000139,Ram Rider,3,6,Golden Knight,1,4,Royal Ghost,3,6,Electro Wizard,3,6,Electro Spirit,11,14,Barbarian Barrel,6,9,P.E.K.K.A,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T113557.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#CQ8J82Y8,Park Min Seo,6879,0,#8JU9YVG8,라이라이,16000010,Ram Rider,3,6,Lumberjack,3,6,Inferno Dragon,3,6,Royal Ghost,3,6,Fireball,9,12,Zappies,9,12,Magic Archer,3,6,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89GGCVVRC,DARK WOLF,5419,3,#LLR9C800,「ZRW๛ Team」,16000028,Ram Rider,3,6,Golden Knight,1,4,Electro Wizard,3,6,Inferno Dragon,3,6,Mega Knight,3,6,Wizard,9,12,Bats,11,14,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
