type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T143106.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6747,1,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80LVLRVQ,Davorin,6754,0,,,,Skeleton Army,9,9,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Dart Goblin,12,12,The Log,6,6,Princess,6,6,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142423.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6718,1,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P8PYJQL9,ミッキーねずみ,6709,0,#2QUPV90,キャンディーズ,16000038,Rascals,14,14,Prince,9,9,Goblin Barrel,9,9,Guards,9,9,Princess,6,6,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141658.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6687,2,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LGRJQQYG,(·_·)HIKA(·_·),6708,1,#QP0Y0YR2,堀ちゃん本部,16000108,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Minions,14,14,Zap,14,14,Fireball,12,12,Tombstone,12,12,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141203.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6660,1,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82GGPUQYG,大罗天⭐羽辰,6631,0,#PJ9GYGV2,西夏壹品堂,16000077,Mega Knight,6,6,Dart Goblin,12,12,Skeleton Army,9,9,Goblin Barrel,9,9,Royal Giant,14,14,Bats,14,14,Princess,6,6,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140635.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6690,0,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89VLRC9QG,Youtube SunnyCR,6680,1,#Q9P2CQV,사랑하는시청자분들,16000045,Ice Wizard,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Poison,9,9,Tombstone,12,12,Graveyard,6,6,Knight,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140109.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6663,1,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JUPU0LPV,Rocket神T3kT0n1k,6629,0,#Y0QR0Y2U,NoA,16000009,Goblin Barrel,9,9,Cannon Cart,9,9,Dark Prince,9,9,Bandit,6,6,Rocket,12,12,Giant Snowball,14,14,Princess,6,6,Rascals,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135740.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6637,1,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQJ02VGC2,metallica,6597,0,#PRQQV9CC,0.3클 12기,16000040,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,Magic Archer,6,6,Fireball,12,12,Zap,14,14,P.E.K.K.A,9,9,Battle Ram,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134441.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6604,1,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CY82QGYV,AKA Leone,6643,0,#9QY9JG09,QLASH Sentry,16000020,Prince,9,9,Fireball,12,12,Zap,14,14,Arrows,14,14,Dark Prince,9,9,Mega Minion,12,12,Minions,14,14,Giant,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134033.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6634,1,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CLU8CL,ᴍʀ ʀᴏʙᴏᴛ,6634,3,#YRJQ0CUJ,Iranian Top,16000029,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Miner,6,6,Barbarians,14,14,Zap,14,14,Arrows,14,14,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133710.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6608,1,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JQL9JY08,Lucian,6572,0,#QL99U0VU,APOSENTADOS BR,16000058,Ram Rider,6,6,Royal Ghost,6,6,Barbarian Barrel,9,9,Lightning,9,9,Mega Knight,6,6,Electro Wizard,6,6,Bandit,6,6,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133149.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6579,1,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R0VP9CQL,LLlaLLlJlbl4oK,6569,0,#L0PC2RY0,Opponents,16000157,Goblin Giant,9,9,Sparky,6,6,Elite Barbarians,14,14,Electro Wizard,6,6,Dark Prince,9,9,Zap,13,14,Mega Minion,12,12,Rage,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132616.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6550,1,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22R2JCR2C,lord luderich,6549,0,#LVRQRV8C,Quartz™️,16000159,Mortar,14,14,Archer Queen,4,4,Bats,14,14,Miner,6,6,Valkyrie,12,12,Fireball,12,12,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132150.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6581,0,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80P9G9J9P,janng,6563,1,#2PGUG80,#Clash Dark,16000024,Hog Rider,12,12,Minion Horde,14,14,Goblins,14,14,Arrows,14,14,Fireball,12,12,Spear Goblins,14,14,Zap,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T131703.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6548,1,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QUPP9PUP,ぷぷりん。,6584,0,#Q9CYJLPY,Zaddies,16000148,Rocket,12,12,Valkyrie,12,12,Goblin Barrel,9,9,Princess,6,6,Tesla,14,14,Electro Spirit,14,14,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T131247.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6574,0,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28G2CC0CR,MONT™ Legendary,6612,1,#28GUJLR2,몽롱한곰,16000138,Wall Breakers,9,9,Arrows,13,14,Bats,13,14,Guards,9,9,Miner,6,6,Magic Archer,6,6,Valkyrie,12,12,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T130823.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#CYCLGGLV,attack,6546,1,#PQUC20,Dutch Corps,16000028,Hog Rider,12,12,Earthquake,12,12,Skeletons,14,14,Tesla,14,14,Valkyrie,12,12,Firecracker,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82G9J0JUR,LD — 過雲雨,6524,0,#L8088LR2,Loving Day - 2部,16000108,Barbarian Barrel,9,9,Mega Minion,12,12,Ice Golem,12,12,Mega Knight,6,6,Hunter,9,9,Goblin Hut,12,12,Poison,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
