type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20220104T175601.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#G2LUQ0RP0,❤SANTY❤,6926,0,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Graveyard,3,6,Elite Barbarians,11,14,Musketeer,9,12,Arrows,11,14,Giant,9,12,Bats,11,14,Skeleton Army,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VLGQVU89,Mauricio Bravo,5738,1,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Skeleton King,1,4,Miner,3,6,Mortar,11,14,Bats,11,14,Minion Horde,11,14,Fireball,9,12,Skeleton Army,6,9,Spear Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T175037.000Z,,54000017,Master III,72000007,Friendly,,collection,#G2LUQ0RP0,❤SANTY❤,6926,2,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Skeleton King,1,4,Miner,3,6,Mortar,11,14,Bats,11,14,Minion Horde,11,14,Fireball,9,12,Skeleton Army,6,9,Spear Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VLGQVU89,Mauricio Bravo,5738,1,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Graveyard,3,6,Elite Barbarians,11,14,Musketeer,9,12,Arrows,11,14,Giant,9,12,Bats,11,14,Skeleton Army,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T174424.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#G2LUQ0RP0,❤SANTY❤,6926,0,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Royal Delivery,11,14,Miner,3,6,Rascals,11,14,Balloon,6,9,Giant Snowball,11,14,Bats,11,14,Inferno Tower,9,12,Fisherman,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VLGQVU89,Mauricio Bravo,5738,2,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Minion Horde,11,14,Tornado,6,9,Balloon,6,9,Electro Wizard,3,6,Giant Skeleton,6,9,Lumberjack,3,6,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T174011.000Z,,54000017,Master III,72000007,Friendly,,collection,#G2LUQ0RP0,❤SANTY❤,6926,1,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Princess,3,6,Hunter,6,9,Goblin Barrel,6,9,Wall Breakers,6,9,Cannon Cart,6,9,Skeletons,11,14,Bandit,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VLGQVU89,Mauricio Bravo,5738,0,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Royal Delivery,11,14,Miner,3,6,Rascals,11,14,Balloon,6,9,Giant Snowball,11,14,Bats,11,14,Inferno Tower,9,12,Fisherman,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T173348.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#G2LUQ0RP0,❤SANTY❤,6926,1,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Minion Horde,11,14,Tornado,6,9,Balloon,6,9,Electro Wizard,3,6,Giant Skeleton,6,9,Lumberjack,3,6,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VLGQVU89,Mauricio Bravo,5738,0,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Princess,3,6,Hunter,6,9,Goblin Barrel,6,9,Wall Breakers,6,9,Cannon Cart,6,9,Skeletons,11,14,Bandit,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T172851.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#G2LUQ0RP0,❤SANTY❤,6926,1,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Knight,11,14,Spear Goblins,11,14,Bats,11,14,Wall Breakers,6,9,Miner,3,6,Poison,6,9,Bomb Tower,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VLGQVU89,Mauricio Bravo,5738,0,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Minion Horde,11,14,Tornado,6,9,Balloon,6,9,Electro Wizard,3,6,Giant Skeleton,6,9,Lumberjack,3,6,The Log,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T172429.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#G2LUQ0RP0,❤SANTY❤,6926,2,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Ice Golem,9,12,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VLGQVU89,Mauricio Bravo,5738,1,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Ice Golem,9,12,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T171845.000Z,,54000017,Master III,72000007,Friendly,,collection,#G2LUQ0RP0,❤SANTY❤,6926,3,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Ice Golem,9,12,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VLGQVU89,Mauricio Bravo,5738,0,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Ice Golem,9,12,Hog Rider,9,12,Cannon,11,14,Fireball,9,12,Ice Spirit,11,14,Skeletons,11,14,Musketeer,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170821.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#G2LUQ0RP0,❤SANTY❤,6899,1,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Bowler,9,9,Electro Wizard,6,6,Graveyard,6,6,Ice Wizard,6,6,Inferno Dragon,6,6,Freeze,9,9,Tornado,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9U8J2YUL,Don Cangrejo,6865,0,#QRVPP8QQ,Matoooola,16000165,Tesla,14,14,Goblin Drill,9,9,Fire Spirit,14,14,Valkyrie,12,12,Wall Breakers,9,9,Bomber,14,14,Skeleton Army,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T170313.000Z,,54000017,Master III,72000007,Friendly,,collection,#G2LUQ0RP0,❤SANTY❤,6899,1,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Bowler,6,9,Electro Wizard,3,6,Graveyard,3,6,Ice Wizard,3,6,Inferno Dragon,3,6,Freeze,6,9,Tornado,6,9,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VLGQVU89,Mauricio Bravo,5738,0,#GV8UQUU,尺ﾘЦ Team 龍,16000144,Tornado,6,9,Valkyrie,9,12,Graveyard,3,6,Baby Dragon,6,9,Bowler,6,9,Freeze,6,9,Electro Wizard,3,6,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
