type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T182413.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#R2YP8YRY,Remox™,6177,1,#GJ9G9R,#FresherThanYou,16000168,Hog Rider,12,12,Valkyrie,12,12,Goblins,14,14,Rocket,12,12,Executioner,9,9,The Log,6,6,Ice Spirit,14,14,Tornado,9,9,#G8JULY2P,イワシ,,1,#YGJV2VL0,ねこ,16000002,Rascals,14,14,Goblin Barrel,9,9,Dart Goblin,12,12,Rocket,12,12,Prince,9,9,Guards,9,9,Princess,6,6,The Log,6,6,#8VL2VLJY,Evil,5433,0,#2UVL8C2,تهران رویال 1,16000081,Musketeer,12,12,Barbarians,14,14,Goblins,14,14,Valkyrie,12,12,Hog Rider,12,12,Freeze,9,9,Wizard,12,12,Fireball,12,12,#8C9LVVPQQ,josueancieta,,0,#Y0YRUV0R,©™LEGENDARIOS™®,16000028,Skeleton Army,9,9,Witch,9,9,Knight,14,14,Ice Wizard,6,6,Arrows,14,14,Golem,9,9,Night Witch,6,6,Lightning,9,9
casual2v2,20220104T182058.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#R2YP8YRY,Remox™,6177,1,#GJ9G9R,#FresherThanYou,16000168,Hog Rider,12,12,Valkyrie,12,12,Goblins,14,14,Rocket,12,12,Executioner,9,9,The Log,6,6,Ice Spirit,14,14,Tornado,9,9,#G8JULY2P,イワシ,,1,#YGJV2VL0,ねこ,16000002,Rascals,14,14,Goblin Barrel,9,9,Dart Goblin,12,12,Rocket,12,12,Prince,9,9,Guards,9,9,Princess,6,6,The Log,6,6,#2VPPLULRG,stacustars,5648,0,#2RQRLYR2,Ukraine,16000175,Zap,14,14,Skeleton Army,9,9,Tesla,14,14,Rage,9,9,Goblin Barrel,9,9,Mega Knight,6,6,Wizard,12,12,Bomber,14,14,#YYRPY2GU9,SHARK,,0,#LCJ9U289,● ♤{ĹĚĞÊŇĎ}♤●,16000122,Dart Goblin,12,12,Firecracker,14,14,Baby Dragon,9,9,Arrows,14,14,Valkyrie,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Mega Knight,6,6
casual2v2,20220104T181649.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#R2YP8YRY,Remox™,6177,1,#GJ9G9R,#FresherThanYou,16000168,Hog Rider,12,12,Valkyrie,12,12,Goblins,14,14,Rocket,12,12,Executioner,9,9,The Log,6,6,Ice Spirit,14,14,Tornado,9,9,#G8JULY2P,イワシ,,1,#YGJV2VL0,ねこ,16000002,Rascals,14,14,Goblin Barrel,9,9,Dart Goblin,12,12,Rocket,12,12,Prince,9,9,Guards,9,9,Princess,6,6,The Log,6,6,#9PUQ8YYG,azher,5764,0,#YLQRQLVQ,clan,16000017,Furnace,12,12,Inferno Tower,12,12,Balloon,9,9,Flying Machine,12,12,Valkyrie,12,12,Witch,9,9,Lightning,9,9,Arrows,14,14,#P8YCJPL8L,Senna,,0,#LC0Y0LP,Turcos,16000030,Graveyard,6,6,Freeze,9,9,Baby Dragon,9,9,Witch,9,9,Valkyrie,12,12,Inferno Tower,12,12,Skeleton Army,9,9,Rocket,12,12
casual2v2,20220104T181337.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#R2YP8YRY,Remox™,6177,2,#GJ9G9R,#FresherThanYou,16000168,Hog Rider,12,12,Valkyrie,12,12,Goblins,14,14,Rocket,12,12,Executioner,9,9,The Log,6,6,Ice Spirit,14,14,Tornado,9,9,#G8JULY2P,イワシ,,2,#YGJV2VL0,ねこ,16000002,Rascals,14,14,Goblin Barrel,9,9,Dart Goblin,12,12,Rocket,12,12,Prince,9,9,Guards,9,9,Princess,6,6,The Log,6,6,#QR9Y2282G,Amer,5571,0,#L0QQR8C,bala7,16000171,Zap,14,14,Goblin Gang,14,14,Fireball,12,12,Valkyrie,12,12,Hog Rider,12,12,Inferno Tower,12,12,Witch,9,9,Mega Knight,6,6,#VV8L8J2V,Gogofire,,0,#L0QQR8C,bala7,16000171,Bandit,6,6,P.E.K.K.A,9,9,Magic Archer,6,6,Zap,13,14,Mega Knight,6,6,Electro Wizard,6,6,Bomber,14,14,Mirror,9,9
casual2v2,20220104T181024.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#R2YP8YRY,Remox™,6177,1,#GJ9G9R,#FresherThanYou,16000168,Hog Rider,12,12,Valkyrie,12,12,Goblins,14,14,Rocket,12,12,Executioner,9,9,The Log,6,6,Ice Spirit,14,14,Tornado,9,9,#G8JULY2P,イワシ,,1,#YGJV2VL0,ねこ,16000002,Rascals,14,14,Goblin Barrel,9,9,Dart Goblin,12,12,Rocket,12,12,Prince,9,9,Guards,9,9,Princess,6,6,The Log,6,6,#RYCUVGGL,Fanch,5416,0,#2RLPRVQ,Team Lyon,16000005,Wizard,12,12,Princess,6,6,Minion Horde,14,14,Bandit,6,6,Balloon,9,9,Elite Barbarians,14,14,Fireball,12,12,Rage,9,9,#8Q2RUVYL,Tony87,,0,#YRPGP98V,Prince Albert,16000029,Mega Knight,6,6,Fireball,12,12,Firecracker,14,14,Knight,14,14,Hog Rider,12,12,Magic Archer,6,6,Valkyrie,12,12,Tesla,14,14
casual2v2,20220104T180626.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#G8JULY2P,イワシ,6900,2,#YGJV2VL0,ねこ,16000002,Rascals,14,14,Goblin Barrel,9,9,Dart Goblin,12,12,Rocket,12,12,Prince,9,9,Guards,9,9,Princess,6,6,The Log,6,6,#22LC8JG02,JorZ⚡️Mortar,,2,#LPCVJVGQ,JorZ Royale,16000012,Electro Giant,8,9,Tornado,7,9,Guards,9,9,Inferno Dragon,6,6,Ice Wizard,5,6,Cannon Cart,9,9,Lightning,6,9,The Log,5,6,#PV998C2C,Samuelinho,5377,0,#LCR99G0J,Los Diavolos,16000125,Skeletons,13,14,The Log,6,6,Golden Knight,2,4,Cannon,13,14,Musketeer,11,12,Hog Rider,12,12,Ice Spirit,13,14,Fireball,12,12,#9C2QQYP8L,Fredi XD,,0,#PQVYYR80,Dziki Gon,16000112,Bomber,13,14,Mega Knight,6,6,Inferno Dragon,5,6,Arrows,13,14,Golem,9,9,Mega Minion,12,12,Goblin Gang,14,14,Night Witch,6,6
casual2v2,20220104T180257.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#R2YP8YRY,Remox™,6177,1,#GJ9G9R,#FresherThanYou,16000168,X-Bow,9,9,Tesla,14,14,Ice Spirit,14,14,Archers,14,14,Knight,14,14,Skeletons,13,14,Fireball,12,12,The Log,6,6,#G8JULY2P,イワシ,,1,#YGJV2VL0,ねこ,16000002,Rascals,14,14,Goblin Barrel,9,9,Dart Goblin,12,12,Rocket,12,12,Prince,9,9,Guards,9,9,Princess,6,6,The Log,6,6,#YULJYLLV0,Alex,5406,0,#QQLJUC0Y,Nosh,16000146,Valkyrie,12,12,Fireball,12,12,Hog Rider,12,12,Wizard,12,12,Minion Horde,14,14,P.E.K.K.A,9,9,Skeleton Army,8,9,Zap,14,14,#QY8QPUP0Y,DougfromDaLeaf,,0,#98LY9U8G,around.Da.way,16000145,Bandit,6,6,Princess,6,6,Knight,14,14,Arrows,14,14,Witch,9,9,Electro Wizard,6,6,Baby Dragon,9,9,Giant Skeleton,9,9
casual2v2,20220104T175928.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#R2YP8YRY,Remox™,6177,3,#GJ9G9R,#FresherThanYou,16000168,X-Bow,9,9,Tesla,14,14,Ice Spirit,14,14,Archers,14,14,Knight,14,14,Skeletons,13,14,Fireball,12,12,The Log,6,6,#G8JULY2P,イワシ,,3,#YGJV2VL0,ねこ,16000002,Rascals,14,14,Goblin Barrel,9,9,Dart Goblin,12,12,Rocket,12,12,Prince,9,9,Guards,9,9,Princess,6,6,The Log,6,6,#LY02VVPJR,НаСтЮхА,5752,0,#PR90PYGL,Боевые 30+,16000005,P.E.K.K.A,9,9,Royal Ghost,6,6,Magic Archer,6,6,Fireball,12,12,Zap,14,14,Battle Ram,12,12,Bandit,6,6,Electro Wizard,6,6,#2RUY8R89Q,rockyboy007,,0,#29PRRLUU,syria,16000002,Mega Minion,12,12,Lightning,9,9,The Log,6,6,Valkyrie,12,12,Royal Giant,13,14,Goblin Gang,14,14,Furnace,12,12,Witch,9,9
casual2v2,20220104T175640.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#R2YP8YRY,Remox™,6177,3,#GJ9G9R,#FresherThanYou,16000168,X-Bow,9,9,Tesla,14,14,Ice Spirit,14,14,Archers,14,14,Knight,14,14,Skeletons,13,14,Fireball,12,12,The Log,6,6,#G8JULY2P,イワシ,,3,#YGJV2VL0,ねこ,16000002,Rascals,14,14,Goblin Barrel,9,9,Dart Goblin,12,12,Rocket,12,12,Prince,9,9,Guards,9,9,Princess,6,6,The Log,6,6,#2YR9UUQY,Nokomo Kudekara,5407,0,#PYVGJJ2C,Brasil Royalle,16000058,Ice Wizard,6,6,Bomber,14,14,Inferno Dragon,6,6,Royal Giant,14,14,Zap,14,14,The Log,6,6,Tornado,9,9,Lightning,9,9,#PVRJ0VRG2,럭키펀치한방,,0,#2L0V09U,성난 아저씨들,16000150,Magic Archer,6,6,Fireball,12,12,Goblin Barrel,9,9,Rocket,12,12,Arrows,13,14,Valkyrie,12,12,Tesla,13,14,Bats,13,14
casual2v2,20220104T175331.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#G8JULY2P,イワシ,6900,1,#YGJV2VL0,ねこ,16000002,Rascals,14,14,Goblin Barrel,9,9,Dart Goblin,12,12,Rocket,12,12,Prince,9,9,Guards,9,9,Princess,6,6,The Log,6,6,#R2YP8YRY,Remox™,,1,#GJ9G9R,#FresherThanYou,16000168,X-Bow,9,9,Tesla,14,14,Ice Spirit,14,14,Archers,14,14,Knight,14,14,Skeletons,13,14,Fireball,12,12,The Log,6,6,#9CCJJGPY,鱼之忆扉,5876,0,#2Y9CQ0P,钢铁巨兽,16000044,Barbarians,14,14,Prince,9,9,Zap,14,14,Furnace,12,12,Arrows,14,14,Bats,14,14,Valkyrie,12,12,Musketeer,12,12,#22Y2JUU82,Draco,,0,#20CPYJJJ,Savage Alliance,16000025,Hog Rider,12,12,Fireball,12,12,Ice Golem,12,12,The Log,6,6,Musketeer,12,12,Cannon,14,14,Skeletons,14,14,Ice Spirit,14,14
