type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T180546.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#G92C9J988,｢OLR™｣ ᴇʀɪᴄᴋ,6848,3,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Giant,12,12,Graveyard,6,6,Musketeer,12,12,Mini P.E.K.K.A,12,12,Skeleton Army,9,9,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CU088V8G,RS✨Fabian Åhr,6832,1,#YGL9PU80,Troops Of War,16000161,Inferno Dragon,6,6,Tornado,9,9,Balloon,9,9,Electro Wizard,6,6,Giant Skeleton,9,9,Golden Knight,4,4,Bomber,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180225.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#G92C9J988,｢OLR™｣ ᴇʀɪᴄᴋ,6818,3,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Giant,12,12,Graveyard,6,6,Musketeer,12,12,Mini P.E.K.K.A,12,12,Skeleton Army,9,9,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJVV2RPJ,огненный демон,6827,1,#LLL9PP98,ps 5,16000072,Lava Hound,6,6,Electro Dragon,9,9,Flying Machine,12,12,Fireball,12,12,Barbarians,14,14,Tornado,9,9,Goblin Cage,12,12,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175842.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#G92C9J988,｢OLR™｣ ᴇʀɪᴄᴋ,6848,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Giant,12,12,Graveyard,6,6,Musketeer,12,12,Mini P.E.K.K.A,12,12,Skeleton Army,9,9,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YGJ0VUP8,henrybalon:),6847,3,#PC0CYYYV,Magiczne Mrozy,16000034,Fireball,12,12,Zap,14,14,Magic Archer,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Battle Ram,12,12,P.E.K.K.A,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175456.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#G92C9J988,｢OLR™｣ ᴇʀɪᴄᴋ,6822,2,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Giant,12,12,Graveyard,6,6,Musketeer,12,12,Mini P.E.K.K.A,12,12,Skeleton Army,9,9,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80YGPLRG8,♣️ֆʀ.ɬʊʍɮασ♣️,6776,1,#G9999998,KhAoS SuPrEmE,16000125,Archers,14,14,Electro Spirit,14,14,Fireball,12,12,Knight,14,14,Skeletons,14,14,Tesla,14,14,The Log,6,6,X-Bow,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175055.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#G92C9J988,｢OLR™｣ ᴇʀɪᴄᴋ,6854,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Giant,12,12,Graveyard,6,6,Musketeer,12,12,Mini P.E.K.K.A,12,12,Skeleton Army,9,9,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9U8J2YUL,Don Cangrejo,6827,2,#QRVPP8QQ,Matoooola,16000165,Tesla,14,14,Goblin Drill,9,9,Fire Spirit,14,14,Valkyrie,12,12,Wall Breakers,9,9,Bomber,14,14,Skeleton Army,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T163228.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,2,eventDeck,#G92C9J988,｢OLR™｣ ᴇʀɪᴄᴋ,6854,3,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Ram Rider,3,6,P.E.K.K.A,6,9,Fireball,9,12,Mother Witch,3,6,Royal Ghost,3,6,Electro Wizard,3,6,Zap,11,14,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9Y98YP0R,Dastan,5241,1,,,,Ram Rider,3,6,Archer Queen,1,4,Mother Witch,3,6,Night Witch,3,6,P.E.K.K.A,6,9,Elite Barbarians,11,14,Wizard,9,12,Freeze,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T160229.000Z,,54000017,Master III,72000007,Friendly,,collection,#G92C9J988,｢OLR™｣ ᴇʀɪᴄᴋ,6854,0,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Spear Goblins,11,14,Wall Breakers,6,9,Magic Archer,3,6,Tornado,6,9,Fireball,9,12,Miner,3,6,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CUGQYGC,Itachi,6600,2,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Giant,9,12,Graveyard,3,6,Archer Queen,1,4,Dark Prince,6,9,Skeleton Army,6,9,Minions,11,14,Arrows,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T155827.000Z,,54000017,Master III,72000007,Friendly,,collection,#G92C9J988,｢OLR™｣ ᴇʀɪᴄᴋ,6854,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Lava Hound,3,6,Lumberjack,3,6,Flying Machine,9,12,Baby Dragon,6,9,Skeleton Army,6,9,Bats,11,14,Fireball,9,12,Clone,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CUGQYGC,Itachi,6600,2,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Fisherman,3,6,Royal Giant,11,14,Giant Skeleton,6,9,Zappies,9,12,Mother Witch,3,6,Fireball,9,12,Barbarian Barrel,6,9,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T155455.000Z,,54000003,Arena 3,72000007,Friendly,,collection,#G92C9J988,｢OLR™｣ ᴇʀɪᴄᴋ,6854,1,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Lava Hound,3,6,Balloon,6,9,Arrows,11,14,Inferno Dragon,3,6,Bomber,11,14,Minions,11,14,Giant Snowball,11,14,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CUGQYGC,Itachi,6600,3,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Golem,6,9,Electro Dragon,6,9,Baby Dragon,6,9,Barbarian Barrel,6,9,Night Witch,3,6,Lightning,6,9,Tornado,6,9,Tombstone,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132749.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#G92C9J988,｢OLR™｣ ᴇʀɪᴄᴋ,6823,3,#9QUQ8ULR,OS LENDÁRIOS✌,16000044,Giant,12,12,Graveyard,6,6,Musketeer,12,12,Mini P.E.K.K.A,12,12,Skeleton Army,9,9,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YRJULRCR,Kauã ♥️X-Bow,6841,1,#YPL0CYUP,ELZ1 eSports,16000122,Giant,12,12,Prince,9,9,Mega Minion,12,12,Fireball,12,12,Miner,6,6,Dark Prince,9,9,Electro Wizard,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
