type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T042535.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,2,eventDeck,#GCR2PRCL,André ❤️Irina,6800,0,#G898QUV8,UNIAO FULL⚡️,16000040,Ram Rider,3,6,Golden Knight,1,4,Mega Knight,3,6,Barbarian Barrel,6,9,Bandit,3,6,Electro Wizard,3,6,Inferno Dragon,3,6,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LY20RLQ9L,Zoleck,5332,1,#8QUVY9,Boixos Nois SBD,16000048,Ram Rider,3,6,The Log,3,6,Fireball,9,12,Electro Spirit,11,14,Cannon,11,14,Mirror,6,9,Electro Wizard,3,6,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T042220.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,1,eventDeck,#GCR2PRCL,André ❤️Irina,6800,3,#G898QUV8,UNIAO FULL⚡️,16000040,Ram Rider,3,6,Golden Knight,1,4,Mega Knight,3,6,Barbarian Barrel,6,9,Bandit,3,6,Electro Wizard,3,6,Inferno Dragon,3,6,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9C8R2L2,manuel leyend,5176,0,#QV989C2C,los pepinos,16000163,Ram Rider,3,6,Battle Healer,9,12,Witch,6,9,Mother Witch,3,6,Archers,11,14,Mega Minion,9,12,Valkyrie,9,12,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T042038.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#GCR2PRCL,André ❤️Irina,6800,3,#G898QUV8,UNIAO FULL⚡️,16000040,Ram Rider,3,6,Golden Knight,1,4,Mega Knight,3,6,Barbarian Barrel,6,9,Bandit,3,6,Electro Wizard,3,6,Inferno Dragon,3,6,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V0JUUQ0R,zedbey11,5145,1,#LLLPCJJP,Curry Goat,16000154,Ram Rider,3,6,Goblin Cage,9,12,Ice Wizard,3,6,Zap,11,14,Barbarians,11,14,Freeze,6,9,Mega Minion,9,12,Giant Skeleton,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T041614.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#GCR2PRCL,André ❤️Irina,6800,0,#G898QUV8,UNIAO FULL⚡️,16000040,Ice Golem,9,12,Rocket,9,12,Miner,3,6,Heal Spirit,9,12,Skeletons,11,14,Tesla,11,14,Giant Snowball,11,14,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9999088LR,MATHEUS,5296,3,#LPJ0YQQ0,Akatsuki,16000002,Hog Rider,9,12,The Log,3,6,Fireball,9,12,Ice Golem,9,12,Skeletons,11,14,Ice Spirit,11,14,Cannon,11,14,Musketeer,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T195350.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GCR2PRCL,André ❤️Irina,6833,0,#G898QUV8,UNIAO FULL⚡️,16000040,Giant,12,12,Mini P.E.K.K.A,12,12,Bats,14,14,Minion Horde,14,14,Sparky,6,6,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VLQLYG8,Kralj,6790,1,#G9P2YYG9,YouTube KraljCR,16000035,X-Bow,9,9,Cannon Cart,9,9,Tesla,14,14,Fireball,12,12,Skeletons,14,14,Ice Wizard,6,6,Fire Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T191830.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GCR2PRCL,André ❤️Irina,6804,2,#G898QUV8,UNIAO FULL⚡️,16000040,Giant,12,12,Mini P.E.K.K.A,12,12,Bats,14,14,Minion Horde,14,14,Sparky,6,6,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QRUPQQYP,⚡⚡SANTO XD ⚡⚡,6798,1,#9GLU0VCG,Guardianes,16000032,Executioner,9,9,P.E.K.K.A,9,9,Zap,14,14,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,Bandit,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T191207.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GCR2PRCL,André ❤️Irina,6771,2,#G898QUV8,UNIAO FULL⚡️,16000040,Giant,12,12,Mini P.E.K.K.A,12,12,Bats,14,14,Minion Horde,14,14,Sparky,6,6,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L9CRPL92C,terter 3,6807,1,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T190805.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GCR2PRCL,André ❤️Irina,6742,3,#G898QUV8,UNIAO FULL⚡️,16000040,Giant,12,12,Mini P.E.K.K.A,12,12,Bats,14,14,Minion Horde,14,14,Sparky,6,6,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L29PQLL,DramaKing,6741,1,#9R88QR0,Wu-Nation,16000156,Fireball,12,12,Fisherman,6,6,Zappies,12,12,Skeleton Army,9,9,Royal Giant,14,14,Skeleton King,4,4,The Log,6,6,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T190502.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GCR2PRCL,André ❤️Irina,6769,1,#G898QUV8,UNIAO FULL⚡️,16000040,Giant,12,12,Mini P.E.K.K.A,12,12,Bats,14,14,Minion Horde,14,14,Sparky,6,6,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYQGLCJ,EA ⚡️Dani⚡️,6800,2,#LPQRLQU2,rainbox,16000009,Giant,12,12,Graveyard,6,6,Skeleton Army,9,9,Dark Prince,9,9,Minions,14,14,Arrows,14,14,Giant Snowball,14,14,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T160535.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GCR2PRCL,André ❤️Irina,6738,2,#G898QUV8,UNIAO FULL⚡️,16000040,Giant,12,12,Mini P.E.K.K.A,12,12,Bats,14,14,Minion Horde,14,14,Sparky,6,6,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C88VYCJC,Twitch/EGW_CR,6757,1,#LP9QQLG9,The Rage Cult,16000106,Musketeer,12,12,Zap,14,14,Skeletons,13,14,Wall Breakers,9,9,Minions,14,14,Miner,6,6,Elite Barbarians,14,14,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
