type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T183524.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GJ820UYPC,MrAlphqZ,6837,1,#LVQUJQG2,GOTAGANG,16000097,Goblin Drill,9,9,The Log,6,6,Inferno Tower,12,12,Skeletons,14,14,Bomber,14,14,Bandit,6,6,Rocket,12,12,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CPPUVLQJ,Marco,6774,0,#Y02290QU,Dark knights 2,16000003,Cannon Cart,9,9,Mortar,14,14,Magic Archer,6,6,Miner,6,6,Minion Horde,14,14,The Log,5,6,Guards,8,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T140024.000Z,,54000016,Master II,72000007,Friendly,,collection,#GJ820UYPC,MrAlphqZ,6837,1,#LVQUJQG2,GOTAGANG,16000097,Graveyard,3,6,Valkyrie,9,12,Tombstone,9,12,Tornado,6,9,Archer Queen,1,4,Poison,6,9,Baby Dragon,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GR0GYJC,BK inconnu,6425,0,#YY2PYQ9L,FC PVLGA,16000015,Giant Snowball,11,14,Magic Archer,3,6,Golden Knight,1,4,Goblin Drill,6,9,Electro Wizard,3,6,Royal Ghost,3,6,Skeletons,11,14,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T135554.000Z,,54000016,Master II,72000007,Friendly,,collection,#GJ820UYPC,MrAlphqZ,6837,2,#LVQUJQG2,GOTAGANG,16000097,Goblin Drill,6,9,Wall Breakers,6,9,Zap,11,14,Mega Knight,3,6,Bandit,3,6,Archer Queen,1,4,Bats,11,14,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GR0GYJC,BK inconnu,6425,0,#YY2PYQ9L,FC PVLGA,16000015,Skeletons,11,14,Hog Rider,9,12,Ice Spirit,11,14,The Log,3,6,Earthquake,9,12,Firecracker,11,14,Valkyrie,9,12,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T113659.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GJ820UYPC,MrAlphqZ,6810,1,#LVQUJQG2,GOTAGANG,16000097,Goblin Drill,9,9,The Log,6,6,Inferno Tower,12,12,Skeletons,14,14,Bomber,14,14,Bandit,6,6,Rocket,12,12,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q0JQGRUV,❄Seori❄,6780,0,#QPJ9JQ2,공감,16000022,Valkyrie,12,12,Tornado,9,9,Poison,9,9,Miner,6,6,Bomb Tower,12,12,The Log,6,6,Mega Minion,12,12,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T113307.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GJ820UYPC,MrAlphqZ,6781,1,#LVQUJQG2,GOTAGANG,16000097,Goblin Drill,9,9,The Log,6,6,Inferno Tower,12,12,Skeletons,14,14,Bomber,14,14,Bandit,6,6,Rocket,12,12,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CJYLJ2LP,沼りんご/Swampple,6778,0,,,,The Log,6,6,Princess,6,6,Goblin Barrel,9,9,Tesla,14,14,Electro Spirit,14,14,Skeletons,14,14,Valkyrie,12,12,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T112536.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GJ820UYPC,MrAlphqZ,6749,1,#LVQUJQG2,GOTAGANG,16000097,Goblin Drill,9,9,The Log,6,6,Inferno Tower,12,12,Skeletons,14,14,Bomber,14,14,Bandit,6,6,Rocket,12,12,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22P2RCU2U,blair,6783,0,#RRQ2UCY,Rocket Pong #1,16000167,Bowler,9,9,Electro Wizard,6,6,Graveyard,6,6,Ice Wizard,6,6,Inferno Dragon,6,6,Freeze,9,9,Tornado,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T111911.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GJ820UYPC,MrAlphqZ,6722,1,#LVQUJQG2,GOTAGANG,16000097,Goblin Drill,9,9,The Log,6,6,Inferno Tower,12,12,Skeletons,14,14,Bomber,14,14,Bandit,6,6,Rocket,12,12,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGLGR8LC,hayconi,6692,0,#L8CPGJPU,cu,16000142,Knight,14,14,Mortar,14,14,Rocket,12,12,Archer Queen,4,4,Miner,6,6,Skeletons,14,14,The Log,6,6,Royal Delivery,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220103T155925.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#GJ820UYPC,MrAlphqZ,6722,1,,,,Goblin Drill,9,9,The Log,6,6,Inferno Tower,12,12,Skeletons,14,14,Bomber,14,14,Bandit,6,6,Rocket,12,12,Fire Spirit,14,14,#P9P28RR8,blue bird,,1,#LY9C8J9,UAE CaRTeLz,16000161,Electro Wizard,6,6,Earthquake,12,12,Barbarian Barrel,9,9,Mega Minion,12,12,Bandit,6,6,Poison,9,9,The Log,6,6,Bowler,9,9,#8929L9CQ,Vitaliy,5762,0,#JG0L9R,$КИЇВ$,16000175,Graveyard,6,6,P.E.K.K.A,9,9,Dark Prince,9,9,Electro Wizard,6,6,Barbarian Barrel,9,9,Baby Dragon,9,9,Freeze,8,9,Tornado,9,9,#GRGCG0LV,Leo Boss,,0,#L08QJRVQ,#1❤️,16000012,The Log,6,6,Executioner,9,9,Elite Barbarians,14,14,Skeleton Army,9,9,Goblin Barrel,9,9,Prince,9,9,Ice Wizard,6,6,Zap,14,14
PvP,20220103T120051.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GJ820UYPC,MrAlphqZ,6693,1,,,,Goblin Drill,9,9,The Log,6,6,Inferno Tower,12,12,Skeletons,14,14,Bomber,14,14,Bandit,6,6,Rocket,12,12,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RQ0C0LGJ,衛宮 士郎,6687,0,#2V928LJG,無課キング,16000024,P.E.K.K.A,9,9,Three Musketeers,12,12,Minions,14,14,Dark Prince,9,9,Bandit,6,6,Heal Spirit,12,12,Zap,14,14,Elixir Collector,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T110732.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GJ820UYPC,MrAlphqZ,6662,3,,,,Goblin Drill,9,9,The Log,6,6,Inferno Tower,12,12,Skeletons,14,14,Bomber,14,14,Bandit,6,6,Rocket,12,12,Fire Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0JJQQYY,ForGiveMe™,6679,0,#9G2PVP0R,Team Legacy,16000012,Royal Hogs,12,12,Zappies,12,12,Tornado,9,9,Barbarian Barrel,9,9,Firecracker,14,14,Earthquake,12,12,Giant Skeleton,9,9,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
