type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T192258.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,9,eventDeck,#GJVPRGQY,derplight,6721,3,#LRLVV98J,os gajos fixes,16000096,Skeleton Army,6,9,Mortar,11,14,Minion Horde,11,14,Miner,3,6,Spear Goblins,11,14,Fireball,9,12,Bats,11,14,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Y2Q08PUJ,Mini Aru✨,6221,1,#YLC99G0L,カウチポテト,16000159,Archer Queen,1,4,Royal Ghost,3,6,Bats,11,14,Miner,3,6,Zap,11,14,Wall Breakers,6,9,Prince,6,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T192001.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,9,eventDeck,#GJVPRGQY,derplight,6721,0,#LRLVV98J,os gajos fixes,16000096,Skeleton Army,6,9,Mortar,11,14,Minion Horde,11,14,Miner,3,6,Spear Goblins,11,14,Fireball,9,12,Bats,11,14,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92JC8RRU,Dominator,5972,3,#QQR0UPLQ,XxCakeShopxX,16000140,Goblin Giant,6,9,Zap,11,14,Bats,11,14,Fireball,9,12,Dark Prince,6,9,Electro Spirit,11,14,Fisherman,3,6,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T191738.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#GJVPRGQY,derplight,6721,1,#LRLVV98J,os gajos fixes,16000096,Skeleton Army,6,9,Mortar,11,14,Minion Horde,11,14,Miner,3,6,Spear Goblins,11,14,Fireball,9,12,Bats,11,14,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CVQUVRP2,Auron,5901,0,#LG980U8G,persia vs world,16000028,Giant,9,12,Bats,11,14,Minion Horde,11,14,Zap,11,14,Goblin Gang,11,14,Three Musketeers,9,12,Elixir Collector,9,12,Battle Ram,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T191409.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#GJVPRGQY,derplight,6721,1,#LRLVV98J,os gajos fixes,16000096,Skeleton Army,6,9,Mortar,11,14,Minion Horde,11,14,Miner,3,6,Spear Goblins,11,14,Fireball,9,12,Bats,11,14,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PUR8RVLJJ,でぃばいんのショタボCCさん✨,6498,0,#PYGQQC2P,Divine Saga,16000043,Inferno Dragon,3,6,Balloon,6,9,Lumberjack,3,6,Mega Knight,3,6,Witch,6,9,Freeze,6,9,Fireball,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T191049.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#GJVPRGQY,derplight,6721,1,#LRLVV98J,os gajos fixes,16000096,Skeleton Army,6,9,Mortar,11,14,Minion Horde,11,14,Miner,3,6,Spear Goblins,11,14,Fireball,9,12,Bats,11,14,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V8QQQVC8,Choi♥Pekka,5892,0,#J9CJLG0,다준다,16000126,Miner,3,6,Electro Wizard,3,6,Zap,11,14,P.E.K.K.A,6,9,Royal Ghost,3,6,Archer Queen,1,4,Bandit,3,6,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T190724.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,5,eventDeck,#GJVPRGQY,derplight,6721,1,#LRLVV98J,os gajos fixes,16000096,Skeleton Army,6,9,Mortar,11,14,Minion Horde,11,14,Miner,3,6,Spear Goblins,11,14,Fireball,9,12,Bats,11,14,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R9G00LPY,boy zl,6030,0,#LPUP0JJ,OS MAIS MAIS,16000083,Balloon,6,9,Inferno Dragon,3,6,Electro Wizard,3,6,Mini P.E.K.K.A,9,12,Valkyrie,9,12,Mega Knight,3,6,Rage,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T190405.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#GJVPRGQY,derplight,6721,1,#LRLVV98J,os gajos fixes,16000096,Skeleton Army,6,9,Mortar,11,14,Minion Horde,11,14,Miner,3,6,Spear Goblins,11,14,Fireball,9,12,Bats,11,14,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9U2JJ992L,maxmaso,5787,0,,,,Royal Giant,11,14,Goblin Cage,9,12,Fisherman,3,6,Barbarian Barrel,6,9,Dark Prince,6,9,Mother Witch,3,6,Mega Minion,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T185528.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#GJVPRGQY,derplight,6721,1,#LRLVV98J,os gajos fixes,16000096,Skeleton Army,6,9,Mortar,11,14,Minion Horde,11,14,Miner,3,6,Spear Goblins,11,14,Fireball,9,12,Bats,11,14,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QPG9C2U8,PepperiNick,6017,0,#PC90RLUR,Veterans Anon™,16000036,Freeze,6,9,Valkyrie,9,12,Inferno Dragon,3,6,Tornado,6,9,Bowler,6,9,Graveyard,3,6,Electro Wizard,3,6,Ice Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T185215.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#GJVPRGQY,derplight,6721,3,#LRLVV98J,os gajos fixes,16000096,Skeleton Army,6,9,Mortar,11,14,Minion Horde,11,14,Miner,3,6,Spear Goblins,11,14,Fireball,9,12,Bats,11,14,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PP9UJ29YJ,lorssnow,5688,0,#QJUUCLG9,indestructibles,16000163,Fireball,9,12,Goblin Cage,9,12,Zappies,9,12,The Log,3,6,Flying Machine,9,12,Skeletons,11,14,Royal Hogs,9,12,Golden Knight,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T184931.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#GJVPRGQY,derplight,6721,2,#LRLVV98J,os gajos fixes,16000096,Skeleton Army,6,9,Mortar,11,14,Minion Horde,11,14,Miner,3,6,Spear Goblins,11,14,Fireball,9,12,Bats,11,14,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GGC8L00L,YKing,5121,1,#LPUG02Y9,CRIAS DO MORRO,16000124,Zap,11,14,Electro Wizard,3,6,P.E.K.K.A,6,9,Hog Rider,9,12,Skeleton Army,6,9,Ice Wizard,3,6,Wizard,9,12,Goblin Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
