type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T152316.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GUV9L08,TMG☀️graveyard✨,6823,1,#GRCGGVU,이망고누가먹다망고야 2기,16000140,Baby Dragon,9,9,Poison,9,9,Tornado,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Knight,14,14,Graveyard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJLUC9L0,GRAVE YARD,6757,0,#V229JG,LEBANON,16000024,Giant,12,12,Archer Queen,4,4,Skeleton Army,9,9,Graveyard,6,6,Mega Minion,12,12,Bowler,9,9,Giant Snowball,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151617.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GUV9L08,TMG☀️graveyard✨,6794,1,#GRCGGVU,이망고누가먹다망고야 2기,16000140,Baby Dragon,9,9,Poison,9,9,Tornado,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Knight,14,14,Graveyard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LL0GLQQQ,日菜の召使い I MK,6789,0,,,,Mega Knight,6,6,Bats,14,14,Skeleton Army,9,9,Fireball,12,12,Skeleton King,4,4,Dart Goblin,12,12,Zappies,12,12,Skeleton Barrel,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151025.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GUV9L08,TMG☀️graveyard✨,6766,1,#GRCGGVU,이망고누가먹다망고야 2기,16000140,Baby Dragon,9,9,Poison,9,9,Tornado,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Knight,14,14,Graveyard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2CVG09Y,Jelle,6747,0,#YGL9PU80,Troops Of War,16000161,Skeletons,14,14,Fire Spirit,14,14,Firecracker,14,14,Tesla,14,14,Earthquake,12,12,Hog Rider,12,12,The Log,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150523.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GUV9L08,TMG☀️graveyard✨,6736,1,#GRCGGVU,이망고누가먹다망고야 2기,16000140,Baby Dragon,9,9,Poison,9,9,Tornado,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Knight,14,14,Graveyard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJ2G2R0,Deathstrøke,6741,0,#L8U8GLJJ,Solide™️,16000012,Golem,9,9,Night Witch,6,6,Bomber,14,14,Mega Minion,12,12,Baby Dragon,9,9,Zap,14,14,Tornado,8,9,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150052.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GUV9L08,TMG☀️graveyard✨,6765,0,#GRCGGVU,이망고누가먹다망고야 2기,16000140,Baby Dragon,9,9,Poison,9,9,Tornado,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Knight,14,14,Graveyard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LGQVY0JC,Darr,6772,1,#2PCVURCU,잎새 5기,16000170,The Log,6,6,Rocket,12,12,Knight,14,14,Ice Wizard,6,6,Skeletons,13,14,Tornado,7,9,Mega Minion,12,12,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145556.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GUV9L08,TMG☀️graveyard✨,6799,0,#GRCGGVU,이망고누가먹다망고야 2기,16000140,Baby Dragon,9,9,Poison,9,9,Tornado,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Knight,14,14,Graveyard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PQ9QCPL,Rocket | Viktor,6743,3,#28V2QQ9C,Rocket's,16000166,Royal Giant,14,14,Archer Queen,4,4,Dark Prince,9,9,Fisherman,6,6,Lightning,9,9,The Log,6,6,Electro Spirit,14,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145052.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GUV9L08,TMG☀️graveyard✨,6827,0,#GRCGGVU,이망고누가먹다망고야 2기,16000140,Baby Dragon,9,9,Poison,9,9,Tornado,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Knight,14,14,Graveyard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89LY9LU2Y,Matte™️,6844,1,#Y0QR0Y2U,NoA,16000009,Tornado,8,9,Lightning,9,9,Goblin Cage,12,12,Skeletons,14,14,Dark Prince,9,9,Electro Giant,9,9,Bomber,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144452.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GUV9L08,TMG☀️graveyard✨,6796,1,#GRCGGVU,이망고누가먹다망고야 2기,16000140,Baby Dragon,9,9,Poison,9,9,Tornado,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Knight,14,14,Graveyard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98R8GQ2,leon der große,6813,0,#LJLGUG8R,Twitter,16000108,Golem,9,9,Night Witch,6,6,Baby Dragon,9,9,Mega Minion,12,12,Skeletons,14,14,Lightning,9,9,Tornado,9,9,Elixir Collector,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143940.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GUV9L08,TMG☀️graveyard✨,6766,1,#GRCGGVU,이망고누가먹다망고야 2기,16000140,Baby Dragon,9,9,Poison,9,9,Tornado,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Knight,14,14,Graveyard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LGCQVLJ,为什么不能升级？,6772,0,#9QGQQGPU,疯人院,16000028,Ram Rider,6,6,Baby Dragon,9,9,Royal Ghost,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T133929.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#GUV9L08,TMG☀️graveyard✨,6766,1,#GRCGGVU,이망고누가먹다망고야 2기,16000140,Miner,3,6,Fireball,9,12,Wall Breakers,6,9,Bats,11,14,Spear Goblins,11,14,Bomb Tower,9,12,Valkyrie,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9G28QPJL,TMG☀️하리보☀️,5792,0,#GRCGGVU,이망고누가먹다망고야 2기,16000140,Three Musketeers,9,12,Heal Spirit,9,12,Elite Barbarians,11,14,Bandit,3,6,Cannon Cart,6,9,Ice Golem,9,12,Barbarian Barrel,6,9,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
