type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T143427.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GYGJ9JYC,TGP I Lemon,6805,1,#LR0CGPL2,Live on twich,16000003,P.E.K.K.A,9,9,Bandit,6,6,Magic Archer,6,6,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2CVG09Y,Jelle,6742,0,,,,Skeletons,14,14,Fire Spirit,14,14,Firecracker,14,14,Tesla,14,14,Earthquake,12,12,Hog Rider,12,12,The Log,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T035036.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#GYGJ9JYC,TGP I Lemon,6805,0,#LR0CGPL2,Live on twich,16000003,Miner,3,6,Prince,6,9,Archer Queen,1,4,Arrows,11,14,Zap,11,14,Bats,11,14,Wall Breakers,6,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QCGVU2JJ,こーぎ❦,6600,1,,,,Goblin Giant,6,9,Sparky,3,6,Golden Knight,1,4,Dark Prince,6,9,Electro Wizard,3,6,Mega Minion,9,12,Rage,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T034720.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#GYGJ9JYC,TGP I Lemon,6805,0,#LR0CGPL2,Live on twich,16000003,Miner,3,6,Prince,6,9,Archer Queen,1,4,Arrows,11,14,Zap,11,14,Bats,11,14,Wall Breakers,6,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLQ0LLR,roman reing,5884,1,#YCRV22C8,POTENCIACHILE 2,16000036,Golden Knight,1,4,Prince,6,9,Lightning,6,9,Mega Minion,9,12,Ram Rider,3,6,Bats,11,14,Baby Dragon,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T034332.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#GYGJ9JYC,TGP I Lemon,6805,1,#LR0CGPL2,Live on twich,16000003,Miner,3,6,Prince,6,9,Archer Queen,1,4,Arrows,11,14,Zap,11,14,Bats,11,14,Wall Breakers,6,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QVR2CLUP8,TIN Bokky,5700,0,#9JPVV98U,nekoist,16000003,Electro Giant,6,9,Archer Queen,1,4,Goblin Cage,9,12,Lightning,6,9,Tornado,6,9,Baby Dragon,6,9,Dark Prince,6,9,Bomber,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T033936.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#GYGJ9JYC,TGP I Lemon,6805,1,#LR0CGPL2,Live on twich,16000003,Miner,3,6,Prince,6,9,Archer Queen,1,4,Arrows,11,14,Zap,11,14,Bats,11,14,Wall Breakers,6,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J02GQRV8,infinateSwagger,5649,0,#8P9LYJ,Cali's Finest,16000179,Sparky,3,6,Zap,11,14,Mini P.E.K.K.A,9,12,Goblin Giant,6,9,Rage,6,9,Dark Prince,6,9,Mega Minion,9,12,Mother Witch,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T033614.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#GYGJ9JYC,TGP I Lemon,6805,3,#LR0CGPL2,Live on twich,16000003,Miner,3,6,Prince,6,9,Archer Queen,1,4,Arrows,11,14,Zap,11,14,Bats,11,14,Wall Breakers,6,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VGQRQY2Q,adrii09_,5369,1,#QC8289LU,pibes contables,16000172,Skeleton King,1,4,Goblin Barrel,6,9,Bats,11,14,Mega Knight,3,6,Princess,3,6,Skeleton Army,6,9,Dart Goblin,9,12,Prince,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T023856.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GYGJ9JYC,TGP I Lemon,6839,0,#LR0CGPL2,Live on twich,16000003,P.E.K.K.A,9,9,Bandit,6,6,Magic Archer,6,6,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q9G2YLCY,Light Goblin,6788,1,#LVRQUY2R,Twitter,16000020,Ice Golem,12,12,Hog Rider,12,12,Cannon,14,14,Fireball,12,12,Ice Spirit,14,14,Skeletons,14,14,Musketeer,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T023434.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GYGJ9JYC,TGP I Lemon,6867,0,#LR0CGPL2,Live on twich,16000003,P.E.K.K.A,9,9,Bandit,6,6,Magic Archer,6,6,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U9C8JRGJ,梦执✨,6885,1,#YYC0Y8RU,Royalsoul✨,16000102,P.E.K.K.A,9,9,Bandit,6,6,Minions,14,14,Miner,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T022911.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GYGJ9JYC,TGP I Lemon,6840,3,#LR0CGPL2,Live on twich,16000003,P.E.K.K.A,9,9,Bandit,6,6,Magic Archer,6,6,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8C88LJG0,AL | Perfect ❤️,6814,1,,,,Tornado,9,9,Baby Dragon,9,9,Dark Prince,9,9,Royal Delivery,14,14,Mega Minion,12,12,Freeze,9,9,Graveyard,6,6,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T022211.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#GYGJ9JYC,TGP I Lemon,6840,1,#LR0CGPL2,Live on twich,16000003,Miner,3,6,Prince,6,9,Archer Queen,1,4,Arrows,11,14,Zap,11,14,Bats,11,14,Wall Breakers,6,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJPUY09V,のりしお,5396,0,#QV8L2Q,ナッチャソ坊やん,16000140,Royal Giant,11,14,Dart Goblin,9,12,Skeleton Army,6,9,Mega Knight,3,6,Goblin Barrel,6,9,Bats,11,14,Prince,6,9,Princess,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
