type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20220104T142305.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#GYV0VG0J,Yama | 圧倒される,6767,1,#LVRC2VCL,Wizard Gang,16000146,Royal Giant,11,14,Skeleton Army,6,9,Fireball,9,12,Mother Witch,3,6,Zappies,9,12,Fisherman,3,6,The Log,3,6,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VPVR8G2,GIA Yeray,6166,0,#8JCRCQ0U,brota canabica,16000075,Fireball,9,12,Archer Queen,1,4,Miner,3,6,Bats,11,14,Mortar,11,14,Guards,6,9,The Log,3,6,Knight,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141817.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GYV0VG0J,Yama | 圧倒される,6741,3,#LVRC2VCL,Wizard Gang,16000146,Royal Hogs,12,12,Heal Spirit,12,12,Royal Delivery,14,14,The Log,6,6,Firecracker,14,14,Earthquake,12,12,Hunter,9,9,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QJG2UC9,jaime,6700,1,,,,Balloon,9,9,Arrows,14,14,Goblin Gang,14,14,Minion Horde,14,14,Bats,14,14,Freeze,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141422.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GYV0VG0J,Yama | 圧倒される,6708,1,#LVRC2VCL,Wizard Gang,16000146,Royal Hogs,12,12,Heal Spirit,12,12,Royal Delivery,14,14,The Log,6,6,Firecracker,14,14,Earthquake,12,12,Hunter,9,9,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QUV8R88Y,GianpaoloPEKKA™,6745,0,#RLPCRY,Fedeltà♡,16000044,Golden Knight,4,4,Zap,14,14,Fireball,12,12,Fisherman,6,6,P.E.K.K.A,9,9,Mother Witch,6,6,Electro Wizard,6,6,Battle Ram,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141035.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GYV0VG0J,Yama | 圧倒される,6738,0,#LVRC2VCL,Wizard Gang,16000146,Royal Hogs,12,12,Heal Spirit,12,12,Royal Delivery,14,14,The Log,6,6,Firecracker,14,14,Earthquake,12,12,Hunter,9,9,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCQ89GV9,angel,6735,1,#LLPG8CUV,Twitch L Calvo,16000124,Lumberjack,6,6,Balloon,9,9,Tornado,9,9,Barbarian Barrel,9,9,Inferno Dragon,6,6,Bowler,9,9,Electro Dragon,9,9,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T035040.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GYV0VG0J,Yama | 圧倒される,6709,2,#LVRC2VCL,Wizard Gang,16000146,Royal Hogs,12,12,Heal Spirit,12,12,Royal Delivery,14,14,The Log,6,6,Firecracker,14,14,Earthquake,12,12,Hunter,9,9,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q9PC9YUL,⚡ANDRÉ⚡™ツ,6708,1,,,,Giant,12,12,Bowler,9,9,Graveyard,6,6,Bats,14,14,Skeleton Army,9,9,Night Witch,6,6,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T034355.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GYV0VG0J,Yama | 圧倒される,6679,2,#LVRC2VCL,Wizard Gang,16000146,Royal Hogs,12,12,Heal Spirit,12,12,Royal Delivery,14,14,The Log,6,6,Firecracker,14,14,Earthquake,12,12,Hunter,9,9,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YGGCPYJ,JUACHIN l..l,6687,0,#YVRR2P2V,50 Kings SV™,16000146,Giant,12,12,Skeleton Army,9,9,Dark Prince,9,9,Witch,9,9,Graveyard,6,6,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T033827.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GYV0VG0J,Yama | 圧倒される,6652,1,#LVRC2VCL,Wizard Gang,16000146,Royal Hogs,12,12,Heal Spirit,12,12,Royal Delivery,14,14,The Log,6,6,Firecracker,14,14,Earthquake,12,12,Hunter,9,9,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLGPJG88,루네스,6626,0,#YVYLP9LP,COCACOLA/코카콜라,16000166,Prince,9,9,Giant,12,12,Dark Prince,9,9,Fireball,12,12,Miner,6,6,Zap,14,14,Electro Wizard,6,6,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T033341.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GYV0VG0J,Yama | 圧倒される,6683,0,#LVRC2VCL,Wizard Gang,16000146,Royal Hogs,12,12,Heal Spirit,12,12,Royal Delivery,14,14,The Log,6,6,Archer Queen,4,4,Earthquake,12,12,Hunter,9,9,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJQGURRYG,大罗夫⭐️ELI,6671,1,#9CVJPUP,Sayajins,16000177,Giant,12,12,Minion Horde,14,14,Zap,14,14,Bats,14,14,Sparky,6,6,Skeleton Army,9,9,Arrows,14,14,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T032919.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GYV0VG0J,Yama | 圧倒される,6713,0,#LVRC2VCL,Wizard Gang,16000146,Royal Hogs,12,12,Heal Spirit,12,12,Royal Delivery,14,14,The Log,6,6,Firecracker,14,14,Earthquake,12,12,Hunter,9,9,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LV8CQCP29,FTV Poncho⚡,6705,1,,,,Mortar,14,14,Miner,6,6,Poison,9,9,Musketeer,12,12,Bats,14,14,Giant Snowball,14,14,Skeletons,14,14,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T015935.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#GYV0VG0J,Yama | 圧倒される,6680,1,#PPCLCJG9,AK Syndicate,16000044,Royal Hogs,12,12,Heal Spirit,12,12,Royal Delivery,14,14,The Log,6,6,Firecracker,14,14,Earthquake,12,12,Hunter,9,9,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GYUQQCLV,TRB Anaban✨,6720,0,#LRR9CLYR,ChasMacGaming,16000102,Electro Wizard,6,6,Royal Ghost,6,6,Battle Ram,12,12,Bandit,6,6,Fireball,12,12,Magic Archer,6,6,Zap,14,14,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
