type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T155837.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JCRG0JR,WHITE✨,6722,1,#8Y0LR8GU,Nova I Iran 2,16000038,Skeleton Army,9,9,Mortar,14,14,Miner,6,6,Fireball,12,12,Spear Goblins,14,14,Bats,14,14,Minion Horde,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LR9R9RUR,● JuanPablo ●,6719,0,#L2PRY8C,Los valientes,16000008,Baby Dragon,9,9,Electro Giant,9,9,Bowler,9,9,Tornado,8,9,Mega Minion,12,12,Goblin Cage,12,12,Lightning,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154755.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JCRG0JR,WHITE✨,6696,1,#8Y0LR8GU,Nova I Iran 2,16000038,Skeleton Army,9,9,Mortar,14,14,Miner,6,6,Fireball,12,12,Spear Goblins,14,14,Bats,14,14,Minion Horde,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P80L2PLJ,小k,6660,0,#9QGQQGPU,疯人院,16000028,Knight,14,14,Hog Rider,12,12,Archer Queen,4,4,Bomb Tower,12,12,Skeletons,14,14,Fire Spirit,14,14,Earthquake,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T154244.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JCRG0JR,WHITE✨,6722,0,#8Y0LR8GU,Nova I Iran 2,16000038,Skeleton Army,9,9,Mortar,14,14,Miner,6,6,Fireball,12,12,Spear Goblins,14,14,Bats,14,14,Minion Horde,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GG90QCC,3⭐KAYSERİ⭐8,6758,1,#P0YLYUY,ADALET-İ MAHZA,16000030,Golem,9,9,Night Witch,6,6,Bats,14,14,Baby Dragon,9,9,Lightning,9,9,Bomber,14,14,Prince,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153926.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JCRG0JR,WHITE✨,6690,3,#8Y0LR8GU,Nova I Iran 2,16000038,Skeleton Army,9,9,Mortar,14,14,Miner,6,6,Fireball,12,12,Spear Goblins,14,14,Bats,14,14,Minion Horde,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89R0GRQ20,ÄYÛSH,6714,0,#LUQY0QQL,#TOP INDIA™️,16000017,Lava Hound,6,6,Balloon,9,9,Fireball,12,12,Valkyrie,12,12,Skeleton Dragons,14,14,Mega Minion,12,12,Tombstone,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153635.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JCRG0JR,WHITE✨,6660,1,#8Y0LR8GU,Nova I Iran 2,16000038,Skeleton Army,9,9,Mortar,14,14,Miner,6,6,Fireball,12,12,Spear Goblins,14,14,Bats,14,14,Minion Horde,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2CVG09Y,Jelle,6664,0,#YGL9PU80,Troops Of War,16000161,Skeletons,14,14,Fire Spirit,14,14,Firecracker,14,14,Tesla,14,14,Earthquake,12,12,Hog Rider,12,12,The Log,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153225.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JCRG0JR,WHITE✨,6627,1,#8Y0LR8GU,Nova I Iran 2,16000038,Skeleton Army,9,9,Mortar,14,14,Miner,6,6,Fireball,12,12,Spear Goblins,14,14,Bats,14,14,Minion Horde,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RQ8VYCPL,aliKakaヅ,6669,0,#PLUY9C9Y,Iran Diamond,16000046,Giant,12,12,Zap,14,14,Witch,9,9,Mini P.E.K.K.A,12,12,Sparky,6,6,Mega Minion,12,12,Rage,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152907.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JCRG0JR,WHITE✨,6601,1,#8Y0LR8GU,Nova I Iran 2,16000038,Skeleton Army,9,9,Mortar,14,14,Miner,6,6,Fireball,12,12,Spear Goblins,14,14,Bats,14,14,Minion Horde,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V8YPU0VJ,Armando❤Daniela,6563,0,#Y2JLVUU0,FAMILIA HN⚡,16000144,Giant,12,12,Minions,14,14,Giant Snowball,14,14,Graveyard,6,6,Archer Queen,4,4,Arrows,14,14,Dark Prince,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152523.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JCRG0JR,WHITE✨,6569,1,#8Y0LR8GU,Nova I Iran 2,16000038,Skeleton Army,9,9,Mortar,14,14,Miner,6,6,Fireball,12,12,Spear Goblins,14,14,Bats,14,14,Minion Horde,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y2RLJPGRU,Violet,6602,0,#QU9Q28QP,ひなちゃん____17,16000108,Inferno Dragon,6,6,Spear Goblins,14,14,Ram Rider,6,6,Bats,14,14,Goblin Gang,14,14,Miner,6,6,Zap,14,14,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152001.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JCRG0JR,WHITE✨,6602,0,#8Y0LR8GU,Nova I Iran 2,16000038,Skeleton Army,9,9,Mortar,14,14,Miner,6,6,Fireball,12,12,Spear Goblins,14,14,Bats,14,14,Minion Horde,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GJL0CJPCC,matatabi,6567,1,,,,Giant,12,12,Electro Wizard,6,6,Fireball,12,12,Graveyard,6,6,Night Witch,6,6,Fisherman,5,6,Mega Minion,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132711.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JCRG0JR,WHITE✨,6572,1,#8Y0LR8GU,Nova I Iran 2,16000038,Skeleton Army,9,9,Mortar,14,14,Miner,6,6,Fireball,12,12,Spear Goblins,14,14,Bats,14,14,Minion Horde,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Y82QU8JU,UA | HansE,6579,0,#L0QPV,UNAUFHALTSAM,16000002,Night Witch,6,6,Graveyard,6,6,Dark Prince,9,9,Giant,12,12,Archer Queen,3,4,Fireball,12,12,Barbarian Barrel,9,9,Royal Delivery,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
