type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T150734.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JGGR80U,NutVan,6754,1,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Spear Goblins,14,14,Miner,6,6,Skeleton Army,9,9,Bats,14,14,Mortar,14,14,Fireball,12,12,Skeleton King,4,4,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LRLYPP8,EZ丨卡组万花筒Jason,6860,0,#99G0VYU,无与伦比,16000165,Electro Giant,9,9,Golden Knight,4,4,Tornado,9,9,Lightning,9,9,Skeletons,14,14,Barbarian Barrel,9,9,Goblin Cage,12,12,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145612.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JGGR80U,NutVan,6724,1,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Spear Goblins,14,14,Miner,6,6,Skeleton Army,9,9,Bats,14,14,Mortar,14,14,Fireball,12,12,Skeleton King,4,4,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Y0QGV9QG,Roi Gobelin,6727,0,#LVQUJQG2,GOTAGANG,16000097,Golem,9,9,Skeleton King,4,4,Graveyard,6,6,Skeleton Army,9,9,Night Witch,6,6,Inferno Dragon,6,6,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145153.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JGGR80U,NutVan,6751,0,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Spear Goblins,14,14,Miner,6,6,Skeleton Army,9,9,Bats,14,14,Mortar,14,14,Fireball,12,12,Skeleton King,4,4,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R0JC0P8R,smok,6776,1,#QU99PV29,love letter❤,16000109,Archers,14,14,Skeletons,14,14,Tesla,14,14,Rocket,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144449.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JGGR80U,NutVan,6724,3,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Spear Goblins,14,14,Miner,6,6,Skeleton Army,9,9,Bats,14,14,Mortar,14,14,Fireball,12,12,Skeleton King,4,4,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CUCCV8LV,xXcEjAzNeGrAzXx,6700,0,#RPQ98PV,Furia Roja «HN»,16000145,Barbarian Barrel,9,9,Tornado,9,9,Mega Minion,12,12,Baby Dragon,9,9,Dark Prince,9,9,Goblin Cage,12,12,Lightning,9,9,Electro Giant,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144154.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JGGR80U,NutVan,6696,1,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Spear Goblins,14,14,Miner,6,6,Skeleton Army,9,9,Bats,14,14,Mortar,14,14,Fireball,12,12,Skeleton King,4,4,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PQGPGGY,Awesome Fury,6680,0,#9GUCJRL0,Team Solid,16000113,Electro Wizard,6,6,Dark Prince,9,9,Prince,9,9,Mega Minion,12,12,Fireball,12,12,Giant,12,12,Zap,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143832.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JGGR80U,NutVan,6729,0,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Spear Goblins,14,14,Miner,6,6,Skeleton Army,9,9,Bats,14,14,Mortar,14,14,Fireball,12,12,Skeleton King,4,4,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RC8YYP28,薛定谔的猫,6688,1,#PV2G9U2L,darkzero,16000109,Graveyard,6,6,Freeze,9,9,Baby Dragon,9,9,Barbarian Barrel,8,9,Tombstone,12,12,Valkyrie,12,12,Archer Queen,4,4,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143459.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JGGR80U,NutVan,6697,1,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Fireball,12,12,Minion Horde,14,14,Cannon Cart,9,9,Mortar,14,14,Guards,9,9,Spear Goblins,14,14,The Log,6,6,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V9JUPPLY,alejo,6725,0,#L2J2GRL0,Dark prime,16000073,Giant Skeleton,9,9,Mega Minion,12,12,Golden Knight,4,4,Hog Rider,12,12,Arrows,14,14,Mother Witch,6,6,Freeze,9,9,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143130.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JGGR80U,NutVan,6731,0,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Fireball,12,12,Minion Horde,14,14,Cannon Cart,9,9,Mortar,14,14,Guards,9,9,Spear Goblins,14,14,The Log,6,6,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RUYVCC0R,Prin:),6680,1,#PYGQQC2P,Divine Saga,16000043,Princess,6,6,Hog Rider,12,12,Mini P.E.K.K.A,12,12,Ice Golem,12,12,Bats,14,14,Fire Spirit,14,14,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142715.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JGGR80U,NutVan,6701,2,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Spear Goblins,14,14,Miner,6,6,Skeleton Army,9,9,Bats,14,14,Mortar,14,14,Fireball,12,12,Skeleton King,4,4,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RCGG02RV,♠️♥️marco♥️♠️™️,6711,1,#PRR8Q8PL,le pecore nere,16000081,Elixir Golem,12,12,Arrows,14,14,Miner,6,6,Battle Healer,12,12,Rage,9,9,Electro Dragon,9,9,Inferno Dragon,6,6,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142319.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JGGR80U,NutVan,6732,1,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Spear Goblins,14,14,Miner,6,6,Skeleton Army,9,9,Bats,14,14,Mortar,14,14,Fireball,12,12,Skeleton King,4,4,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0L92GLU2,カメさん,6713,3,#LP90G9Q2,Last Resort,16000097,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
