type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T183538.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JRU88899,✨Snipezzz✨,6783,3,#LVRQRV8C,Quartz™️,16000159,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L8GLJV8C,LybraA_00,6728,0,#Q9VQ02YC,YT: Kralj CR,16000035,Archers,14,14,The Log,6,6,Fireball,12,12,Knight,14,14,Skeletons,14,14,Tesla,14,14,X-Bow,9,9,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183125.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JRU88899,✨Snipezzz✨,6751,1,#LVRQRV8C,Quartz™️,16000159,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80G2QYU02,脱獄 I the beast,6782,0,#LRPPR88J,prison break,16000176,Graveyard,6,6,Valkyrie,12,12,Archer Queen,4,4,Poison,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182607.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JRU88899,✨Snipezzz✨,6779,1,#LVRQRV8C,Quartz™️,16000159,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22RP89Q8,⚡TL Chris19⚡,6792,2,#L2PCC899,Ice Army,16000110,Baby Dragon,9,9,Balloon,9,9,Electro Wizard,6,6,Freeze,9,9,Lumberjack,6,6,P.E.K.K.A,9,9,Tornado,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165752.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JRU88899,✨Snipezzz✨,6749,1,#QUY2UGRL,ELITE ARMY,16000157,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UJPPP9UL,cece,6751,0,#YC0VQCC0,NoBrain NoGame,16000078,Golden Knight,4,4,Furnace,12,12,Mother Witch,6,6,Goblin Hut,12,12,Barbarian Barrel,9,9,Lightning,9,9,Mega Minion,12,12,Goblin Giant,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165008.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JRU88899,✨Snipezzz✨,6717,3,#QUY2UGRL,ELITE ARMY,16000157,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PVG0C9CR,すぷらっしゅ☪️おぉかみ❤️,6746,0,#YJQPRRQV,Splash moon,16000032,Ice Wizard,6,6,Tesla,14,14,Rocket,12,12,Skeletons,14,14,X-Bow,9,9,Valkyrie,12,12,The Log,6,6,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164702.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JRU88899,✨Snipezzz✨,6688,1,#QUY2UGRL,ELITE ARMY,16000157,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V8PJYVQ2,ᵛᵃᵐᵖⁱʳᵉ✨,6684,0,#28YYLVPP,tabriz,16000026,Golem,9,9,Bomber,14,14,Elite Barbarians,14,14,Night Witch,6,6,Lumberjack,6,6,Arrows,14,14,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164330.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JRU88899,✨Snipezzz✨,6662,2,#QUY2UGRL,ELITE ARMY,16000157,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GLLGUYGU,DBS｜⭐鲲⭐｜,6627,1,#CRP9LR0,Best丶传奇,16000024,P.E.K.K.A,9,9,Bandit,6,6,Electro Wizard,6,6,Magic Archer,6,6,Royal Ghost,6,6,Battle Ram,12,12,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163957.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JRU88899,✨Snipezzz✨,6630,3,#QUY2UGRL,ELITE ARMY,16000157,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UP2VL099,➳ᴹᴿ» ɱυɳƚαԃɾ⚡,6661,0,#YUPRJG8G,خبالات تايم┋✨♥️,16000077,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Ice Golem,12,12,Cannon,14,14,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163651.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JRU88899,✨Snipezzz✨,6662,0,#QUY2UGRL,ELITE ARMY,16000157,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28LUR080P,S☆R DarkSoldier,6631,1,#LP2LCGVG,Ad Astra,16000040,Royal Giant,14,14,Electro Spirit,14,14,Skeletons,14,14,Royal Ghost,6,6,Archer Queen,4,4,Fisherman,6,6,The Log,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163325.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JRU88899,✨Snipezzz✨,6694,0,#QUY2UGRL,ELITE ARMY,16000157,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Arrows,14,14,Witch,9,9,Dark Prince,9,9,Skeleton Army,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP098UL8L,✨LENUX✨™️,6670,3,#YGP9P2Y0,Dame de Trêfle,16000171,Freeze,9,9,Valkyrie,12,12,Inferno Dragon,6,6,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Electro Wizard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
