type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T144018.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JVQJ2VR0,Jer,6824,3,#90RVVC82,HongKong Elite,16000146,Electro Giant,9,9,Archer Queen,4,4,Dark Prince,9,9,Barbarian Barrel,9,9,Goblin Cage,12,12,Lightning,9,9,Tornado,8,9,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQYVQ2YJ,Charbel S,6848,1,#LJ0U898U,golden brothers,16000012,P.E.K.K.A,9,9,Ice Wizard,6,6,Tornado,9,9,Electro Dragon,9,9,Balloon,9,9,Lumberjack,6,6,Barbarian Barrel,9,9,Skeletons,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143649.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JVQJ2VR0,Jer,6791,1,#90RVVC82,HongKong Elite,16000146,Electro Giant,9,9,Archer Queen,4,4,Dark Prince,9,9,Barbarian Barrel,9,9,Goblin Cage,12,12,Lightning,9,9,Tornado,8,9,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCG2V8L2,PEACE ON EARTH,6826,0,#LGQC8CQ2,trade547,16000131,Tornado,8,9,Earthquake,12,12,Electro Giant,9,9,Fire Spirit,14,14,Archer Queen,4,4,Goblin Cage,12,12,The Log,6,6,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T100129.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#JVQJ2VR0,Jer,6791,3,#90RVVC82,HongKong Elite,16000146,Ram Rider,3,6,Archer Queen,1,4,Bandit,3,6,Electro Wizard,3,6,P.E.K.K.A,6,9,Lightning,6,9,Mirror,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22CU00Q2J,Btr,5117,0,#2UJV2PL0,Poland Masters2,16000164,Ram Rider,3,6,Skeleton King,1,4,Goblin Barrel,6,9,The Log,3,6,Fireball,9,12,Cannon,11,14,Magic Archer,3,6,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T095920.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#JVQJ2VR0,Jer,6791,3,#90RVVC82,HongKong Elite,16000146,Ram Rider,3,6,Archer Queen,1,4,Bandit,3,6,Electro Wizard,3,6,P.E.K.K.A,6,9,Lightning,6,9,Mirror,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JRV8UQGL,뽀로로,4082,0,#LY2009JV,흑우,16000126,Ram Rider,3,6,Ice Spirit,11,14,Skeletons,11,14,Tesla,11,14,Fireball,9,12,Musketeer,9,12,Ice Golem,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T095745.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,5,eventDeck,#JVQJ2VR0,Jer,6791,2,#90RVVC82,HongKong Elite,16000146,Ram Rider,3,6,Archer Queen,1,4,Bandit,3,6,Electro Wizard,3,6,P.E.K.K.A,6,9,Lightning,6,9,Mirror,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9P9PR2R2,willy ganteng,4316,1,#YCLCCUVG,LENGO POTRO,16000173,Ram Rider,3,6,Skeleton Army,6,9,Arrows,11,14,Mega Knight,3,6,Valkyrie,9,12,Hog Rider,9,12,Golden Knight,1,4,Lumberjack,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T095434.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,4,eventDeck,#JVQJ2VR0,Jer,6791,1,#90RVVC82,HongKong Elite,16000146,Ram Rider,3,6,Archer Queen,1,4,Bandit,3,6,Electro Wizard,3,6,P.E.K.K.A,6,9,Lightning,6,9,Mirror,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22JC2JVLP,BEWHY,5658,0,#YCUQC2Q,2030 친목,16000126,Ram Rider,3,6,Skeletons,11,14,Ice Spirit,11,14,Ice Golem,9,12,Fireball,9,12,Cannon,11,14,The Log,3,6,Musketeer,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T095120.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,3,eventDeck,#JVQJ2VR0,Jer,6791,3,#90RVVC82,HongKong Elite,16000146,Ram Rider,3,6,Archer Queen,1,4,Bandit,3,6,Electro Wizard,3,6,P.E.K.K.A,6,9,Lightning,6,9,Mirror,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C8V8VLUQ,82동건,5344,2,#8GVGU0JJ,No.1 Kr,16000126,Ram Rider,3,6,Golden Knight,1,4,Bandit,3,6,Mini P.E.K.K.A,9,12,Wizard,9,12,Dart Goblin,9,12,The Log,3,6,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T094814.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,2,eventDeck,#JVQJ2VR0,Jer,6791,1,#90RVVC82,HongKong Elite,16000146,Ram Rider,3,6,Archer Queen,1,4,Bandit,3,6,Electro Wizard,3,6,P.E.K.K.A,6,9,Lightning,6,9,Mirror,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9890V0UL2,cristian,5152,0,#Q8URPLJC,PIBES,16000001,Ram Rider,3,6,P.E.K.K.A,6,9,Electro Wizard,3,6,Lumberjack,3,6,Lightning,6,9,Bandit,3,6,Zap,11,14,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T071223.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JVQJ2VR0,Jer,6757,2,#90RVVC82,HongKong Elite,16000146,Electro Giant,9,9,Archer Queen,4,4,Dark Prince,9,9,Barbarian Barrel,9,9,Goblin Cage,12,12,Lightning,9,9,Tornado,8,9,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQ0RU8P,Brian.❤️,6810,1,#YQUVR29U,Vatra Gaming,16000032,Magic Archer,6,6,P.E.K.K.A,9,9,Ram Rider,6,6,Fireball,12,12,Dark Prince,9,9,Zap,14,14,Electro Wizard,6,6,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T062152.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#JVQJ2VR0,Jer,6728,1,#90RVVC82,HongKong Elite,16000146,Electro Giant,9,9,Archer Queen,4,4,Dark Prince,9,9,Barbarian Barrel,9,9,Goblin Cage,12,12,Lightning,9,9,Tornado,8,9,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY2CJCV98,Samy46,6726,0,#LUQ98UPV,Team_Diamond,16000045,Bandit,6,6,Ram Rider,6,6,Fireball,12,12,Barbarian Barrel,9,9,Fisherman,6,6,Mega Knight,6,6,Inferno Dragon,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
