type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T170740.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L2899URQ,CHN I Itachi,6747,1,,,,Elite Barbarians,14,14,Barbarian Barrel,9,9,Golden Knight,4,4,Magic Archer,6,6,Electro Wizard,6,6,Heal Spirit,12,12,Royal Ghost,6,6,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22PYGQRC,✨Luis YP✨,6723,0,#8R0VRQPU,CR Dream Team,16000004,Rocket,12,12,Bandit,6,6,Dark Prince,9,9,Cannon Cart,9,9,Giant Snowball,14,14,Rascals,14,14,Goblin Barrel,9,9,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170318.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L2899URQ,CHN I Itachi,6718,3,,,,Elite Barbarians,14,14,Barbarian Barrel,9,9,Golden Knight,4,4,Magic Archer,6,6,Electro Wizard,6,6,Heal Spirit,12,12,Royal Ghost,6,6,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YV8PQ0VYR,Sir lava™✨,6715,1,#G0C2CC8C,YT=SOHEIL CR,16000117,Lava Hound,6,6,Inferno Dragon,6,6,Miner,6,6,Balloon,9,9,Barbarians,14,14,Arrows,14,14,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170117.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L2899URQ,CHN I Itachi,6690,2,,,,Elite Barbarians,14,14,Barbarian Barrel,9,9,Golden Knight,4,4,Magic Archer,6,6,Electro Wizard,6,6,Heal Spirit,12,12,Royal Ghost,6,6,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GG2VPVJL,火 Angelˢˢᴶ,6675,1,#P828R2G2,CRG eSports,16000162,Lumberjack,6,6,Balloon,9,9,Electro Dragon,9,9,Barbarian Barrel,9,9,Tornado,7,9,Freeze,6,9,Bowler,9,9,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165617.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L2899URQ,CHN I Itachi,6659,3,,,,Elite Barbarians,14,14,Barbarian Barrel,9,9,Golden Knight,4,4,Magic Archer,6,6,Electro Wizard,6,6,Heal Spirit,12,12,Royal Ghost,6,6,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q9YLPU2R,ATX-Redbul-yt,6678,2,#G0CPQ8V9,ATX LAVAPLAY,16000097,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Minions,14,14,Arrows,14,14,Fireball,12,12,Tombstone,12,12,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164336.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L2899URQ,CHN I Itachi,6627,1,,,,Elite Barbarians,14,14,Barbarian Barrel,9,9,Golden Knight,4,4,Magic Archer,6,6,Electro Wizard,6,6,Heal Spirit,12,12,Royal Ghost,6,6,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20J22P0V9,Ornortシ︎,6652,0,#YP80Q22C,red chili,16000074,Cannon Cart,9,9,Mortar,14,14,Miner,6,6,Fireball,12,12,Minion Horde,14,14,Spear Goblins,14,14,Guards,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164015.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L2899URQ,CHN I Itachi,6653,0,,,,Elite Barbarians,14,14,Barbarian Barrel,9,9,Golden Knight,4,4,Magic Archer,6,6,Electro Wizard,6,6,Heal Spirit,12,12,Royal Ghost,6,6,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PVG0C9CR,すぷらっしゅ☪️おぉかみ❤️,6691,1,#YJQPRRQV,Splash moon,16000032,Ice Wizard,6,6,Tesla,14,14,Rocket,12,12,Skeletons,14,14,X-Bow,9,9,Valkyrie,12,12,The Log,6,6,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163235.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L2899URQ,CHN I Itachi,6627,3,,,,Elite Barbarians,14,14,Barbarian Barrel,9,9,Golden Knight,4,4,Magic Archer,6,6,Electro Wizard,6,6,Heal Spirit,12,12,Royal Ghost,6,6,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P8Q09R,FXPRO,6591,1,#8LV9PV82,Swiss Allstars,16000038,Skeleton Army,9,9,Witch,9,9,Fireball,12,12,Musketeer,12,12,Hog Rider,12,12,Giant,12,12,Valkyrie,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162944.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L2899URQ,CHN I Itachi,6598,1,,,,Elite Barbarians,14,14,Barbarian Barrel,9,9,Golden Knight,4,4,Magic Archer,6,6,Electro Wizard,6,6,Heal Spirit,12,12,Royal Ghost,6,6,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UCL8PV90,¥Jupiturne¥,6593,0,#9VYCYPU2,100% Gaulois!,16000007,Hog Rider,12,12,Mini P.E.K.K.A,12,12,The Log,6,6,Fire Spirit,14,14,Ice Golem,12,12,Earthquake,12,12,Archer Queen,3,4,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162259.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L2899URQ,CHN I Itachi,6631,0,,,,Elite Barbarians,14,14,Barbarian Barrel,9,9,Golden Knight,4,4,Magic Archer,6,6,Electro Wizard,6,6,Heal Spirit,12,12,Royal Ghost,6,6,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CCR09L9J,龍溪｜Nick,6586,3,#2G8LPYV,北京,16000132,Golem,9,9,Baby Dragon,9,9,Prince,9,9,Archer Queen,4,4,Tombstone,12,12,Lightning,9,9,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155856.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L2899URQ,CHN I Itachi,6661,1,,,,Elite Barbarians,14,14,Barbarian Barrel,9,9,Golden Knight,4,4,Magic Archer,6,6,Electro Wizard,6,6,Heal Spirit,12,12,Royal Ghost,6,6,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CVRLVQLR,VictorxD03,6657,2,#9P9GQC0V,Super Warrior’S,16000028,Lumberjack,6,6,Balloon,9,9,Tornado,9,9,Barbarian Barrel,9,9,Inferno Dragon,6,6,Bowler,9,9,Baby Dragon,9,9,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
