type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T165427.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#L28PR9UCC,Lin95,6786,3,#9U0U208Y,Kings of Death,16000003,Mega Knight,6,6,Magic Archer,6,6,Bandit,6,6,The Log,6,6,Prince,9,9,Elixir Collector,12,12,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RCCVPJR,Austin,5854,0,#LVQ08U89,Common Crew,16000097,Ice Golem,12,12,Ice Spirit,14,14,The Log,6,6,Cannon,14,14,Hog Rider,12,12,Skeletons,14,14,Musketeer,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161623.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L28PR9UCC,Lin95,6762,3,#YGL9PU80,Troops Of War,16000161,Mega Knight,6,6,Magic Archer,6,6,Bandit,6,6,The Log,6,6,Prince,9,9,Elixir Collector,12,12,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PYUP0R,$$ Leo $$,6693,2,#L2C2L8PP,SGRIGLIATONA,16000081,Lava Hound,6,6,Lightning,9,9,Minions,14,14,Mega Minion,12,12,Skeleton Army,9,9,Balloon,9,9,Arrows,14,14,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161207.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L28PR9UCC,Lin95,6734,2,#YGL9PU80,Troops Of War,16000161,Mega Knight,6,6,Magic Archer,6,6,Bandit,6,6,The Log,6,6,Prince,9,9,Elixir Collector,12,12,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Y8RY8GPU,hugo rmz,6719,1,#PVQVRUPJ,DarkBrothers 25,16000109,Miner,6,6,Fireball,12,12,Arrows,14,14,Fisherman,6,6,Hunter,9,9,Balloon,9,9,Royal Recruits,14,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160734.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L28PR9UCC,Lin95,6764,1,#9U0U208Y,Kings of Death,16000003,Mega Knight,6,6,Magic Archer,6,6,Bandit,6,6,The Log,6,6,Prince,9,9,Elixir Collector,12,12,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RUVP8PGJ,Derpy__Senpai,6762,2,#YGL9PU80,Troops Of War,16000161,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Fireball,12,12,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T160421.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#L28PR9UCC,Lin95,6764,0,#9U0U208Y,Kings of Death,16000003,Mega Knight,6,6,Magic Archer,6,6,Bandit,6,6,The Log,6,6,Prince,9,9,Elixir Collector,12,12,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8CVYJR2,MOO,5817,2,#28900RUL,Corinthians,16000029,P.E.K.K.A,9,9,Electro Wizard,6,6,Zap,14,14,Poison,9,9,Battle Ram,12,12,Royal Ghost,6,6,Bandit,6,6,Minions,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T160059.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#L28PR9UCC,Lin95,6764,2,#9U0U208Y,Kings of Death,16000003,Mega Knight,6,6,Magic Archer,6,6,Bandit,6,6,The Log,6,6,Prince,9,9,Elixir Collector,12,12,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RRGC2QJ0,花满天,6709,1,#2Y20G9L,F U N,16000021,Valkyrie,12,12,Skeletons,14,14,Giant Snowball,13,14,Baby Dragon,9,9,Tombstone,12,12,Graveyard,6,6,Arrows,14,14,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T155737.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#L28PR9UCC,Lin95,6764,3,#9U0U208Y,Kings of Death,16000003,Mega Knight,6,6,Magic Archer,6,6,Bandit,6,6,The Log,6,6,Prince,9,9,Elixir Collector,12,12,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J900QP9C,Daniel,6008,1,#99UCVRL2,BIH Royal Guard,16000077,Valkyrie,12,12,Hog Rider,12,12,Lightning,9,9,Wizard,12,12,Guards,9,9,Prince,9,9,Princess,6,6,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T155355.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#L28PR9UCC,Lin95,6764,3,#9U0U208Y,Kings of Death,16000003,Mega Knight,6,6,Magic Archer,6,6,Bandit,6,6,The Log,6,6,Prince,9,9,Elixir Collector,12,12,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LQ2UR0LG,Joao Pedro B.P.,6100,1,#P82U2U8C,BRASIL ROYALE,16000170,Electro Wizard,6,6,Ram Rider,6,6,Inferno Dragon,6,6,Fireball,12,12,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T154844.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#L28PR9UCC,Lin95,6764,3,#9U0U208Y,Kings of Death,16000003,Mega Knight,6,6,Magic Archer,6,6,Bandit,6,6,The Log,6,6,Prince,9,9,Elixir Collector,12,12,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QGY28UGJ,Gustavoh@,5788,0,#PP9G2JUQ,Chapéus d Palha,16000141,Goblin Barrel,9,9,Rocket,11,12,Princess,4,6,Ice Spirit,12,14,Goblin Gang,12,14,Knight,13,14,Inferno Tower,10,12,The Log,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T154421.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#L28PR9UCC,Lin95,6764,3,#9U0U208Y,Kings of Death,16000003,Mega Knight,6,6,Magic Archer,6,6,Bandit,6,6,The Log,6,6,Prince,9,9,Elixir Collector,12,12,Mega Minion,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y0PVCPLJ,Thetroll85,5877,1,#YLJV82YP,BM SPAMMERS,16000166,Electro Wizard,5,6,Archer Queen,2,4,Balloon,9,9,Ice Golem,12,12,Giant Snowball,14,14,Bats,14,14,Rage,6,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
