type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20220104T170239.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#L8LLVUY29,Victor Yt,6826,1,#QPGU9CLL,CLAN CON MAWI,16000024,Electro Spirit,11,14,Electro Wizard,3,6,Lightning,6,9,Mega Knight,3,6,Inferno Dragon,3,6,Lumberjack,3,6,Barbarian Barrel,6,9,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RP00Q8P9U,sergio(つ✧ω✧)つ,5606,0,#QPGU9CLL,CLAN CON MAWI,16000024,X-Bow,6,9,Tesla,11,14,Rocket,9,12,Ice Wizard,3,6,The Log,3,6,Valkyrie,9,12,Skeletons,11,14,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T142453.000Z,,54000017,Master III,72000007,Friendly,,collection,#L8LLVUY29,Victor Yt,6826,1,#QPGU9CLL,CLAN CON MAWI,16000024,Zap,11,14,Electro Wizard,3,6,Lightning,6,9,Mega Knight,3,6,Inferno Dragon,3,6,Lumberjack,3,6,Barbarian Barrel,6,9,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PL2QVJPV8,chamlop,5369,0,#QPGU9CLL,CLAN CON MAWI,16000024,Zap,11,14,Electro Wizard,3,6,Lightning,6,9,Mega Knight,3,6,Inferno Dragon,3,6,Lumberjack,3,6,Barbarian Barrel,6,9,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T140831.000Z,,54000017,Master III,72000007,Friendly,,collection,#L8LLVUY29,Victor Yt,6826,3,#QPGU9CLL,CLAN CON MAWI,16000024,Zap,11,14,Electro Wizard,3,6,Lightning,6,9,Mega Knight,3,6,Inferno Dragon,3,6,Lumberjack,3,6,Barbarian Barrel,6,9,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PL2QVJPV8,chamlop,5369,0,#QPGU9CLL,CLAN CON MAWI,16000024,Golem,6,9,Night Witch,3,6,Lightning,6,9,Tornado,6,9,Goblin Cage,9,12,Baby Dragon,6,9,Barbarian Barrel,6,9,Firecracker,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135924.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L8LLVUY29,Victor Yt,6796,1,#QPGU9CLL,CLAN CON MAWI,16000024,Baby Dragon,9,9,Bowler,9,9,Balloon,9,9,Lumberjack,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,7,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0L92GLU2,カメさん,6801,0,#LP90G9Q2,Last Resort,16000097,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135410.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L8LLVUY29,Victor Yt,6771,1,#QPGU9CLL,CLAN CON MAWI,16000024,Baby Dragon,9,9,Bowler,9,9,Balloon,9,9,Lumberjack,6,6,Inferno Dragon,6,6,Tornado,9,9,Freeze,7,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CPPYPCQ8,amin,6717,0,#8Y0LR8GU,Nova I Iran 2,16000038,Balloon,9,9,Lumberjack,6,6,Bowler,9,9,Inferno Dragon,6,6,Electro Dragon,9,9,Freeze,9,9,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134849.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L8LLVUY29,Victor Yt,6800,0,#QPGU9CLL,CLAN CON MAWI,16000024,Baby Dragon,9,9,Bowler,9,9,Balloon,9,9,Lumberjack,6,6,Inferno Dragon,6,6,Tornado,9,9,Barbarian Barrel,9,9,Freeze,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UPY0V992,Danu.R,6811,1,,,,Prince,9,9,Dark Prince,9,9,Bats,14,14,Goblin Giant,9,9,Guards,9,9,Spear Goblins,14,14,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134459.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L8LLVUY29,Victor Yt,6772,1,#QPGU9CLL,CLAN CON MAWI,16000024,Baby Dragon,9,9,Bowler,9,9,Balloon,9,9,Lumberjack,6,6,Inferno Dragon,6,6,Tornado,9,9,Barbarian Barrel,9,9,Freeze,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QUP0UPGR,❤️愛LOVE❤️,6755,0,#P2L8GVVU,Aim Higher,16000089,Electro Giant,9,9,Archer Queen,4,4,Dark Prince,9,9,Baby Dragon,9,9,Goblin Cage,12,12,Barbarian Barrel,9,9,Tornado,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T122002.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L8LLVUY29,Victor Yt,6740,1,#QPGU9CLL,CLAN CON MAWI,16000024,Baby Dragon,9,9,Bowler,9,9,Balloon,9,9,Lumberjack,6,6,Inferno Dragon,6,6,Tornado,9,9,Barbarian Barrel,9,9,Freeze,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y08R8CR,THE PRINCE,6767,0,,,,Valkyrie,12,12,Musketeer,12,12,Tornado,9,9,The Log,6,6,Hog Rider,12,12,Elite Barbarians,14,14,Ice Spirit,14,14,Executioner,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T121627.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L8LLVUY29,Victor Yt,6707,2,#QPGU9CLL,CLAN CON MAWI,16000024,Baby Dragon,9,9,Bowler,9,9,Balloon,9,9,Lumberjack,6,6,Inferno Dragon,6,6,Tornado,9,9,Barbarian Barrel,9,9,Freeze,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80U9JR92Q,Горилла,6752,1,#LUVV2G9P,MEGA CLASH RUS,16000012,Electro Giant,9,9,Tornado,9,9,Witch,9,9,Fisherman,6,6,Skeleton King,4,4,Mega Minion,12,12,Lightning,9,9,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T121036.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L8LLVUY29,Victor Yt,6737,0,#QPGU9CLL,CLAN CON MAWI,16000024,Baby Dragon,9,9,Bowler,9,9,Balloon,9,9,Lumberjack,6,6,Inferno Dragon,6,6,Tornado,9,9,Barbarian Barrel,9,9,Freeze,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GCUVJYP,David,6732,1,,,,Mega Knight,6,6,Inferno Dragon,6,6,Electro Wizard,6,6,Zap,14,14,Miner,6,6,Bats,14,14,Bandit,6,6,The Log,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
