type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
riverRacePvP,20220104T170229.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#L9CRPL92C,terter 3,7064,3,#LVQUJQG2,GOTAGANG,16000097,Battle Ram,11,12,P.E.K.K.A,9,9,Earthquake,9,12,Rage,7,9,Skeleton Dragons,13,14,Tornado,9,9,Magic Archer,5,6,Royal Ghost,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PP9Q28VG,aieaieaie,5829,0,#QLU9Q99L,semi croutillan,16000007,Hog Rider,11,12,Mirror,9,9,Golem,8,9,Valkyrie,11,12,Goblin Gang,13,14,Magic Archer,5,6,Knight,14,14,Lightning,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T170038.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#L9CRPL92C,terter 3,7064,1,#LVQUJQG2,GOTAGANG,16000097,Bowler,9,9,Elite Barbarians,12,14,Mirror,8,9,Musketeer,12,12,Skeleton Barrel,12,14,Firecracker,12,14,Minion Horde,12,14,Poison,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8C9GJQ09V,ilieboom,5827,2,#L2RVVCYR,4fun (TM) (Ro),16000170,Night Witch,6,6,Arrows,14,14,Mini P.E.K.K.A,12,12,Lightning,9,9,Mega Minion,12,12,Baby Dragon,9,9,Golem,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T164743.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#L9CRPL92C,terter 3,7064,0,#LVQUJQG2,GOTAGANG,16000097,Electro Giant,7,9,Fireball,11,12,Bomber,12,14,Goblin Cage,12,12,Royal Delivery,13,14,Minions,13,14,Arrows,12,14,Graveyard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PR8VPYUJ,el pelon,5237,3,#QUJPLVQL,The Dominators,16000009,Royal Ghost,4,6,Ram Rider,6,6,P.E.K.K.A,8,9,Skeleton Barrel,12,14,Zap,13,14,Bandit,4,6,Electro Wizard,3,6,Firecracker,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T164633.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#L9CRPL92C,terter 3,7064,1,#LVQUJQG2,GOTAGANG,16000097,Goblins,13,14,Balloon,9,9,Bats,14,14,The Log,6,6,Lumberjack,6,6,Freeze,9,9,Knight,14,14,Mother Witch,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LC2JUYQQ,BAŞAR2.0,5744,2,#G0J8JYPV,MRC E-Sports,16000003,Cannon Cart,7,9,Hog Rider,11,12,Knight,13,14,Tesla,12,14,Arrows,12,14,Fireball,11,12,Firecracker,13,14,Electro Dragon,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135628.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,7041,1,#LR0VPRPU,Twitch,16000008,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LU8RU02U,Taha,6963,0,#QVQ99R0U,haydi 12J,16000030,Rocket,12,12,The Log,6,6,Tornado,9,9,Executioner,9,9,Valkyrie,12,12,Hog Rider,12,12,Electro Spirit,14,14,Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135128.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,7085,0,#LR0VPRPU,Twitch,16000008,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U9C8JRGJ,梦执✨,6907,1,#9LRRVY,u jump! i jump!,16000013,P.E.K.K.A,9,9,Bandit,6,6,Minions,14,14,Miner,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133641.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,7063,1,#LR0VPRPU,Twitch,16000008,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VLQLYG8,Kralj,6972,0,#Q9VQ02YC,YT: Kralj CR,16000035,X-Bow,9,9,Knight,14,14,Tesla,14,14,Fireball,12,12,Skeletons,14,14,Ice Wizard,6,6,Fire Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132406.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,7038,1,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9P0Q8RVC,:Camiel:,6988,0,,,,Knight,14,14,X-Bow,9,9,Electro Spirit,14,14,Fireball,12,12,Tesla,14,14,Skeletons,14,14,The Log,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T131820.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,7007,2,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLCCQ2GRR,LDN✨Paulo™✌️,7029,1,#PCQPGP9G,B49☆CŘ,16000058,Giant,12,12,Bowler,9,9,Graveyard,6,6,Bats,14,14,Skeleton Army,9,9,Night Witch,6,6,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T235311.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,6977,1,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCYJRJY0,υκ TooGood ρκ,6983,0,#LQ29LY2Y,Mortar Cycle,16000152,Knight,14,14,Tornado,9,9,Archers,14,14,Mortar,14,14,Rocket,12,12,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T231550.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,6948,1,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#290VGG28,Pedro™️,6939,0,#LCU09QL8,BisTuRi,16000021,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,14,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T223803.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,6914,1,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P98CPPG99,Carrlloss,6961,0,#GY0L2J,IMORTAIS BR⚠️™༒,16000063,Royal Delivery,14,14,Miner,6,6,Rascals,14,14,Balloon,9,9,Giant Snowball,14,14,Bats,14,14,Inferno Tower,12,12,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T223218.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,6884,2,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#998RUJRLR,☠⚡⚔ivan_rial⚔⚡☠,6894,1,#LQ2CLGY9,fallow me in TW,16000103,Zap,14,14,Magic Archer,6,6,Royal Hogs,12,12,Dark Prince,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Bandit,6,6,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T222628.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,6852,3,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YPPJJYLV,WaaaaWaaaa,6883,1,#LL9QPGG2,ClashClowns,16000046,The Log,6,6,Skeletons,14,14,Fire Spirit,14,14,Firecracker,14,14,Inferno Tower,12,12,Valkyrie,12,12,Goblin Barrel,9,9,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T222129.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,6827,1,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R2RVYLR9,colli,6774,0,#LQ2CLGY9,fallow me in TW,16000103,Skeletons,14,14,Earthquake,12,12,Fire Spirit,14,14,Archer Queen,4,4,The Log,6,6,Royal Delivery,14,14,Goblin Cage,12,12,Royal Hogs,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T220520.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,6793,1,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LJL88J9C,Berczak,6841,0,#LYLL0JJR,Extreme Team,16000110,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Skeleton Dragons,14,14,Barbarians,14,14,Fireball,12,12,Arrows,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T220053.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,6763,1,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2828UJVPG,UD I Prime,6773,0,#988Y89PY,Sandstorm Pro,16000097,Graveyard,6,6,Valkyrie,12,12,Tornado,9,9,Tombstone,11,12,Archer Queen,4,4,Poison,9,9,Baby Dragon,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T215656.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,6793,0,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QRJU99QQ,Koh❤Neffex,6789,1,#QP0JQJL0,Twitter,16000011,Princess,6,6,Inferno Tower,12,12,Goblin Barrel,9,9,Electro Spirit,14,14,Goblin Gang,14,14,The Log,6,6,Rocket,12,12,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T215041.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,6770,2,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88G9PGGLR,がぽ(。・ω・。)の会,6693,1,#LCVU22VV,馬の耳を見物,16000142,Valkyrie,12,12,Skeletons,14,14,The Log,6,6,X-Bow,9,9,Archer Queen,4,4,Electro Spirit,14,14,Tesla,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T214519.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,6739,1,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPQJ2R9R,NO CAP⛑,6751,0,#YV9QPRG2,Pesci affogati,16000081,Mega Knight,6,6,Golden Knight,4,4,Poison,9,9,Inferno Dragon,6,6,Electro Wizard,6,6,Zap,14,14,Bats,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220103T212730.000Z,,54000017,Master III,72000007,Friendly,,collection,#L9CRPL92C,terter 3,6739,0,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,9,12,Miner,3,6,Minions,11,14,Goblins,11,14,Goblin Cage,9,12,Wall Breakers,6,9,Musketeer,9,12,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CLJC8LUC,dino,6635,1,#LVQUJQG2,GOTAGANG,16000097,Skeletons,11,14,The Log,3,6,Musketeer,9,12,Fireball,9,12,Cannon,11,14,Hog Rider,9,12,Ice Spirit,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220103T202706.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#L9CRPL92C,terter 3,6739,0,#LVQUJQG2,GOTAGANG,16000097,Cannon Cart,7,9,Zap,13,14,Zappies,9,12,Wall Breakers,7,9,Bandit,3,6,Miner,6,6,Prince,7,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29PVQG02R,edo❤️smelone,6432,3,#YQ2Q9VGG,QLASH Power,16000029,Bats,14,14,Spear Goblins,14,14,Arrows,14,14,Royal Giant,14,14,Skeleton Army,9,9,Firecracker,14,14,Skeleton Barrel,14,14,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220103T202438.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#L9CRPL92C,terter 3,6739,0,#LVQUJQG2,GOTAGANG,16000097,Cannon Cart,7,9,Zap,13,14,Zappies,9,12,Wall Breakers,7,9,Bandit,3,6,Miner,6,6,Prince,7,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJ929LR0U,Ahmad,5693,3,#LU2Y2G8L,Deland City,16000024,Balloon,9,9,Skeleton Army,6,9,Wizard,11,12,Lumberjack,6,6,Inferno Dragon,5,6,Freeze,7,9,Mega Knight,6,6,Witch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T191552.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,6774,0,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YUY92PP9,SeeOk,6715,1,#CYCJJLG,Nova Turkey,16000044,Graveyard,6,6,Valkyrie,12,12,Poison,9,9,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,8,9,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T191207.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#L9CRPL92C,terter 3,6807,1,#LVQUJQG2,GOTAGANG,16000097,Valkyrie,12,12,Bats,14,14,Executioner,9,9,Tornado,9,9,Ice Spirit,14,14,Lumberjack,6,6,The Log,6,6,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCR2PRCL,André ❤️Irina,6771,2,#G898QUV8,UNIAO FULL⚡️,16000040,Giant,12,12,Mini P.E.K.K.A,12,12,Bats,14,14,Minion Horde,14,14,Sparky,6,6,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
