type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T164258.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LGQVY0JC,Darr,6798,1,#2PCVURCU,잎새 5기,16000170,The Log,6,6,Rocket,12,12,Knight,14,14,Ice Wizard,6,6,Skeletons,13,14,Tornado,7,9,Mega Minion,12,12,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8P0URCRV,Hicham❤Snipe,6766,0,,,,Mini P.E.K.K.A,12,12,Sparky,6,6,Minion Horde,14,14,Bats,14,14,Giant,12,12,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163905.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LGQVY0JC,Darr,6772,1,#2PCVURCU,잎새 5기,16000170,The Log,6,6,Rocket,12,12,Knight,14,14,Ice Wizard,6,6,Skeletons,13,14,Tornado,7,9,Mega Minion,12,12,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LRLYPP8,EZ丨卡组万花筒Jason,6730,0,#99G0VYU,无与伦比,16000165,Electro Giant,9,9,Golden Knight,4,4,Tornado,9,9,Lightning,9,9,Skeletons,14,14,Barbarian Barrel,9,9,Goblin Cage,12,12,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163519.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LGQVY0JC,Darr,6746,1,#2PCVURCU,잎새 5기,16000170,The Log,6,6,Rocket,12,12,Knight,14,14,Ice Wizard,6,6,Skeletons,13,14,Tornado,7,9,Mega Minion,12,12,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RQPLJQC,FCG I Nietsnut▪,6707,0,#JUGLL8,FC GROOTEGAST,16000098,Electro Giant,9,9,Fisherman,5,6,Dark Prince,9,9,Barbarian Barrel,9,9,Mega Minion,12,12,Archer Queen,4,4,Lightning,9,9,Tornado,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163128.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LGQVY0JC,Darr,6777,0,#2PCVURCU,잎새 5기,16000170,The Log,6,6,Rocket,12,12,Knight,14,14,Ice Wizard,6,6,Skeletons,13,14,Tornado,7,9,Mega Minion,12,12,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LGRJQQYG,(·_·)HIKA(·_·),6757,1,,,,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Minions,14,14,Zap,14,14,Fireball,12,12,Tombstone,12,12,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162635.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LGQVY0JC,Darr,6750,1,#2PCVURCU,잎새 5기,16000170,The Log,6,6,Rocket,12,12,Knight,14,14,Ice Wizard,6,6,Skeletons,13,14,Tornado,7,9,Mega Minion,12,12,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JG99PC9,El_Duende_PR,6724,0,#YGYUPQL2,Hog™️,16000165,Ice Golem,12,12,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Ice Spirit,14,14,Skeletons,14,14,Cannon,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160521.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LGQVY0JC,Darr,6721,1,#2PCVURCU,잎새 5기,16000170,The Log,6,6,Rocket,12,12,Knight,14,14,Ice Wizard,6,6,Skeletons,13,14,Tornado,7,9,Mega Minion,12,12,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RRYJLJ,⚡Cristian M™⚡,6714,0,#PJ9PGCC9,⚔️bravehearts⚔️,16000004,Valkyrie,12,12,Ice Spirit,14,14,Firecracker,14,14,Earthquake,12,12,Hog Rider,12,12,The Log,6,6,Tesla,14,14,Skeletons,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T160026.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LGQVY0JC,Darr,6692,1,#2PCVURCU,잎새 5기,16000170,The Log,6,6,Rocket,12,12,Knight,14,14,Ice Wizard,6,6,Skeletons,13,14,Tornado,7,9,Mega Minion,12,12,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VC0PCQYL,夏花—大宋王朝,6682,0,#P2YRPCRV,生如夏花,16000128,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Magic Archer,6,6,Electro Wizard,6,6,Zap,14,14,Royal Ghost,6,6,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T155518.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LGQVY0JC,Darr,6662,1,#2PCVURCU,잎새 5기,16000170,The Log,6,6,Rocket,12,12,Knight,14,14,Ice Wizard,6,6,Skeletons,13,14,Tornado,7,9,Mega Minion,12,12,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UP2VL099,➳ᴹᴿ» ɱυɳƚαԃɾ⚡,6665,0,#YUPRJG8G,خبالات تايم┋✨♥️,16000077,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Ice Golem,12,12,Cannon,14,14,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153735.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LGQVY0JC,Darr,6631,1,#2PCVURCU,잎새 5기,16000170,The Log,6,6,Rocket,12,12,Knight,14,14,Ice Wizard,6,6,Skeletons,13,14,Tornado,7,9,Mega Minion,12,12,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P8Q09R,FXPRO,6644,0,#8LV9PV82,Swiss Allstars,16000038,Skeleton Army,9,9,Witch,9,9,Fireball,12,12,Musketeer,12,12,Hog Rider,12,12,Giant,12,12,Valkyrie,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153315.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LGQVY0JC,Darr,6659,0,#2PCVURCU,잎새 5기,16000170,The Log,6,6,Rocket,12,12,Knight,14,14,Ice Wizard,6,6,Skeletons,13,14,Tornado,7,9,Mega Minion,12,12,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RGR2V9V,Klevi,6677,1,#90Y0R88U,Wild Privateers,16000097,Sparky,6,6,Miner,6,6,Golem,9,9,Minion Horde,14,14,Skeleton Army,9,9,Bats,14,14,Witch,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
