type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T175658.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6856,2,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9R99CPCPL,Alex,6820,3,#U9G2VQY,50 Legends,16000172,Bandit,6,6,Ram Rider,6,6,Royal Ghost,6,6,Lightning,9,9,Electro Spirit,14,14,Mega Knight,6,6,Giant Snowball,14,14,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175319.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6894,1,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PLLPVURP,vadimdmish,6795,2,#LQYPP289,Сила дивана,16000142,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Ice Golem,12,12,Cannon,14,14,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174918.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6922,1,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGCG8UL2P,yoan974,6941,2,#G0C2CC8C,YT=SOHEIL CR,16000117,Graveyard,6,6,Witch,9,9,Dark Prince,9,9,Zappies,12,12,Goblin Hut,12,12,Arrows,14,14,Barbarian Barrel,9,9,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174454.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6897,3,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R0JC0P8R,smok,6847,1,#QU99PV29,love letter❤,16000109,Archers,14,14,Skeletons,14,14,Tesla,14,14,Rocket,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174026.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6869,3,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LR2JYY0L,moustafa,6857,1,#P8G8098G,clashing,16000167,Graveyard,6,6,Freeze,9,9,Valkyrie,12,12,Bats,14,14,Knight,14,14,Wizard,12,12,Skeleton Army,9,9,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173553.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6840,3,,,,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20U2QRRLU,thunder,6831,2,#YGL9PU80,Troops Of War,16000161,Valkyrie,12,12,Tesla,14,14,Wall Breakers,9,9,Goblin Drill,9,9,Bomber,14,14,Skeleton Army,9,9,Fire Spirit,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173202.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6872,2,,,,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P80822VC2,Alex°●火风暴☯️,6838,3,#YULJJ0RJ,Romaniapower,16000032,Prince,9,9,Fireball,12,12,Mother Witch,6,6,Golden Knight,4,4,Electro Wizard,6,6,Royal Ghost,6,6,Fisherman,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172825.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6902,1,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQVLGVG2,★ToXICalDeaTH★,6901,3,,,,Giant,12,12,Sparky,6,6,Mini P.E.K.K.A,12,12,Arrows,14,14,Archer Queen,4,4,Bats,14,14,Skeleton Army,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172451.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6872,3,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCYJRJY0,υκ TooGood ρκ,6881,0,#LQ29LY2Y,Mortar Cycle,16000152,Knight,14,14,Tornado,9,9,Archers,14,14,Mortar,14,14,Rocket,12,12,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171934.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6841,3,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YPG9LJGG,Over Ryoki,6858,0,#QUPVYQG2,GC×100,16000164,P.E.K.K.A,9,9,Electro Wizard,6,6,Inferno Dragon,6,6,Golden Knight,4,4,Tombstone,12,12,Arrows,14,14,Poison,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171009.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6811,3,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R0JC0P8R,smok,6812,0,#QU99PV29,love letter❤,16000109,Archers,14,14,Skeletons,14,14,Tesla,14,14,Rocket,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170604.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6843,0,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GGVRR8V2V,Hermione✨,6816,1,#VQCQQJP,Nice Strategy,16000136,Freeze,9,9,Valkyrie,12,12,Inferno Dragon,6,6,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Electro Wizard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165837.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6879,0,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8J0CGG8Y,Maldito Juampi,6806,1,#YGL9PU80,Troops Of War,16000161,Lava Hound,6,6,Balloon,9,9,Fireball,12,12,Zap,14,14,Guards,9,9,Skeleton Dragons,14,14,Mega Minion,12,12,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165348.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6838,3,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G22U2G8J8,키라리✨,6985,1,#Y89VR8JL,Juvenile,16000040,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Guards,9,9,Knight,14,14,Inferno Tower,12,12,Princess,6,6,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164937.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6805,3,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80LR0RP2C,TTG༼ᎮͥᏒͣᎧͫ༽Tjez,6849,2,#P9L0CYY0,The Tilt Gods,16000162,Night Witch,6,6,Clone,9,9,Golem,9,9,Bats,14,14,Skeleton King,4,4,Flying Machine,12,12,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164637.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6832,1,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QG8GYCV,Ad Poutchinou,6866,2,#LP2LCGVG,Ad Astra,16000040,Princess,6,6,Bandit,6,6,Golem,9,9,Lightning,9,9,Valkyrie,12,12,Royal Ghost,6,6,Firecracker,14,14,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163952.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6805,3,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LVJCCC80,Sagun 雨果,6771,2,#P9GRQ89P,Clanpeyo,16000099,Baby Dragon,9,9,Golem,9,9,Zap,14,14,Lightning,9,9,Tornado,9,9,Night Witch,6,6,Mega Minion,12,12,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T163235.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6775,3,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UJPPP9UL,cece,6777,0,#YC0VQCC0,NoBrain NoGame,16000078,Golden Knight,4,4,Furnace,12,12,Mother Witch,6,6,Goblin Hut,12,12,Barbarian Barrel,9,9,Lightning,9,9,Mega Minion,12,12,Goblin Giant,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162911.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6747,3,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29JUGC09G,Yinz,6729,2,#2P8QUPU0,Yinz,16000108,Lava Hound,6,6,Lumberjack,6,6,Bats,14,14,Skeleton Dragons,14,14,Clone,9,9,Skeleton Army,9,9,Flying Machine,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162531.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6718,2,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R8RYGRL8,PC l Angel,6707,1,,,,Mega Knight,6,6,Giant Snowball,13,14,Archer Queen,4,4,Electro Spirit,14,14,Ram Rider,6,6,Bandit,5,6,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T162117.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6686,3,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UP2VL099,➳ᴹᴿ» ɱυɳƚαԃɾ⚡,6718,1,#YUPRJG8G,خبالات تايم┋✨♥️,16000077,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Ice Golem,12,12,Cannon,14,14,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161808.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6714,2,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#202C2CU0U,⚡Manoel⚡,6731,3,#L0U88RPP,AdultosdoROCK,16000010,Giant,12,12,Bowler,9,9,Night Witch,6,6,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161402.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6686,3,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VV9099Y9,Mili B,6664,2,#28U0L2CP,Clash Loyale DK,16000060,Firecracker,14,14,Hog Rider,12,12,Valkyrie,12,12,Tesla,14,14,Skeletons,14,14,Fire Spirit,14,14,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161119.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LP0GCVP0U,OG_ProX,6656,3,#PC0CYYYV,Magiczne Mrozy,16000034,Arrows,14,14,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Lava Hound,6,6,Miner,6,6,Skeleton Dragons,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CLU8CL,ᴍʀ ʀᴏʙᴏᴛ,6665,2,#YRJQ0CUJ,Iranian Top,16000029,Lava Hound,6,6,Balloon,9,9,Skeleton Dragons,14,14,Zap,14,14,Mega Minion,12,12,Guards,9,9,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
