type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
riverRacePvP,20220104T114237.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#LQ898QCJ,Edu⭐️TR™️,6749,2,#P02RPQLU,Red Bull Brasil,16000044,Royal Hogs,12,12,Heal Spirit,12,12,Archer Queen,4,4,Barbarians,14,14,Earthquake,12,12,Skeletons,14,14,Hunter,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PUP9JG8Q,Nico15,5866,1,#9L8CY8R0,!!Brainstorm!!,16000010,Skeleton Army,8,9,Skeleton Barrel,13,14,Dark Prince,9,9,Royal Giant,13,14,Cannon,14,14,Firecracker,14,14,Tornado,8,9,Poison,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T113903.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#LQ898QCJ,Edu⭐️TR™️,6749,0,#P02RPQLU,Red Bull Brasil,16000044,Lava Hound,5,6,Giant Snowball,13,14,Mega Minion,11,12,Goblin Cage,12,12,Skeleton Dragons,13,14,Fireball,12,12,Balloon,8,9,Guards,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9808GJRY,MoN,5857,3,#2008CVRG,PH.Antibiotics™,16000109,Dart Goblin,12,12,Arrows,14,14,Lightning,9,9,Furnace,12,12,P.E.K.K.A,9,9,Electro Wizard,6,6,Tesla,14,14,Skeleton Barrel,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T113539.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#LQ898QCJ,Edu⭐️TR™️,6749,3,#P02RPQLU,Red Bull Brasil,16000044,Goblin Hut,12,12,Zappies,12,12,Flying Machine,12,12,Barbarian Barrel,9,9,Poison,9,9,Bandit,6,6,Mother Witch,6,6,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y82CYLY9,베르캄프,5784,0,#8R2VLV9,고구려,16000126,Baby Dragon,9,9,Golden Knight,4,4,P.E.K.K.A,9,9,Arrows,14,14,Battle Healer,12,12,Mirror,9,9,Rage,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T113303.000Z,,54000040,Legendary Arena,72000062,TripleElixir_Ladder,,collection,#LQ898QCJ,Edu⭐️TR™️,6749,1,#P02RPQLU,Red Bull Brasil,16000044,Fisherman,6,6,Giant Skeleton,9,9,Elite Barbarians,14,14,Royal Recruits,14,14,Ice Wizard,6,6,Bomb Tower,12,12,Electro Spirit,14,14,Firecracker,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98YY2GRVR,Rusty Leg Neb,5609,0,#8GCV00CJ,Dubai Vikings,16000162,Hog Rider,12,12,Archer Queen,4,4,Fireball,12,12,The Log,6,6,Tesla,14,14,Mirror,9,9,Ice Spirit,14,14,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T112933.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LQ898QCJ,Edu⭐️TR™️,6749,1,#P02RPQLU,Red Bull Brasil,16000044,Electro Spirit,14,14,Arrows,13,14,Golden Knight,2,4,Flying Machine,12,12,Fireball,12,12,Zappies,12,12,Royal Hogs,12,12,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L288P9R8Q,ZekrAli,5526,0,#P0QUVL9R,kings of persia,16000176,Balloon,9,9,Valkyrie,11,12,Lumberjack,6,6,Skeleton Army,8,9,Wizard,12,12,Baby Dragon,8,9,Zap,13,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T112523.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LQ898QCJ,Edu⭐️TR™️,6749,2,#P02RPQLU,Red Bull Brasil,16000044,Electro Spirit,14,14,Arrows,13,14,Golden Knight,2,4,Flying Machine,12,12,Fireball,12,12,Zappies,12,12,Royal Hogs,12,12,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C02YGUQ2,Redha5,5378,0,#2YGJJPLV,bh legend7,16000165,Valkyrie,12,12,Wizard,12,12,Elixir Golem,12,12,Mega Knight,6,6,Zap,13,14,Royal Ghost,5,6,Lightning,9,9,Inferno Tower,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T111844.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LQ898QCJ,Edu⭐️TR™️,6718,1,#P02RPQLU,Red Bull Brasil,16000044,Flying Machine,12,12,Zappies,12,12,Goblin Hut,12,12,Barbarian Barrel,9,9,Poison,9,9,Bandit,6,6,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P2LRGYQQ,Slash Gaming,6731,0,#YQUVR29U,Vatra Gaming,16000032,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,The Log,6,6,Royal Delivery,14,14,Skeletons,14,14,Fire Spirit,14,14,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T104838.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LQ898QCJ,Edu⭐️TR™️,6688,1,#P02RPQLU,Red Bull Brasil,16000044,Flying Machine,12,12,Zappies,12,12,Goblin Hut,12,12,Barbarian Barrel,9,9,Poison,9,9,Bandit,6,6,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#809Q9GLUR,Rin,6688,0,#809R8PG8,Synergy,16000139,Princess,6,6,Hunter,9,9,Goblin Barrel,9,9,Wall Breakers,9,9,Cannon Cart,9,9,Skeletons,14,14,Bandit,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T104226.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LQ898QCJ,Edu⭐️TR™️,6660,1,#P02RPQLU,Red Bull Brasil,16000044,Flying Machine,12,12,Zappies,12,12,Goblin Hut,12,12,Barbarian Barrel,9,9,Poison,9,9,Bandit,6,6,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LJJRY9VL0,あいみょん@タワーは飾り,6637,0,#LVRJU9QU,濃いおーいお茶,16000137,P.E.K.K.A,9,9,Electro Wizard,6,6,Minions,14,14,Royal Ghost,6,6,Battle Ram,12,12,Zap,14,14,Fireball,12,12,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T002926.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LQ898QCJ,Edu⭐️TR™️,6633,1,#P02RPQLU,Red Bull Brasil,16000044,Flying Machine,12,12,Zappies,12,12,Goblin Hut,12,12,Barbarian Barrel,9,9,Poison,9,9,Bandit,6,6,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VV9R0G09,IAdverzuz,6600,0,#LY8RYLYR,Adv☆ Mx-8k,16000029,Archer Queen,4,4,Ram Rider,6,6,Bandit,6,6,Lightning,9,9,Mega Knight,6,6,Electro Spirit,14,14,Barbarian Barrel,9,9,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
