type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T050915.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LRL0LRRP,Zpoke !!,6837,0,#P80U0QRC,Apocalypse™,16000000,Royal Recruits,14,14,Royal Ghost,6,6,Dark Prince,9,9,Magic Archer,6,6,Goblin Drill,9,9,Bandit,6,6,Wall Breakers,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JGG2U2V,Officer Ramirez,6880,1,#QC8R0888,Fierce Force,16000002,Royal Giant,14,14,Skeleton King,4,4,Skeleton Army,9,9,Mother Witch,6,6,Fisherman,6,6,Fireball,12,12,Zappies,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T050450.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LRL0LRRP,Zpoke !!,6805,2,#P80U0QRC,Apocalypse™,16000000,Royal Recruits,14,14,Royal Ghost,6,6,Dark Prince,9,9,Magic Archer,6,6,Goblin Drill,9,9,Bandit,6,6,Wall Breakers,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9P2GL8,❤Andres❤,6832,1,#9G2PVP0R,Team Legacy,16000012,Mega Minion,12,12,Golem,9,9,Lightning,9,9,Arrows,14,14,Electro Wizard,6,6,Tombstone,12,12,Prince,9,9,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T045850.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LRL0LRRP,Zpoke !!,6775,1,#P80U0QRC,Apocalypse™,16000000,Royal Recruits,14,14,Royal Ghost,6,6,Dark Prince,9,9,Magic Archer,6,6,Goblin Drill,9,9,Bandit,6,6,Wall Breakers,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LQCP2QPPR,mistery,6783,0,#9GUCJRL0,Team Solid,16000113,P.E.K.K.A,9,9,Magic Archer,6,6,Golden Knight,4,4,Poison,9,9,Royal Ghost,6,6,Ram Rider,6,6,Barbarian Barrel,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T045424.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LRL0LRRP,Zpoke !!,6745,1,#P80U0QRC,Apocalypse™,16000000,Royal Recruits,14,14,Royal Ghost,6,6,Dark Prince,9,9,Magic Archer,6,6,Goblin Drill,9,9,Bandit,6,6,Wall Breakers,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PVYJ0RRY0,Viktor,6751,0,#PRPJP282,Актив СНГ |||,16000010,Giant,12,12,Prince,9,9,Electro Wizard,6,6,Arrows,14,14,Mega Minion,12,12,Dark Prince,9,9,Miner,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T045021.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LRL0LRRP,Zpoke !!,6715,2,#P80U0QRC,Apocalypse™,16000000,Royal Recruits,14,14,Royal Ghost,6,6,Dark Prince,9,9,Magic Archer,6,6,Goblin Drill,9,9,Bandit,6,6,Wall Breakers,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JU20PGYG,T8848｜冰封,6721,1,#R2GUP0,赤尾TRT,16000117,Electro Dragon,9,9,Battle Healer,12,12,Prince,9,9,Elixir Collector,12,12,Rage,8,9,Elixir Golem,12,12,Dark Prince,9,9,Wizard,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T035550.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LRL0LRRP,Zpoke !!,6740,0,#P80U0QRC,Apocalypse™,16000000,Royal Recruits,14,14,Royal Ghost,6,6,Dark Prince,9,9,Magic Archer,6,6,Goblin Drill,9,9,Bandit,6,6,Wall Breakers,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GGVRR8V2V,Hermione✨,6798,1,#VQCQQJP,Nice Strategy,16000136,Freeze,9,9,Valkyrie,12,12,Inferno Dragon,6,6,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Electro Wizard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T035104.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LRL0LRRP,Zpoke !!,6708,3,#P80U0QRC,Apocalypse™,16000000,Royal Recruits,14,14,Royal Ghost,6,6,Dark Prince,9,9,Magic Archer,6,6,Goblin Drill,9,9,Bandit,6,6,Wall Breakers,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QPGR0CV8,⚡️PS Rony,6742,0,#PV0V98LC,⚡PERÚ SQUAD⚡,16000177,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Inferno Dragon,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T034729.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LRL0LRRP,Zpoke !!,6742,0,#P80U0QRC,Apocalypse™,16000000,Royal Recruits,14,14,Royal Ghost,6,6,Dark Prince,9,9,Magic Archer,6,6,Goblin Drill,9,9,Bandit,6,6,Wall Breakers,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J9UCJCQ,✨♣️♦️Pedal♥️♠️✨,6695,1,#LP9UYCUG,GLOBAL PLAYERS,16000076,Wall Breakers,9,9,Bandit,6,6,Royal Ghost,6,6,Princess,6,6,Goblin Drill,9,9,Royal Recruits,14,14,Elite Barbarians,14,14,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T031834.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LRL0LRRP,Zpoke !!,6772,0,#P80U0QRC,Apocalypse™,16000000,Royal Recruits,14,14,Royal Ghost,6,6,Dark Prince,9,9,Magic Archer,6,6,Goblin Drill,9,9,Bandit,6,6,Wall Breakers,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PV90PRLR,Max✨,6763,1,#L0YJ02YL,硬中华,16000014,Mega Knight,6,6,Giant Snowball,14,14,Archer Queen,4,4,Electro Spirit,14,14,Ram Rider,6,6,Bandit,6,6,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T031051.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LRL0LRRP,Zpoke !!,6740,1,#P80U0QRC,Apocalypse™,16000000,Royal Recruits,14,14,Royal Ghost,6,6,Dark Prince,9,9,Magic Archer,6,6,Goblin Drill,9,9,Bandit,6,6,Wall Breakers,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VLURPP9,xPedro,6764,0,#8JCRCQ0U,brota canabica,16000075,Cannon,14,14,Royal Hogs,12,12,Earthquake,12,12,Royal Delivery,14,14,Skeletons,14,14,Fire Spirit,14,14,The Log,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
