type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220103T233421.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LU0QPLPC,√Demon√™,6693,1,#LY020UJC,Milada E-sports,16000087,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PLV0UVCJ,T8848｜Goroun✨,6711,0,#L9LJU8L8,云上三千仞,16000032,Golem,9,9,Baby Dragon,9,9,Lumberjack,6,6,Tornado,9,9,Electro Dragon,9,9,Barbarian Barrel,9,9,Heal Spirit,12,12,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T231356.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LU0QPLPC,√Demon√™,6661,2,#LY020UJC,Milada E-sports,16000087,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U9CCLPC,Zero Absolute,6690,1,#QG9QRRPU,The Dangers C.R,16000085,The Log,6,6,Royal Giant,14,14,Dark Prince,9,9,Electro Wizard,6,6,Fisherman,6,6,Electro Spirit,14,14,Fireball,12,12,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T230555.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LU0QPLPC,√Demon√™,6633,1,#LY020UJC,Milada E-sports,16000087,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R0CG80YG0,太乃 | Maxter 91™,6619,0,#8LGRYC,CrownTown☀️,16000013,Lava Hound,6,6,Skeleton Dragons,14,14,Arrows,14,14,Miner,6,6,Barbarians,14,14,Goblin Cage,12,12,Flying Machine,12,12,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T230226.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LU0QPLPC,√Demon√™,6600,2,#LY020UJC,Milada E-sports,16000087,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QC8U0U8P,cristo,6635,0,#8UVY20UC,Dark Alliance V,16000096,Lava Hound,6,6,Bomber,14,14,Dark Prince,9,9,Minion Horde,14,14,Clone,9,9,Flying Machine,12,12,Wizard,12,12,Elixir Collector,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T225908.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LU0QPLPC,√Demon√™,6571,2,#LY020UJC,Milada E-sports,16000087,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L88PJ8Q,Chͥasͣeͫn,6567,1,#PVQ800UP,The S.S.S,16000075,Princess,6,6,Prince,9,9,Rascals,14,14,Guards,9,9,Goblin Barrel,9,9,Dart Goblin,12,12,The Log,6,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T225423.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LU0QPLPC,√Demon√™,6601,0,#LY020UJC,Milada E-sports,16000087,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q289YQR0,Alechek,6595,1,#29QR2Q,MOSCOW,16000072,Knight,14,14,Poison,9,9,Goblin Drill,9,9,Firecracker,14,14,Tesla,14,14,Skeletons,14,14,Fire Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T225031.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LU0QPLPC,√Demon√™,6634,0,#LY020UJC,Milada E-sports,16000087,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LYR2VGGP,웃 B A K I 웃,6592,1,#PV8VQYG2,OneXx 3,16000027,Electro Wizard,6,6,Bowler,9,9,Inferno Dragon,6,6,Graveyard,6,6,Valkyrie,12,12,Tornado,9,9,Baby Dragon,9,9,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T224521.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LU0QPLPC,√Demon√™,6601,3,#LY020UJC,Milada E-sports,16000087,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VUYPY2RR,Jesus Abel,6636,0,,,,Elixir Golem,12,12,Battle Healer,12,12,Night Witch,6,6,Inferno Dragon,6,6,Electro Dragon,9,9,Arrows,14,14,Tornado,9,9,Rage,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T224234.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LU0QPLPC,√Demon√™,6634,0,#LY020UJC,Milada E-sports,16000087,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9J8VYPL,Checkmate,6599,1,#YGC8C2PY,Quantum North,16000016,Skeletons,14,14,Hog Rider,12,12,Ice Golem,12,12,Ice Spirit,14,14,Cannon,14,14,Musketeer,12,12,Fireball,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T223911.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LU0QPLPC,√Demon√™,6606,3,#LY020UJC,Milada E-sports,16000087,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRJU90CJ,✌HICHIGO✌,6591,1,#P9YLQL0Q,Crazy heroes™,16000058,Cannon Cart,9,9,Fireball,12,12,Spear Goblins,14,14,The Log,6,6,Miner,6,6,Goblin Gang,14,14,Minion Horde,14,14,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T223517.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LU0QPLPC,√Demon√™,6636,1,#LY020UJC,Milada E-sports,16000087,Lava Hound,6,6,Balloon,9,9,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Tombstone,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y08PCY8P2,夢の神 I Dream✨,6625,2,#8LGRYC,CrownTown☀️,16000013,Graveyard,6,6,Electro Wizard,6,6,Bowler,9,9,Archer Queen,4,4,Tornado,9,9,Valkyrie,12,12,Freeze,9,9,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
