type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20220104T182718.000Z,,54000017,Master III,72000007,Friendly,,collection,#LUUGCQVU,Alexis,6875,0,#LP2LCGVG,Ad Astra,16000040,Ram Rider,3,6,Golden Knight,1,4,Mother Witch,3,6,Electro Wizard,3,6,Royal Ghost,3,6,P.E.K.K.A,6,9,Poison,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2J9VV9,Ad CoCo❤️Op™️,6720,1,#LP2LCGVG,Ad Astra,16000040,Skeleton King,1,4,Skeleton Army,6,9,Goblin Cage,9,12,Skeleton Barrel,11,14,Dart Goblin,9,12,Bats,11,14,Goblin Drill,6,9,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T182217.000Z,,54000017,Master III,72000007,Friendly,,collection,#LUUGCQVU,Alexis,6875,1,#LP2LCGVG,Ad Astra,16000040,Skeleton King,1,4,Skeleton Army,6,9,Goblin Cage,9,12,Skeleton Barrel,11,14,Dart Goblin,9,12,Bats,11,14,Goblin Drill,6,9,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2J9VV9,Ad CoCo❤️Op™️,6720,0,#LP2LCGVG,Ad Astra,16000040,Ram Rider,3,6,Golden Knight,1,4,Mother Witch,3,6,Electro Wizard,3,6,Royal Ghost,3,6,P.E.K.K.A,6,9,Poison,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T181706.000Z,,54000017,Master III,72000007,Friendly,,collection,#LUUGCQVU,Alexis,6875,3,#LP2LCGVG,Ad Astra,16000040,Mega Knight,3,6,Prince,6,9,Archer Queen,1,4,Bats,11,14,Arrows,11,14,Miner,3,6,Wall Breakers,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2J9VV9,Ad CoCo❤️Op™️,6720,2,#LP2LCGVG,Ad Astra,16000040,Archer Queen,1,4,Magic Archer,3,6,Royal Hogs,9,12,Barbarian Barrel,6,9,Fireball,9,12,Elite Barbarians,11,14,Bandit,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T181311.000Z,,54000017,Master III,72000007,Friendly,,collection,#LUUGCQVU,Alexis,6875,0,#LP2LCGVG,Ad Astra,16000040,Mortar,11,14,Miner,3,6,Fireball,9,12,Archer Queen,1,4,Bats,11,14,Guards,6,9,The Log,3,6,Knight,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2J9VV9,Ad CoCo❤️Op™️,6720,1,#LP2LCGVG,Ad Astra,16000040,Mega Knight,3,6,Bandit,3,6,Royal Ghost,3,6,Ram Rider,3,6,Archer Queen,1,4,Lightning,6,9,Electro Spirit,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T180744.000Z,,54000017,Master III,72000007,Friendly,,collection,#LUUGCQVU,Alexis,6875,2,#LP2LCGVG,Ad Astra,16000040,Guards,6,9,Ice Golem,9,12,Ice Spirit,11,14,Archer Queen,1,4,Mini P.E.K.K.A,9,12,The Log,3,6,Earthquake,9,12,Hog Rider,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2J9VV9,Ad CoCo❤️Op™️,6720,1,#LP2LCGVG,Ad Astra,16000040,Skeletons,11,14,Spear Goblins,11,14,The Log,3,6,Royal Delivery,11,14,Archer Queen,1,4,Earthquake,9,12,Royal Hogs,9,12,Goblin Cage,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T180239.000Z,,54000017,Master III,72000007,Friendly,,collection,#LUUGCQVU,Alexis,6875,1,#LP2LCGVG,Ad Astra,16000040,Prince,6,9,Royal Ghost,3,6,Goblin Barrel,6,9,Fire Spirit,11,14,Archer Queen,1,4,Skeletons,11,14,Fireball,9,12,Dart Goblin,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2J9VV9,Ad CoCo❤️Op™️,6720,0,#LP2LCGVG,Ad Astra,16000040,Fireball,9,12,Bats,11,14,The Log,3,6,Mortar,11,14,Dart Goblin,9,12,Guards,6,9,Rascals,11,14,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T175238.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,10,eventDeck,#LUUGCQVU,Alexis,6875,1,#LP2LCGVG,Ad Astra,16000040,Dart Goblin,9,12,Fireball,9,12,Tesla,11,14,Goblin Drill,6,9,Valkyrie,9,12,Wall Breakers,6,9,Guards,6,9,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RGPYURPG,TLx⚡️Thunder⚡️,5657,2,#8PVCJUUC,#GRINGAFOREVER,16000145,Skeleton King,1,4,Giant,9,12,Graveyard,3,6,Skeleton Army,6,9,Witch,6,9,Inferno Dragon,3,6,Arrows,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T174839.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,9,eventDeck,#LUUGCQVU,Alexis,6875,1,#LP2LCGVG,Ad Astra,16000040,Dart Goblin,9,12,Fireball,9,12,Tesla,11,14,Goblin Drill,6,9,Valkyrie,9,12,Wall Breakers,6,9,Guards,6,9,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YULPYUYPP,ONAKIN,5071,0,#YU0RRUYV,青林檎,16000095,Golem,6,9,Baby Dragon,6,9,Skeleton Dragons,11,14,Clone,6,9,Lumberjack,3,6,Night Witch,3,6,Skeleton Army,6,9,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T174459.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#LUUGCQVU,Alexis,6875,1,#LP2LCGVG,Ad Astra,16000040,Dart Goblin,9,12,Fireball,9,12,Tesla,11,14,Goblin Drill,6,9,Valkyrie,9,12,Wall Breakers,6,9,Guards,6,9,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y2R9V8VCL,Lukas✨,5783,0,#LVYRCCCP,Two Lives,16000168,Giant Snowball,11,14,Archer Queen,1,4,Lightning,6,9,Electro Spirit,11,14,Royal Ghost,3,6,Bandit,3,6,Ram Rider,3,6,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T174033.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#LUUGCQVU,Alexis,6875,1,#LP2LCGVG,Ad Astra,16000040,Dart Goblin,9,12,Fireball,9,12,Tesla,11,14,Goblin Drill,6,9,Valkyrie,9,12,Wall Breakers,6,9,Guards,6,9,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PGL89Q9Y,Marmario,5905,0,#QJQ9LVC9,Los Mejores,16000073,Valkyrie,9,12,The Log,3,6,Earthquake,9,12,Tesla,11,14,Skeletons,11,14,Ice Spirit,11,14,Firecracker,11,14,Hog Rider,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
