type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T102441.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LV9JR89VG,Rey Supremo,6934,1,#LR0VJR02,Reino Supremo,16000013,Electro Wizard,6,6,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Lightning,9,9,Goblin Cage,12,12,Valkyrie,12,12,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UL0JU92V,Bat Ivko,6961,0,#LLQYYRCY,InTheStorm,16000020,Zap,14,14,Bandit,6,6,Archer Queen,4,4,Battle Ram,12,12,Electro Wizard,6,6,Royal Ghost,6,6,P.E.K.K.A,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T101626.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#LV9JR89VG,Rey Supremo,6934,1,#LR0VJR02,Reino Supremo,16000013,Mirror,6,9,Goblin Barrel,6,9,Graveyard,3,6,Executioner,6,9,Mini P.E.K.K.A,9,12,Electro Wizard,3,6,Skeleton Army,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#ULCLU9JG,❤LOVE❤,5315,0,#JGGUYVL,donat city,16000081,Mirror,6,9,Goblin Barrel,6,9,Graveyard,3,6,Executioner,6,9,Mini P.E.K.K.A,9,12,Electro Wizard,3,6,Skeleton Army,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T101240.000Z,,54000040,Legendary Arena,72000254,MirrorDeck_Friendly,,predefined,#LV9JR89VG,Rey Supremo,6934,1,#LR0VJR02,Reino Supremo,16000013,Mirror,6,9,Miner,3,6,Balloon,6,9,Executioner,6,9,P.E.K.K.A,6,9,Princess,3,6,Skeleton Army,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28YCPYLU,理想家园,5633,0,#9URYJYLL,&大海&,16000019,Mirror,6,9,Miner,3,6,Balloon,6,9,Executioner,6,9,P.E.K.K.A,6,9,Princess,3,6,Skeleton Army,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T100840.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#LV9JR89VG,Rey Supremo,6934,1,#LR0VJR02,Reino Supremo,16000013,Tombstone,12,12,Zap,13,14,Elite Barbarians,14,14,Minions,12,14,Fireball,12,12,Lava Hound,4,6,Minion Horde,12,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PY0JG2VR,vikassingh,5764,0,#QYQQG08R,INDIAN STAR,16000163,Inferno Tower,11,12,Spear Goblins,13,14,Wizard,11,12,Rocket,11,12,Dart Goblin,11,12,Minions,13,14,Barbarian Barrel,8,9,Knight,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRacePvP,20220104T100510.000Z,,54000040,Legendary Arena,72000268,CW_Battle_1v1,,collection,#LV9JR89VG,Rey Supremo,6934,1,#LR0VJR02,Reino Supremo,16000013,Dark Prince,8,9,Royal Recruits,12,14,Giant Snowball,12,14,Inferno Tower,8,12,Mega Minion,12,12,Executioner,9,9,Lumberjack,4,6,Archer Queen,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CQRQ90QJ,⚡Yliangel⚡,5845,0,#L8JPL0PQ,les vieux 3,16000078,Wizard,11,12,Giant,11,12,Dark Prince,8,9,Sparky,6,6,Spear Goblins,13,14,Knight,13,14,Tesla,13,14,Dart Goblin,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T095922.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#LV9JR89VG,Rey Supremo,6934,2,#LR0VJR02,Reino Supremo,16000013,Electro Wizard,6,6,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Lightning,9,9,Goblin Cage,12,12,Valkyrie,12,12,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQGUQQC,TheRealBigCat,5767,0,#L8P28QP8,morgantown Boys,16000097,Mega Knight,6,6,Executioner,9,9,Goblin Gang,14,14,Rage,8,9,Elite Barbarians,14,14,Archers,14,14,Musketeer,12,12,Giant Snowball,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T085047.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LV9JR89VG,Rey Supremo,6908,1,#LR0VJR02,Reino Supremo,16000013,Electro Wizard,6,6,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Lightning,9,9,Goblin Cage,12,12,Valkyrie,12,12,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y2LUQ98R9,疯狂｜PoiMaS,6867,0,#Y89VR8JL,Juvenile,16000040,Bandit,6,6,Lightning,9,9,P.E.K.K.A,9,9,Barbarian Barrel,9,9,Electro Wizard,6,6,Baby Dragon,9,9,Giant Snowball,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T084658.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LV9JR89VG,Rey Supremo,6875,1,#LR0VJR02,Reino Supremo,16000013,Electro Wizard,6,6,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Lightning,9,9,Goblin Cage,12,12,Valkyrie,12,12,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y90CL0PCQ,ふぃりったん,6911,0,#Y89VR8JL,Juvenile,16000040,Zap,14,14,Minions,14,14,Wall Breakers,9,9,Arrows,14,14,Miner,6,6,Prince,9,9,Archer Queen,4,4,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T084303.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LV9JR89VG,Rey Supremo,6902,0,#LR0VJR02,Reino Supremo,16000013,Electro Wizard,6,6,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Lightning,9,9,Goblin Cage,12,12,Valkyrie,12,12,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QGCCPQ28,✨みやの♥しほ✨,6936,3,#Q990YGRU,7000,16000176,Fireball,12,12,P.E.K.K.A,9,9,Battle Ram,12,12,Magic Archer,6,6,Bandit,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T083910.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LV9JR89VG,Rey Supremo,6879,1,#LR0VJR02,Reino Supremo,16000013,Electro Wizard,6,6,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Lightning,9,9,Goblin Cage,12,12,Valkyrie,12,12,Royal Giant,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LQCP2QPPR,mistery,6808,0,#LGJYYC00,SEUTROS,16000143,P.E.K.K.A,9,9,Magic Archer,6,6,Golden Knight,4,4,Poison,9,9,Royal Ghost,6,6,Ram Rider,6,6,Barbarian Barrel,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
