type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual1v1,20220104T180839.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,1,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,12,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G2JLL8R,Cowanjo,5800,0,#LU8CQ9QL,pekas dad,16000162,Archer Queen,4,4,Bandit,6,6,Electro Spirit,14,14,Giant Snowball,14,14,Lightning,9,9,Mega Knight,6,6,Ram Rider,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T180444.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,1,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,12,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R8VYL28,CJ_Box,6419,0,#2G2Y8R,>BareCrusaders<,16000095,Skeleton Army,7,9,Goblin Barrel,9,9,Arrows,14,14,Skeleton Barrel,14,14,Mini P.E.K.K.A,11,12,Ram Rider,6,6,Golden Knight,4,4,Firecracker,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T180129.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,3,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,12,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2200PRU2,jeff the killer,5509,0,#QGQVLQ2G,Milkys 2.”0,16000123,Executioner,9,9,Tesla,14,14,Skeleton Army,8,9,Royal Delivery,13,14,Royal Giant,14,14,Barbarian Barrel,9,9,Lumberjack,6,6,Electro Wizard,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T175847.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,0,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,12,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VCJUCC,Sultansaid,6198,1,#LLGUJ0UC,UZBEKISTON,16000032,Giant Skeleton,9,9,Skeleton Barrel,14,14,Mother Witch,6,6,Elite Barbarians,13,14,Furnace,12,12,Flying Machine,12,12,Clone,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T175449.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,0,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,12,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YCGCQ8CP,Roderick小號,5931,1,#PPQY9PJ,fabulous-2nd,16000020,Royal Recruits,14,14,The Log,6,6,Poison,9,9,Mega Knight,6,6,Cannon Cart,9,9,Goblin Cage,12,12,Dart Goblin,12,12,Flying Machine,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T175133.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,3,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,12,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98QL2J9JU,consti,5621,0,#2JGPYU0G,Berlin Army 2.0,16000080,Goblin Cage,12,12,Inferno Dragon,6,6,Mother Witch,6,6,Bomber,14,14,Electro Giant,9,9,Dark Prince,9,9,Lightning,9,9,Tornado,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T174904.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,1,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,12,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UYUJ0CQ0,TNPintoPT,5385,0,#QPVRP28P,Hollybronx,16000163,Skeleton Army,8,9,Knight,14,14,Goblin Gang,13,14,Inferno Tower,11,12,Goblin Barrel,9,9,The Log,5,6,Princess,5,6,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T174549.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,3,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,12,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#299LCRQ9G,batata,5272,0,#LGJYYYUG,Los Ackerman,16000027,Wizard,12,12,Lumberjack,4,6,Firecracker,13,14,Mini P.E.K.K.A,12,12,Arrows,13,14,Elixir Golem,11,12,P.E.K.K.A,7,9,Valkyrie,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T174233.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,1,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,12,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q8RJ09LY,gio gio,5654,0,#UPY9R9Y,Supremacy,16000081,Electro Wizard,6,6,Firecracker,14,14,Hog Rider,12,12,Wizard,12,12,Valkyrie,12,12,Arrows,14,14,Mega Knight,6,6,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T173713.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,1,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,12,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R0P0QYPC,cometz,5781,2,#98YVLQP9,LOYAL FIGHTERS,16000107,Skeletons,14,14,Earthquake,12,12,Arrows,14,14,Cannon,14,14,Electro Wizard,6,6,Valkyrie,12,12,Hog Rider,12,12,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T173305.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,1,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,12,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YVUJYCL,xcis,6279,0,#9JR9LPUY,Adults only 21+,16000023,Archer Queen,4,4,Ram Rider,6,6,Barbarian Barrel,9,9,Fireball,12,12,P.E.K.K.A,9,9,Dark Prince,9,9,Electro Wizard,6,6,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T172650.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,0,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,11,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RG90P8RJ,H9_TX99,5722,1,#LP9C80YY,Dark Sword,16000153,Tesla,14,14,Furnace,12,12,Lightning,9,9,Witch,9,9,Valkyrie,12,12,Bats,14,14,Skeleton Barrel,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T172335.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,1,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,11,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RUY9J92,The Capital G,5833,0,,,,Arrows,14,14,Lumberjack,6,6,Bomber,14,14,Inferno Tower,12,12,Electro Wizard,6,6,Hog Rider,12,12,Barbarian Barrel,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T172008.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,0,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,11,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LJRJYRUV,idezin,6043,1,#9U2982C,MALAGA,16000172,Lightning,9,9,The Log,6,6,Firecracker,14,14,Golden Knight,4,4,Hog Rider,12,12,Guards,9,9,Tesla,14,14,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual1v1,20220104T171651.000Z,,54000040,Legendary Arena,72000066,Showdown_Ladder,,collection,#LY02RJUY,Dado9903,6848,2,#YV9P9P9Y,LE KAPRE,16000164,Graveyard,6,6,Archer Queen,4,4,Valkyrie,12,12,Baby Dragon,9,9,Tombstone,11,12,Skeletons,13,14,Barbarian Barrel,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Y8UL2GYU,<c3>الشأيب,5855,1,#PPL0J0VJ,قصايد قطر,16000165,Dark Prince,9,9,Skeleton Barrel,14,14,Electro Dragon,9,9,Mega Knight,6,6,Goblin Barrel,9,9,Firecracker,14,14,Arrows,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
