type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T125402.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYU829L,Kyle,6756,1,#LJLQ08QR,SnowStorm,16000168,Skeleton King,4,4,Bowler,9,9,Witch,9,9,Tombstone,12,12,Graveyard,6,6,Freeze,9,9,Mega Minion,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JV8VUJQ,Champ to Be,6751,0,#YYPJVLLQ,BloodWest,16000168,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,The Log,6,6,Royal Delivery,14,14,Skeletons,14,14,Fire Spirit,14,14,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T124918.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYU829L,Kyle,6729,1,#LJLQ08QR,SnowStorm,16000168,Skeleton King,4,4,Bowler,9,9,Witch,9,9,Tombstone,12,12,Graveyard,6,6,Freeze,9,9,Mega Minion,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G200U209R,BK I ⌘Apostle⌘,6703,0,#LLLRC8PR,PAIMON,16000128,Hog Rider,12,12,Musketeer,12,12,Ice Golem,12,12,Cannon,14,14,Ice Spirit,14,14,Skeletons,14,14,The Log,6,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T124419.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYU829L,Kyle,6698,1,#LJLQ08QR,SnowStorm,16000168,Skeleton King,4,4,Bowler,9,9,Witch,9,9,Tombstone,12,12,Graveyard,6,6,Freeze,9,9,Mega Minion,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LJVJ2PVC,よしだん,6713,0,#8LRLY22U,冷やしゴブリン始めました。,16000154,Royal Hogs,12,12,Goblin Cage,12,12,Archer Queen,4,4,Earthquake,12,12,Fire Spirit,14,14,Skeletons,14,14,Royal Delivery,13,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T124107.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYU829L,Kyle,6723,0,#LJLQ08QR,SnowStorm,16000168,Skeleton King,4,4,Bowler,9,9,Witch,9,9,Tombstone,12,12,Graveyard,6,6,Freeze,9,9,Mega Minion,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJ2G2R0,Deathstrøke,6776,1,#L8U8GLJJ,Solide™️,16000012,Golem,9,9,Night Witch,6,6,Bomber,14,14,Mega Minion,12,12,Baby Dragon,9,9,Zap,14,14,Tornado,8,9,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T123738.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYU829L,Kyle,6695,1,#LJLQ08QR,SnowStorm,16000168,Skeleton King,4,4,Bowler,9,9,Witch,9,9,Tombstone,12,12,Graveyard,6,6,Freeze,9,9,Mega Minion,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#ULULJC0C,ILYAS♥️Lava,6677,0,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Fireball,12,12,Mega Minion,12,12,Skeleton Dragons,14,14,Guards,9,9,Zap,14,14,Balloon,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T123342.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYU829L,Kyle,6724,0,#LJLQ08QR,SnowStorm,16000168,Skeleton King,4,4,Bowler,9,9,Witch,9,9,Tombstone,12,12,Graveyard,6,6,Freeze,9,9,Mega Minion,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YYJJPYYL,p1cK✨,6727,1,#Q9C2UUQ8,OneLove❤️,16000171,Mortar,14,14,Minion Horde,14,14,Skeleton King,4,4,The Log,6,6,Bats,14,14,Spear Goblins,14,14,Miner,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T122654.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYU829L,Kyle,6695,3,#LJLQ08QR,SnowStorm,16000168,Skeleton King,4,4,Bowler,9,9,Witch,9,9,Tombstone,12,12,Graveyard,6,6,Freeze,9,9,Mega Minion,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y98RYC00V,Fenix Aco,6687,1,#2R8U0CR0,Tesle Italiane,16000010,Balloon,9,9,Tombstone,12,12,Barbarians,14,14,Lava Hound,6,6,Mega Minion,12,12,Fireball,12,12,Arrows,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T122320.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYU829L,Kyle,6724,0,#LJLQ08QR,SnowStorm,16000168,Skeleton King,4,4,Bowler,9,9,Witch,9,9,Tombstone,12,12,Graveyard,6,6,Freeze,9,9,Mega Minion,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y08R8CR,THE PRINCE,6735,1,,,,Valkyrie,12,12,Musketeer,12,12,Tornado,9,9,The Log,6,6,Hog Rider,12,12,Elite Barbarians,14,14,Ice Spirit,14,14,Executioner,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T121934.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYU829L,Kyle,6752,1,#LJLQ08QR,SnowStorm,16000168,Skeleton King,4,4,Bowler,9,9,Witch,9,9,Tombstone,12,12,Graveyard,6,6,Freeze,9,9,Mega Minion,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R0YGJ888,*ROLLY DEX*,6764,2,#P0CRUP92,SUMΔQ PΣRŪ,16000002,Mega Knight,6,6,Lightning,9,9,Electro Wizard,6,6,Zap,14,14,Battle Ram,12,12,Bandit,6,6,Dark Prince,9,9,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T121613.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#LYU829L,Kyle,6726,1,#LJLQ08QR,SnowStorm,16000168,Skeleton King,4,4,Bowler,9,9,Witch,9,9,Tombstone,12,12,Graveyard,6,6,Freeze,9,9,Mega Minion,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QV2RRGYP,Nova | Matte,6686,0,#QCJY0GVV,MILK and HONEY,16000132,Dart Goblin,12,12,Mortar,14,14,Miner,6,6,The Log,6,6,Rascals,14,14,Guards,9,9,Bats,13,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
