type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T184829.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P08YPYYGP,杜雷丝,6501,1,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q9VGVVV,F4LC@ BLEKKE,6504,0,#8VQ9G,Black Orlov,16000046,Tornado,9,9,Skeleton King,4,4,Fireball,12,12,Bats,14,14,Sparky,6,6,Skeleton Barrel,14,14,Flying Machine,12,12,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184517.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P08YPYYGP,杜雷丝,6474,2,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C2CQ0LU2,KingMillerAA,6446,1,,,,Goblin Giant,9,9,Mother Witch,6,6,Elite Barbarians,14,14,Zap,14,14,Dark Prince,9,9,Electro Wizard,6,6,Fireball,12,12,Sparky,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T184203.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P08YPYYGP,杜雷丝,6505,0,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GYQVP9VC,✨⚜️Sla〽️ort⚜️✨,6492,1,#LRQGRGUQ,zPunish eSports,16000014,The Log,6,6,Princess,6,6,Inferno Tower,12,12,Valkyrie,12,12,Goblin Barrel,9,9,Skeleton Barrel,13,14,Dart Goblin,12,12,Skeleton Army,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183852.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P08YPYYGP,杜雷丝,6476,1,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88VCV8Y9C,Giannis karas,6475,0,#L020L290,Anonymous.gr,16000027,Mini P.E.K.K.A,12,12,Bandit,6,6,Baby Dragon,9,9,Arrows,14,14,Mega Knight,6,6,Night Witch,6,6,Electro Wizard,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183540.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P08YPYYGP,杜雷丝,6506,1,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UR8LRL9,Jimmy-A.M.K.,6505,3,#8G0UVU,CalaMur,16000035,Giant,12,12,Sparky,6,6,Electro Wizard,6,6,Graveyard,6,6,Archer Queen,4,4,Inferno Dragon,6,6,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183222.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P08YPYYGP,杜雷丝,6532,1,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLJVRGL,I___O_W_N___U,6574,3,#LRYGRVJV,⚡️大秋名の电车造车场⚡️,16000009,Goblin Giant,9,9,Sparky,6,6,Zap,14,14,Heal Spirit,12,12,Elite Barbarians,14,14,Electro Wizard,6,6,Rage,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182935.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P08YPYYGP,杜雷丝,6565,0,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GL8GYJ0P,⚡️CHEETAH⚡️,6525,1,,,,P.E.K.K.A,9,9,Royal Ghost,6,6,Electro Wizard,6,6,Magic Archer,6,6,Bandit,6,6,Fireball,12,12,Battle Ram,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182442.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P08YPYYGP,杜雷丝,6592,0,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VR9V02,mojtaba,6620,1,#92LGR2LG,mashhad,16000028,Hog Rider,12,12,Prince,9,9,Inferno Dragon,6,6,Zap,14,14,Freeze,9,9,Bats,14,14,Mega Knight,6,6,Bomber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182006.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P08YPYYGP,杜雷丝,6561,1,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G0992PR8,رامي الحربي,6577,0,#8R8802V,الذهبي,16000028,Electro Dragon,9,9,Cannon Cart,9,9,Poison,9,9,Tornado,9,9,Goblin Cage,12,12,Royal Hogs,12,12,Valkyrie,12,12,Magic Archer,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181654.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P08YPYYGP,杜雷丝,6532,3,#82UU2Y2G,bbox达人三冠大本营,16000106,Royal Ghost,6,6,Bandit,6,6,Fireball,12,12,Ram Rider,6,6,Bats,14,14,Zap,14,14,Mega Knight,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QPL0VLQ9,Ibrahim,6529,1,#9VLVVY8P,syria,16000008,Lava Hound,6,6,Tombstone,12,12,Balloon,9,9,Guards,9,9,Skeleton Dragons,14,14,Mega Minion,12,12,Zap,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
