type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T124249.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P09V829,(S*・ﻌ・*T),6766,1,#YYLY2V0,竹組,16000137,Goblin Giant,9,9,Sparky,6,6,Hunter,9,9,Dark Prince,9,9,Mega Minion,12,12,Lightning,9,9,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22P990UUL,OP I Bowler.,6718,0,#LVQUJQG2,GOTAGANG,16000097,Skeleton Army,9,9,Goblin Barrel,9,9,Skeleton Barrel,14,14,Inferno Tower,12,12,The Log,6,6,Fireball,12,12,Dart Goblin,12,12,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T040531.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P09V829,(S*・ﻌ・*T),6739,1,#YYLY2V0,竹組,16000137,Goblin Giant,9,9,Sparky,6,6,Hunter,9,9,Dark Prince,9,9,Mega Minion,12,12,Lightning,9,9,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y0L82JQPJ,TKHT,6707,0,#P8RG0YGL,Twilight story,16000032,Golem,9,9,Electro Dragon,9,9,Baby Dragon,9,9,Mega Minion,12,12,Lumberjack,6,6,Tornado,9,9,Cannon Cart,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T033737.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P09V829,(S*・ﻌ・*T),6710,1,#YYLY2V0,竹組,16000137,Goblin Giant,9,9,Sparky,6,6,Hunter,9,9,Dark Prince,9,9,Mega Minion,12,12,Lightning,9,9,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LV8CQCP29,FTV Poncho⚡,6705,0,,,,Mortar,14,14,Miner,6,6,Poison,9,9,Musketeer,12,12,Bats,14,14,Giant Snowball,14,14,Skeletons,14,14,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riverRaceDuel,20220104T002913.000Z,,54000040,Legendary Arena,72000267,CW_Duel_1v1,,warDeckPick,#P09V829,(S*・ﻌ・*T),6710,4,#YYLY2V0,竹組,16000137,Knight,13,14,Graveyard,5,6,Goblin Cage,11,12,Cannon Cart,8,9,Baby Dragon,8,9,Musketeer,11,12,Fireball,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RCY929PG,Lotus,5874,1,#8LCU9R2G,#BR FORCE#,16000058,Knight,14,14,Goblin Gang,14,14,Goblin Barrel,9,9,Princess,6,6,Ice Spirit,14,14,Inferno Tower,11,12,The Log,6,6,Rocket,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T001642.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P09V829,(S*・ﻌ・*T),6684,1,#YYLY2V0,竹組,16000137,Goblin Giant,9,9,Sparky,6,6,Hunter,9,9,Dark Prince,9,9,Mega Minion,12,12,Lightning,9,9,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UP22GQ8R,山支丶,6648,0,#LYLQGYJ0,外星伴侣,16000041,Electro Giant,9,9,Archer Queen,4,4,Bomber,14,14,Skeletons,14,14,Goblin Cage,12,12,Lightning,9,9,Tornado,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T143609.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P09V829,(S*・ﻌ・*T),6654,1,#YYLY2V0,竹組,16000137,Goblin Giant,9,9,Sparky,6,6,Hunter,9,9,Dark Prince,9,9,Mega Minion,12,12,Lightning,9,9,Giant Snowball,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QUUQQPJP,Linjiakun,6654,0,#Y2JLVUU0,FAMILIA HN⚡,16000144,Graveyard,6,6,Skeleton Army,9,9,Giant,12,12,Giant Snowball,14,14,Night Witch,6,6,Arrows,14,14,Bowler,9,9,Minions,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T142600.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P09V829,(S*・ﻌ・*T),6625,2,#YYLY2V0,竹組,16000137,Goblin Giant,9,9,Sparky,6,6,Minion Horde,14,14,Skeleton Army,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YL08J9RC,RW⭐Ianiz,6617,1,#88VG9QYQ,RomaniaWarriors,16000077,Goblin Giant,9,9,Sparky,6,6,Dark Prince,9,9,Zap,14,14,Rage,9,9,Electro Wizard,6,6,Minions,14,14,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T142241.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P09V829,(S*・ﻌ・*T),6599,2,#YYLY2V0,竹組,16000137,Goblin Giant,9,9,Sparky,6,6,Minion Horde,14,14,Skeleton Army,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8C8YCPPG,Aimar y Diego,6563,1,#LLC0RQ8G,Face To Face,16000172,Bowler,9,9,Balloon,9,9,Lumberjack,6,6,Baby Dragon,9,9,Inferno Dragon,6,6,Freeze,8,9,Tornado,9,9,Barbarian Barrel,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T141917.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P09V829,(S*・ﻌ・*T),6628,0,#YYLY2V0,竹組,16000137,Goblin Giant,9,9,Sparky,6,6,Minion Horde,14,14,Skeleton Army,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CP998YJ2,Toniboys™,6636,1,#Q2QV02UR,Allmoon'S,16000032,Mega Knight,6,6,Barbarian Barrel,9,9,Electro Wizard,6,6,Bandit,6,6,Ram Rider,6,6,Dark Prince,9,9,Inferno Dragon,6,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T114253.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P09V829,(S*・ﻌ・*T),6598,3,#YYLY2V0,竹組,16000137,Goblin Giant,9,9,Sparky,6,6,Minion Horde,14,14,Skeleton Army,9,9,Miner,6,6,Bats,14,14,Spear Goblins,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CJ9GYVQ,Ahmed,6600,0,#Y2RR2P2P,ROTTEN TOMATO,16000140,The Log,6,6,Ice Golem,12,12,Skeletons,14,14,Ice Spirit,14,14,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Cannon,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
