type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T114723.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P09Y0L9YL,CR❤I⚡Lucky⚡,6791,1,#L0YGUC8R,Шавуха На Углях,16000168,Lava Hound,6,6,Minion Horde,14,14,Barbarians,14,14,Minions,14,14,Arrows,14,14,Balloon,9,9,Inferno Dragon,6,6,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R9JVLCGQ8,Shockra,6794,0,#LR0JLQRU,YT ShockraCr,16000110,The Log,6,6,Archers,14,14,Fireball,12,12,Tesla,14,14,X-Bow,9,9,Knight,14,14,Skeletons,14,14,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T113927.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,11,eventDeck,#P09Y0L9YL,CR❤I⚡Lucky⚡,6791,1,#L0YGUC8R,Шавуха На Углях,16000168,Guards,6,9,Balloon,6,9,Skeleton Dragons,11,14,Fireball,9,12,Lava Hound,3,6,Tombstone,9,12,Mega Minion,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPVPVY008,iammartin,5557,0,#88GUJL0Q,distructor,16000081,P.E.K.K.A,6,9,Electro Wizard,3,6,Baby Dragon,6,9,Giant Snowball,11,14,Lightning,6,9,Bandit,3,6,Barbarian Barrel,6,9,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T113602.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,11,eventDeck,#P09Y0L9YL,CR❤I⚡Lucky⚡,6791,1,#L0YGUC8R,Шавуха На Углях,16000168,Guards,6,9,Balloon,6,9,Skeleton Dragons,11,14,Fireball,9,12,Lava Hound,3,6,Tombstone,9,12,Mega Minion,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LU2YQUJV,✨Arvid™️✨,5168,2,#LQGLYPYP,Tip Top,16000160,Lava Hound,3,6,Guards,6,9,Tombstone,9,12,Mega Minion,9,12,Balloon,6,9,Zap,11,14,Fireball,9,12,Skeleton Dragons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T113221.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,10,eventDeck,#P09Y0L9YL,CR❤I⚡Lucky⚡,6791,2,#L0YGUC8R,Шавуха На Углях,16000168,Guards,6,9,Balloon,6,9,Skeleton Dragons,11,14,Fireball,9,12,Lava Hound,3,6,Tombstone,9,12,Mega Minion,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LC0VJLYJL,又可爱又淑女的小魏國,5133,1,#Q9022R9G,WLG集中赢,16000035,Miner,3,6,Skeletons,11,14,Ice Spirit,11,14,The Log,3,6,Ice Golem,9,12,Dart Goblin,9,12,Bats,11,14,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T105403.000Z,,54000017,Master III,72000007,Friendly,,collection,#P09Y0L9YL,CR❤I⚡Lucky⚡,6791,3,#L0YGUC8R,Шавуха На Углях,16000168,Skeleton King,1,4,Graveyard,3,6,Witch,6,9,Goblin Cage,9,12,Inferno Dragon,3,6,Skeleton Army,6,9,Rocket,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYGG0G9GJ,Rompasso 強者,6050,1,#Y28LYYVQ,2Easy,16000012,Mega Minion,9,12,Heal Spirit,9,12,Barbarian Barrel,6,9,Witch,6,9,Zap,11,14,Elite Barbarians,11,14,Ram Rider,3,6,Minion Horde,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T104545.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,9,eventDeck,#P09Y0L9YL,CR❤I⚡Lucky⚡,6791,2,#L0YGUC8R,Шавуха На Углях,16000168,Guards,6,9,Balloon,6,9,Skeleton Dragons,11,14,Fireball,9,12,Lava Hound,3,6,Tombstone,9,12,Mega Minion,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RQQCRGLL8,Tushar Jha,5466,1,#QQYRVPJC,INDIANS,16000059,Archer Queen,1,4,Royal Hogs,9,12,Earthquake,9,12,The Log,3,6,Royal Delivery,11,14,Skeletons,11,14,Goblin Cage,9,12,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T103637.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#P09Y0L9YL,CR❤I⚡Lucky⚡,6791,2,#L0YGUC8R,Шавуха На Углях,16000168,Guards,6,9,Balloon,6,9,Skeleton Dragons,11,14,Fireball,9,12,Lava Hound,3,6,Tombstone,9,12,Mega Minion,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20RQCCQUU,Stephen,5392,1,,,,Golden Knight,1,4,Royal Ghost,3,6,Electro Wizard,3,6,P.E.K.K.A,6,9,Lightning,6,9,Barbarian Barrel,6,9,Electro Spirit,11,14,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T103213.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#P09Y0L9YL,CR❤I⚡Lucky⚡,6791,2,#L0YGUC8R,Шавуха На Углях,16000168,Guards,6,9,Balloon,6,9,Skeleton Dragons,11,14,Fireball,9,12,Lava Hound,3,6,Tombstone,9,12,Mega Minion,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YGQCC9CGP,Ho,5632,1,#QPGLPUPG,京朝6048院,16000143,Rocket,9,12,The Log,3,6,Valkyrie,9,12,Ice Spirit,11,14,Hog Rider,9,12,Executioner,6,9,Tornado,6,9,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T102759.000Z,65000001,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#P09Y0L9YL,CR❤I⚡Lucky⚡,6791,3,#L0YGUC8R,Шавуха На Углях,16000168,Guards,6,9,Balloon,6,9,Skeleton Dragons,11,14,Fireball,9,12,Lava Hound,3,6,Tombstone,9,12,Mega Minion,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G0JQC0J8Y,MASATO,5403,1,#9YY8J9L2,大阪まったりクラン,16000054,Golden Knight,1,4,Barbarian Barrel,6,9,Tornado,6,9,Lightning,6,9,Baby Dragon,6,9,Bomber,11,14,Electro Giant,6,9,Goblin Cage,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T101249.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P09Y0L9YL,CR❤I⚡Lucky⚡,6761,2,#L0YGUC8R,Шавуха На Углях,16000168,Lava Hound,6,6,Minion Horde,14,14,Barbarians,14,14,Minions,14,14,Arrows,14,14,Balloon,9,9,Inferno Dragon,6,6,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LY02RJUY,Dado9903,6762,1,#YV9P9P9Y,LE KAPRE,16000164,Skeleton King,4,4,Miner,6,6,Mortar,14,14,Fireball,12,12,Minion Horde,14,14,Spear Goblins,14,14,Bats,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
