type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T155647.000Z,,54000017,Master III,72000007,Friendly,,collection,#P0L92GLU2,カメさん,6830,1,#LP90G9Q2,Last Resort,16000097,Poison,6,9,Tombstone,9,12,Ice Wizard,3,6,Baby Dragon,6,9,Tornado,6,9,Valkyrie,9,12,Barbarian Barrel,6,9,Graveyard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R8V0CP8UP,まーち,6474,0,#LGY2QPRU,観戦なし,16000029,Lava Hound,3,6,Balloon,6,9,Mega Minion,9,12,Skeleton Dragons,11,14,Guards,6,9,Tombstone,9,12,Fireball,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T155301.000Z,,54000016,Master II,72000007,Friendly,,collection,#P0L92GLU2,カメさん,6830,1,#LP90G9Q2,Last Resort,16000097,Poison,6,9,Tombstone,9,12,Ice Wizard,3,6,Baby Dragon,6,9,Tornado,6,9,Valkyrie,9,12,Barbarian Barrel,6,9,Graveyard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R8V0CP8UP,まーち,6474,0,#LGY2QPRU,観戦なし,16000029,Lava Hound,3,6,Balloon,6,9,Mega Minion,9,12,Skeleton Dragons,11,14,Guards,6,9,Tombstone,9,12,Fireball,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150216.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0L92GLU2,カメさん,6799,1,#LP90G9Q2,Last Resort,16000097,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPJ0Q2RQ,MONYK,6817,0,#9RQYJGUY,Furia Nocturna,16000044,Goblin Cage,12,12,Skeletons,14,14,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Royal Giant,14,14,Fisherman,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145551.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0L92GLU2,カメさん,6769,1,#LP90G9Q2,Last Resort,16000097,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2CVG09Y,Jelle,6775,0,#YGL9PU80,Troops Of War,16000161,Skeletons,14,14,Fire Spirit,14,14,Firecracker,14,14,Tesla,14,14,Earthquake,12,12,Hog Rider,12,12,The Log,6,6,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T145035.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0L92GLU2,カメさん,6801,0,#LP90G9Q2,Last Resort,16000097,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#290VRQCYC,Jasper❤️Mikasa,6774,1,#YGL9PU80,Troops Of War,16000161,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144458.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0L92GLU2,カメさん,6768,1,#LP90G9Q2,Last Resort,16000097,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GPGPCQCP,NOIR♛,6805,0,#LVYJGYY8,Zermea Esports,16000158,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Zap,14,14,Magic Archer,6,6,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143855.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0L92GLU2,カメさん,6739,1,#LP90G9Q2,Last Resort,16000097,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJLUC9L0,GRAVE YARD,6733,0,#V229JG,LEBANON,16000024,Giant,12,12,Archer Queen,4,4,Skeleton Army,9,9,Graveyard,6,6,Mega Minion,12,12,Bowler,9,9,Giant Snowball,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143302.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0L92GLU2,カメさん,6708,1,#LP90G9Q2,Last Resort,16000097,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80PJPGYG9,りく,6731,0,#LJYQ9L2U,枯渇クラン,16000154,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,Valkyrie,12,12,Skeletons,14,14,The Log,6,6,Electro Spirit,14,14,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142822.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0L92GLU2,カメさん,6744,0,#LP90G9Q2,Last Resort,16000097,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YPYLL8QGY,lord,6665,1,#LCURJV,Jurassic CH,16000060,Mega Knight,6,6,Fisherman,6,6,Goblin Barrel,9,9,Firecracker,14,14,Electro Wizard,6,6,Skeleton Army,9,9,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142319.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0L92GLU2,カメさん,6713,3,#LP90G9Q2,Last Resort,16000097,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JGGR80U,NutVan,6732,1,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Spear Goblins,14,14,Miner,6,6,Skeleton Army,9,9,Bats,14,14,Mortar,14,14,Fireball,12,12,Skeleton King,4,4,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
