type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T175919.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0VC8PJR,AGoodName✨,6798,1,#LVJRRQUV,twitter,16000014,Tornado,9,9,Skeletons,14,14,Tesla,14,14,The Log,6,6,Magic Archer,6,6,Wall Breakers,9,9,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CLV9UJLY,Trainer Joona,6778,0,#Q9VLYYV9,Blacklisted,16000014,Balloon,9,9,Miner,6,6,Arrows,14,14,Skeleton Dragons,14,14,Lava Hound,6,6,Barbarians,14,14,Inferno Dragon,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175538.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0VC8PJR,AGoodName✨,6770,1,#LVJRRQUV,twitter,16000014,Tornado,9,9,Skeletons,14,14,Tesla,14,14,The Log,6,6,Magic Archer,6,6,Wall Breakers,9,9,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98PLPPYY,Tirlo✨™,6747,0,#8YVV9YUR,Veterans Élite™,16000036,Inferno Tower,12,12,The Log,6,6,Dart Goblin,12,12,Skeletons,14,14,Miner,6,6,Valkyrie,12,12,Rocket,12,12,Royal Delivery,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175127.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0VC8PJR,AGoodName✨,6742,1,#LVJRRQUV,twitter,16000014,Tornado,9,9,Skeletons,14,14,Tesla,14,14,The Log,6,6,Magic Archer,6,6,Wall Breakers,9,9,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CGQPUVV,SVG⚡JirenGOD™️,6721,0,#QYYYLC0L,reencarnación,16000059,Giant,12,12,Skeleton King,4,4,Bats,14,14,Fireball,12,12,Graveyard,6,6,Musketeer,12,12,Skeleton Army,9,9,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174658.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0VC8PJR,AGoodName✨,6708,1,#LVJRRQUV,twitter,16000014,Tornado,9,9,Skeletons,14,14,Tesla,14,14,The Log,6,6,Magic Archer,6,6,Wall Breakers,9,9,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CJ9UJPRY,ur l Happy ❤,6764,0,#P0UVGY8R,PERUCLASH2019,16000014,Electro Wizard,6,6,Battle Ram,12,12,Bandit,6,6,P.E.K.K.A,9,9,Minions,14,14,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174335.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0VC8PJR,AGoodName✨,6733,0,#LVJRRQUV,twitter,16000014,Tornado,9,9,Skeletons,14,14,Tesla,14,14,The Log,6,6,Magic Archer,6,6,Wall Breakers,9,9,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#202C2CU0U,⚡Manoel⚡,6791,3,#L0U88RPP,AdultosdoROCK,16000010,Giant,12,12,Bowler,9,9,Night Witch,6,6,Bats,14,14,Arrows,14,14,Giant Snowball,14,14,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174039.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0VC8PJR,AGoodName✨,6758,0,#LVJRRQUV,twitter,16000014,Tornado,9,9,Skeletons,14,14,Tesla,14,14,The Log,6,6,Magic Archer,6,6,Wall Breakers,9,9,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LGRJQQYG,(·_·)HIKA(·_·),6809,1,,,,Lava Hound,6,6,Balloon,9,9,Inferno Dragon,6,6,Minions,14,14,Zap,14,14,Fireball,12,12,Tombstone,12,12,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173709.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0VC8PJR,AGoodName✨,6792,0,#LVJRRQUV,twitter,16000014,Tornado,9,9,Skeletons,14,14,Tesla,14,14,The Log,6,6,Magic Archer,6,6,Wall Breakers,9,9,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29QGY9YJC,Seb,6738,1,#YC8VL8LQ,B I C H O T A S,16000028,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Tombstone,12,12,Poison,9,9,Valkyrie,12,12,Graveyard,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173211.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0VC8PJR,AGoodName✨,6759,1,#LVJRRQUV,twitter,16000014,Tornado,9,9,Skeletons,14,14,Tesla,14,14,The Log,6,6,Magic Archer,6,6,Wall Breakers,9,9,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QPJYYLLQ,⚡Kevin C⚡,6797,0,#PJPCC0C9,Electric,16000010,Baby Dragon,9,9,Electro Giant,9,9,Tornado,9,9,Goblin Cage,12,12,Barbarian Barrel,9,9,Bowler,9,9,Mega Minion,12,12,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172752.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0VC8PJR,AGoodName✨,6789,0,#LVJRRQUV,twitter,16000014,Tornado,9,9,Skeletons,14,14,Tesla,14,14,The Log,6,6,Magic Archer,6,6,Wall Breakers,9,9,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R0JC0P8R,smok,6780,1,#QU99PV29,love letter❤,16000109,Archers,14,14,Skeletons,14,14,Tesla,14,14,Rocket,12,12,Electro Spirit,14,14,Knight,14,14,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172344.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P0VC8PJR,AGoodName✨,6821,0,#LVJRRQUV,twitter,16000014,Tornado,9,9,Skeletons,14,14,Tesla,14,14,The Log,6,6,Magic Archer,6,6,Wall Breakers,9,9,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJP0PRVJ,⚡KiNG MoRTeZA⚡,6797,1,#YQ208GLG,IR LUXURY,16000008,Mega Knight,6,6,Inferno Dragon,6,6,Skeleton Barrel,14,14,Spear Goblins,14,14,Miner,6,6,Goblin Gang,14,14,Zap,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
