type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T184144.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P29U0YC,SᎥᎡDдvᎥdWᎥпдlот,6825,0,#LL00LJJ9,MadLads,16000044,X-Bow,9,9,Skeletons,14,14,The Log,6,6,Ice Spirit,14,14,Tesla,14,14,Archers,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88U8CYR82,＄SaúlX♥️Gy＄,6818,1,#Q9J9LPJQ,Xr☘️,16000122,Giant,12,12,Graveyard,6,6,Bats,14,14,Archer Queen,4,4,Dark Prince,9,9,Giant Snowball,14,14,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183631.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P29U0YC,SᎥᎡDдvᎥdWᎥпдlот,6853,1,#LL00LJJ9,MadLads,16000044,X-Bow,9,9,Skeletons,14,14,The Log,6,6,Ice Spirit,14,14,Tesla,14,14,Archers,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#220CY2PL,Amir cLuB,6875,2,#G9PJUUGV,yt: amir club,16000086,Golem,9,9,Night Witch,6,6,Arrows,14,14,Zap,13,14,Mega Minion,12,12,Dark Prince,9,9,Bomber,13,14,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T183228.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P29U0YC,SᎥᎡDдvᎥdWᎥпдlот,6822,1,#LL00LJJ9,MadLads,16000044,X-Bow,9,9,Skeletons,14,14,The Log,6,6,Ice Spirit,14,14,Tesla,14,14,Archers,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C2GYJCQG,Kot,6835,0,#9LY8RVY0,DEXTER TEAM,16000107,Inferno Tower,12,12,Arrows,14,14,Golden Knight,4,4,Goblin Drill,9,9,Princess,6,6,Giant Skeleton,9,9,Skeleton Army,9,9,Witch,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182609.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P29U0YC,SᎥᎡDдvᎥdWᎥпдlот,6792,1,#LL00LJJ9,MadLads,16000044,X-Bow,9,9,Skeletons,14,14,The Log,6,6,Ice Spirit,14,14,Tesla,14,14,Archers,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LPRVPQY9,Lothar丨ロリウス,6795,0,,,,Electro Giant,9,9,Dark Prince,9,9,Tornado,8,9,Lightning,9,9,Goblin Cage,12,12,Archer Queen,4,4,Skeletons,14,14,Bomber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182041.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P29U0YC,SᎥᎡDдvᎥdWᎥпдlот,6820,0,#LL00LJJ9,MadLads,16000044,X-Bow,9,9,Skeletons,14,14,The Log,6,6,Ice Spirit,14,14,Tesla,14,14,Archers,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80PJPGYG9,りく,6837,1,#LJYQ9L2U,枯渇クラン,16000154,Tesla,14,14,Goblin Barrel,9,9,Rocket,12,12,Valkyrie,12,12,Skeletons,14,14,The Log,6,6,Electro Spirit,14,14,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T044000.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P29U0YC,SᎥᎡDдvᎥdWᎥпдlот,6787,1,#LL00LJJ9,MadLads,16000044,X-Bow,9,9,Skeletons,14,14,The Log,6,6,Ice Spirit,14,14,Tesla,14,14,Archers,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U9C8JRGJ,梦执✨,6827,0,#9LRRVY,u jump! i jump!,16000013,P.E.K.K.A,9,9,Bandit,6,6,Minions,14,14,Miner,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T043626.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P29U0YC,SᎥᎡDдvᎥdWᎥпдlот,6762,1,#LL00LJJ9,MadLads,16000044,X-Bow,9,9,Skeletons,14,14,The Log,6,6,Ice Spirit,14,14,Tesla,14,14,Archers,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RCGQL28,LD_Gupy™,6708,0,#LLJQ8Y2Y,Enemy,16000028,Balloon,9,9,Valkyrie,12,12,Bandit,6,6,Ice Wizard,6,6,Tombstone,12,12,Bats,14,14,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T043211.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P29U0YC,SᎥᎡDдvᎥdWᎥпдlот,6789,0,#LL00LJJ9,MadLads,16000044,X-Bow,9,9,Skeletons,14,14,The Log,6,6,Ice Spirit,14,14,Tesla,14,14,Archers,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L29R29V8,A҉s҉o҉s҉1҉1҉❤️,6818,1,#LQGQUJRU,Friends❤️,16000168,Goblin Cage,12,12,Barbarian Barrel,9,9,Zappies,12,12,Fireball,12,12,Royal Recruits,14,14,Royal Hogs,12,12,Flying Machine,12,12,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T042736.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P29U0YC,SᎥᎡDдvᎥdWᎥпдlот,6760,1,#LL00LJJ9,MadLads,16000044,X-Bow,9,9,Skeletons,14,14,The Log,6,6,Ice Spirit,14,14,Tesla,14,14,Archers,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20LULJVCJ,Nobody™,6754,0,#LR0GVCJQ,NICARAGUA,16000114,Fireball,12,12,Bats,14,14,Dart Goblin,12,12,Skeleton Barrel,14,14,Mega Knight,6,6,Skeleton Army,9,9,Electro Wizard,6,6,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T042317.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P29U0YC,SᎥᎡDдvᎥdWᎥпдlот,6730,1,#LL00LJJ9,MadLads,16000044,X-Bow,9,9,Skeletons,14,14,The Log,6,6,Ice Spirit,14,14,Tesla,14,14,Archers,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LR2UJY82,Cristian,6734,0,#2UQ2VCCC,WarxUnion 2,16000002,Princess,6,6,Goblin Gang,14,14,Goblin Barrel,9,9,Knight,14,14,Ice Spirit,14,14,The Log,6,6,Inferno Tower,12,12,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
