type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T175703.000Z,,54000015,Master I,72000007,Friendly,,collection,#P2QJCYGP,Nova l Flecha™,6936,1,#LP9UYCUG,GLOBAL PLAYERS,16000076,Graveyard,3,6,Baby Dragon,6,9,Ice Wizard,3,6,Valkyrie,9,12,Tornado,6,9,Poison,6,9,Tombstone,9,12,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GPUQ890V9,viva cristo rey,6001,0,#YC2U2PLJ,Colombia strike,16000107,Valkyrie,9,12,Hog Rider,9,12,Earthquake,9,12,Ice Spirit,11,14,Skeletons,11,14,Tesla,11,14,Firecracker,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T174850.000Z,,54000017,Master III,72000007,Friendly,,collection,#P2QJCYGP,Nova l Flecha™,6936,1,#LP9UYCUG,GLOBAL PLAYERS,16000076,Valkyrie,9,12,Mega Minion,9,12,Electro Wizard,3,6,Goblin Cage,9,12,Barbarian Barrel,6,9,Graveyard,3,6,Cannon Cart,6,9,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P92JG9CJ9,Ｂｅｓｔｉａ™,6541,0,#YP8RYJ0C,clanpeyo4,16000099,Giant,9,12,Witch,6,9,Skeleton Army,6,9,Arrows,11,14,Graveyard,3,6,Dark Prince,6,9,Bats,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T174110.000Z,,54000017,Master III,72000007,Friendly,,collection,#P2QJCYGP,Nova l Flecha™,6936,1,#LP9UYCUG,GLOBAL PLAYERS,16000076,Barbarian Barrel,6,9,Fireball,9,12,Goblin Cage,9,12,Archer Queen,1,4,Royal Recruits,11,14,Flying Machine,9,12,Royal Hogs,9,12,Zappies,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P92JG9CJ9,Ｂｅｓｔｉａ™,6541,0,#YP8RYJ0C,clanpeyo4,16000099,Bowler,6,9,Lumberjack,3,6,Balloon,6,9,Electro Dragon,6,9,Tornado,6,9,Inferno Dragon,3,6,Freeze,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T173535.000Z,,54000036,Legendary Arena,72000232,7xElixir_Friendly,,collection,#P2QJCYGP,Nova l Flecha™,6936,1,#LP9UYCUG,GLOBAL PLAYERS,16000076,Graveyard,3,6,Baby Dragon,6,9,Ice Wizard,3,6,Valkyrie,9,12,Tornado,6,9,Poison,6,9,Tombstone,9,12,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YLJR2YLJR,Charles Noob,5402,0,#LL2RCG2V,CATOKAS,16000156,Elixir Golem,9,12,Battle Healer,9,12,Electro Dragon,6,9,Magic Archer,3,6,Baby Dragon,6,9,Cannon Cart,6,9,Tornado,6,9,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T172939.000Z,,54000017,Master III,72000007,Friendly,,collection,#P2QJCYGP,Nova l Flecha™,6936,0,#LP9UYCUG,GLOBAL PLAYERS,16000076,Royal Hogs,9,12,Poison,6,9,Barbarians,11,14,Archer Queen,1,4,Flying Machine,9,12,Electro Wizard,3,6,Bandit,3,6,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P92JG9CJ9,Ｂｅｓｔｉａ™,6541,1,#YP8RYJ0C,clanpeyo4,16000099,Bandit,3,6,Mega Knight,3,6,Royal Ghost,3,6,Barbarian Barrel,6,9,Bats,11,14,Ram Rider,3,6,Archer Queen,1,4,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T171804.000Z,,54000029,Clan League,72000032,TripleElixir_Friendly,,collection,#P2QJCYGP,Nova l Flecha™,6936,1,#LP9UYCUG,GLOBAL PLAYERS,16000076,Graveyard,3,6,Baby Dragon,6,9,Ice Wizard,3,6,Valkyrie,9,12,Tornado,6,9,Poison,6,9,Tombstone,9,12,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P92JG9CJ9,Ｂｅｓｔｉａ™,6541,0,#YP8RYJ0C,clanpeyo4,16000099,Giant,9,12,Witch,6,9,Skeleton Army,6,9,Arrows,11,14,Graveyard,3,6,Dark Prince,6,9,Bats,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T171229.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#P2QJCYGP,Nova l Flecha™,6936,0,#LP9UYCUG,GLOBAL PLAYERS,16000076,Tornado,8,9,Skeletons,13,14,Tesla,14,14,The Log,4,6,Magic Archer,2,6,Wall Breakers,9,9,Valkyrie,12,12,Miner,6,6,#RR9829J8,mr.gucci,,0,#228LC2V,如龙,16000146,Battle Ram,11,12,P.E.K.K.A,9,9,Royal Ghost,5,6,Bandit,6,6,Electro Wizard,6,6,Zap,13,14,Poison,8,9,Magic Archer,5,6,#QV0JQ2QLY,loser,5651,3,#YURV2RPY,You,16000003,Prince,8,9,Balloon,9,9,Mini P.E.K.K.A,12,12,Zap,13,14,Electro Wizard,5,6,Witch,8,9,Valkyrie,12,12,Tesla,14,14,#8RVUC2UYG,飛龍鮑鮑,,3,#80L2J9Q9,不离不弃不分开,16000146,Fisherman,4,6,Royal Giant,14,14,Baby Dragon,8,9,Furnace,12,12,The Log,4,6,Mega Minion,12,12,Skeletons,12,14,Lightning,8,9
challenge,20220104T151735.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,11,eventDeck,#P2QJCYGP,Nova l Flecha™,6936,1,#LP9UYCUG,GLOBAL PLAYERS,16000076,Cannon Cart,6,9,Archer Queen,1,4,Poison,6,9,The Log,3,6,Mortar,11,14,Bats,11,14,Guards,6,9,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99092R8R,Tommyhastings10,6708,0,#9GVGULRP,Revolution™️,16000016,Lumberjack,3,6,Inferno Dragon,3,6,Tornado,6,9,Freeze,6,9,Bowler,6,9,Electro Dragon,6,9,Balloon,6,9,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T144621.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#208ULURP,Nate⭐ᴇʙʀᴇɪ要,5285,0,#LP9UYCUG,GLOBAL PLAYERS,16000076,Lava Hound,4,6,Lumberjack,2,6,Bats,12,14,Skeleton Army,7,9,Baby Dragon,9,9,Flying Machine,9,12,Clone,7,9,Arrows,12,14,#P2QJCYGP,Nova l Flecha™,,0,#LP9UYCUG,GLOBAL PLAYERS,16000076,Miner,6,6,Fireball,12,12,Goblin Gang,13,14,Mortar,13,14,The Log,4,6,Minion Horde,13,14,Spear Goblins,13,14,Cannon Cart,9,9,#2L2VRRYCQ,/\/ / /\/ _/ /\,4181,3,#2V2VQCPY,P.E.K.K.A.C.H.U,16000161,Goblin Barrel,8,9,Minions,13,14,Skeleton Army,6,9,Goblins,14,14,Baby Dragon,7,9,Rage,7,9,Spear Goblins,13,14,Zap,13,14,#2RGJURURC,sorciernoir,,3,#QL8QJ9RL,TEAM BAKANO HP,16000028,Rage,5,9,Minions,13,14,Wizard,11,12,Musketeer,11,12,Royal Giant,13,14,Witch,8,9,Poison,8,9,Skeleton Army,7,9
challenge,20220103T232020.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,10,eventDeck,#P2QJCYGP,Nova l Flecha™,6936,1,#LP9UYCUG,GLOBAL PLAYERS,16000076,Archer Queen,1,4,Electro Wizard,3,6,Fireball,9,12,Ram Rider,3,6,Bandit,3,6,Barbarian Barrel,6,9,Mega Knight,3,6,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YVRR8YJY,JauntyJordan⚡️,6543,0,#8J82R0,Orange Tree,16000140,Fire Spirit,11,14,Wall Breakers,6,9,Tesla,11,14,Dart Goblin,9,12,Fireball,9,12,Goblin Drill,6,9,Valkyrie,9,12,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
