type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T060523.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P2U9G2J,SergioRamos:),6867,1,#P9GRQ89P,Clanpeyo,16000099,Bandit,6,6,Mega Knight,6,6,Royal Ghost,6,6,Bats,14,14,Zap,14,14,Ram Rider,6,6,Archer Queen,4,4,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PP0UG0CVC,LUCAS,6892,0,,,,Miner,6,6,The Log,6,6,Golden Knight,4,4,Bats,14,14,Wall Breakers,9,9,Spear Goblins,14,14,Bomb Tower,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T055955.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P2U9G2J,SergioRamos:),6840,1,#P9GRQ89P,Clanpeyo,16000099,Bandit,6,6,Mega Knight,6,6,Royal Ghost,6,6,Bats,14,14,Zap,14,14,Ram Rider,6,6,Archer Queen,4,4,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPJ0Q2RQ,MONYK,6806,0,#9RQYJGUY,Furia Nocturna,16000044,Goblin Cage,12,12,Skeletons,14,14,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Royal Giant,14,14,Fisherman,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T055318.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P2U9G2J,SergioRamos:),6810,1,#P9GRQ89P,Clanpeyo,16000099,Bandit,6,6,Mega Knight,6,6,Royal Ghost,6,6,Bats,14,14,Zap,14,14,Ram Rider,6,6,Archer Queen,4,4,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YLC8YL8J,⛔⛔Emre⛔⛔WARRİOR,6812,0,#2JG9CJYV,DİRİLİŞ TÜRKİYE,16000030,P.E.K.K.A,9,9,Electro Wizard,6,6,Bandit,6,6,Elite Barbarians,14,14,Wizard,12,12,Poison,9,9,Zap,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T054935.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P2U9G2J,SergioRamos:),6780,1,#P9GRQ89P,Clanpeyo,16000099,Bandit,6,6,Mega Knight,6,6,Royal Ghost,6,6,Bats,14,14,Zap,14,14,Ram Rider,6,6,Archer Queen,4,4,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RUL9PVPU,Néstor AZ,6788,0,#PYLP2VCV,Latinos Crew ll,16000143,P.E.K.K.A,9,9,Minions,13,14,Zap,14,14,Poison,9,9,Miner,6,6,Electro Wizard,6,6,Goblins,13,14,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T054602.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P2U9G2J,SergioRamos:),6752,1,#P9GRQ89P,Clanpeyo,16000099,Bandit,6,6,Mega Knight,6,6,Royal Ghost,6,6,Bats,14,14,Zap,14,14,Ram Rider,6,6,Archer Queen,4,4,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y0P2UJJV2,CMC Eppel™,6731,0,#YUGJCLGU,SK Free2Play,16000044,Baby Dragon,9,9,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Tombstone,12,12,Poison,9,9,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T054017.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P2U9G2J,SergioRamos:),6776,1,#P9GRQ89P,Clanpeyo,16000099,Electro Giant,9,9,Prince,9,9,Bomber,14,14,Baby Dragon,9,9,Tombstone,12,12,Tornado,9,9,Barbarian Barrel,9,9,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#200U8CULL,RoCaT,6842,3,#LR0UL202,Twitter@RoCaT20,16000179,Lava Hound,6,6,Arrows,14,14,Electro Dragon,9,9,Flying Machine,12,12,Skeleton Dragons,14,14,Tombstone,12,12,Barbarians,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T053626.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P2U9G2J,SergioRamos:),6750,1,#P9GRQ89P,Clanpeyo,16000099,Electro Giant,9,9,Prince,9,9,Bomber,14,14,Baby Dragon,9,9,Tombstone,12,12,Tornado,9,9,Barbarian Barrel,9,9,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RJJL8UY9,THA♥️nei,6707,0,#LGUGJY2L,漢ﾉペッカ攻城,16000002,P.E.K.K.A,9,9,Zap,14,14,Battle Ram,12,12,Electro Wizard,6,6,Bandit,6,6,Fireball,12,12,Magic Archer,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T053037.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P2U9G2J,SergioRamos:),6719,2,#P9GRQ89P,Clanpeyo,16000099,Electro Giant,9,9,Prince,9,9,Bomber,14,14,Baby Dragon,9,9,Tombstone,12,12,Tornado,9,9,Barbarian Barrel,9,9,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,6734,1,#8UL8V0Q0,CLASHwithINDIAN,16000059,Lava Hound,6,6,Mega Minion,12,12,Tombstone,12,12,Barbarians,14,14,Lightning,9,9,Zap,14,14,Skeleton Dragons,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T052621.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P2U9G2J,SergioRamos:),6746,0,#P9GRQ89P,Clanpeyo,16000099,Electro Giant,9,9,Prince,9,9,Bomber,14,14,Baby Dragon,9,9,Tombstone,12,12,Tornado,9,9,Barbarian Barrel,9,9,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GRPYJVL,YoSoyRick_YT,6770,1,#Q8P2YQC0,Champion Army,16000012,Electro Giant,9,9,Tornado,9,9,Zappies,12,12,Baby Dragon,9,9,Tombstone,12,12,Golden Knight,4,4,Barbarian Barrel,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T052151.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P2U9G2J,SergioRamos:),6718,2,#P9GRQ89P,Clanpeyo,16000099,Electro Giant,9,9,Prince,9,9,Bomber,14,14,Baby Dragon,9,9,Tombstone,12,12,Tornado,9,9,Barbarian Barrel,9,9,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RVPCGRCY,バックスバニー,6696,1,#Q82P2JCJ,Community,16000169,Rocket,12,12,Goblin Barrel,9,9,The Log,6,6,Goblin Gang,14,14,Ice Spirit,14,14,Knight,14,14,Inferno Tower,12,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
