type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T182919.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P80822VC2,Alex°●火风暴☯️,6798,2,#YULJJ0RJ,Romaniapower,16000032,Prince,9,9,Fireball,12,12,Mother Witch,6,6,Golden Knight,4,4,Electro Wizard,6,6,Royal Ghost,6,6,Fisherman,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QCPVQC0Y,CHN丨Romain✨,6820,1,#8LGRYC,CrownTown☀️,16000013,The Log,6,6,Miner,6,6,Wall Breakers,9,9,Tesla,14,14,Bats,14,14,Valkyrie,12,12,Spear Goblins,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182536.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P80822VC2,Alex°●火风暴☯️,6769,1,#YULJJ0RJ,Romaniapower,16000032,Prince,9,9,Fireball,12,12,Mother Witch,6,6,Golden Knight,4,4,Electro Wizard,6,6,Royal Ghost,6,6,Fisherman,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92U29RCJ,ATHTA❤DEATHKING,6760,0,#QVVV0JJP,C.A Champions,16000000,Electro Giant,9,9,Prince,9,9,Dark Prince,9,9,Baby Dragon,9,9,Lightning,9,9,Tornado,9,9,Mega Minion,12,12,Bomber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T182152.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P80822VC2,Alex°●火风暴☯️,6797,0,#YULJJ0RJ,Romaniapower,16000032,Prince,9,9,Fireball,12,12,Mother Witch,6,6,Golden Knight,4,4,Electro Wizard,6,6,Royal Ghost,6,6,Fisherman,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,6812,1,#LQ29RGCU,YouTube,16000012,Electro Wizard,6,6,Royal Ghost,6,6,Ram Rider,6,6,Giant Snowball,14,14,Lightning,9,9,Golden Knight,4,4,Barbarian Barrel,9,9,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181757.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P80822VC2,Alex°●火风暴☯️,6768,1,#YULJJ0RJ,Romaniapower,16000032,Prince,9,9,Fireball,12,12,Mother Witch,6,6,Golden Knight,4,4,Electro Wizard,6,6,Royal Ghost,6,6,Fisherman,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9PVVJ8VL,3hunna Nathan,6757,0,#L0V2VYQU,Team FX,16000029,Skeletons,14,14,Fireball,12,12,Archers,14,14,Electro Spirit,14,14,Knight,14,14,The Log,6,6,X-Bow,9,9,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181156.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P80822VC2,Alex°●火风暴☯️,6793,0,#YULJJ0RJ,Romaniapower,16000032,Prince,9,9,Fireball,12,12,Mother Witch,6,6,Golden Knight,4,4,Electro Wizard,6,6,Royal Ghost,6,6,Fisherman,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U8QC00V0,Magic Jannik,6848,1,#PU0R0PQC,Gin & Juice,16000141,Tornado,9,9,Wall Breakers,9,9,Magic Archer,6,6,Fireball,12,12,Spear Goblins,14,14,Miner,6,6,Valkyrie,12,12,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180606.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P80822VC2,Alex°●火风暴☯️,6758,1,#YULJJ0RJ,Romaniapower,16000032,Prince,9,9,Fireball,12,12,Mother Witch,6,6,Golden Knight,4,4,Electro Wizard,6,6,Royal Ghost,6,6,Fisherman,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20JJ8YU09,Napo,6828,0,#Y89VR8JL,Juvenile,16000040,Spear Goblins,14,14,Mortar,14,14,Miner,6,6,Guards,9,9,Cannon Cart,9,9,The Log,6,6,Minion Horde,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180017.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P80822VC2,Alex°●火风暴☯️,6788,0,#YULJJ0RJ,Romaniapower,16000032,Prince,9,9,Fireball,12,12,Mother Witch,6,6,Golden Knight,4,4,Electro Wizard,6,6,Royal Ghost,6,6,Fisherman,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P0PQCVPC,Alperen,6787,1,,,,Royal Hogs,12,12,Electro Spirit,14,14,Tesla,14,14,Archer Queen,4,4,Skeletons,14,14,Fireball,12,12,The Log,6,6,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175621.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P80822VC2,Alex°●火风暴☯️,6809,0,#YULJJ0RJ,Romaniapower,16000032,Prince,9,9,Fireball,12,12,Mother Witch,6,6,Golden Knight,4,4,Electro Wizard,6,6,Royal Ghost,6,6,Fisherman,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#220CY2PL,Amir cLuB,6916,1,#G9PJUUGV,yt: amir club,16000086,Golem,9,9,Night Witch,6,6,Arrows,14,14,Zap,13,14,Mega Minion,12,12,Dark Prince,9,9,Bomber,13,14,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175211.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P80822VC2,Alex°●火风暴☯️,6839,1,#YULJJ0RJ,Romaniapower,16000032,Prince,9,9,Fireball,12,12,Mother Witch,6,6,Golden Knight,4,4,Electro Wizard,6,6,Royal Ghost,6,6,Fisherman,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LR2JYY0L,moustafa,6832,3,#P8G8098G,clashing,16000167,Graveyard,6,6,Freeze,9,9,Valkyrie,12,12,Bats,14,14,Knight,14,14,Wizard,12,12,Skeleton Army,9,9,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174726.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P80822VC2,Alex°●火风暴☯️,6863,0,#YULJJ0RJ,Romaniapower,16000032,Prince,9,9,Fireball,12,12,Mother Witch,6,6,Golden Knight,4,4,Electro Wizard,6,6,Royal Ghost,6,6,Fisherman,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9YV9GR8R,Mohamed Light,6928,1,,,,Archer Queen,4,4,Magic Archer,6,6,Battle Ram,12,12,Barbarian Barrel,9,9,Heal Spirit,12,12,Elite Barbarians,14,14,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
