type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T172001.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P88PQJ2UV,<c2>⚡️Manuel⚡️,6964,2,#YP8RYJ0C,clanpeyo4,16000099,Giant,12,12,Graveyard,6,6,Bats,14,14,Witch,9,9,Dark Prince,9,9,Giant Snowball,14,14,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YJ09Y2JL,TRB Miniminter,7057,1,,,,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,14,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171553.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P88PQJ2UV,<c2>⚡️Manuel⚡️,6935,2,#YP8RYJ0C,clanpeyo4,16000099,Giant,12,12,Graveyard,6,6,Bats,14,14,Witch,9,9,Dark Prince,9,9,Giant Snowball,14,14,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPPPJGC2,Enrico 2005,6930,1,,,,Miner,6,6,Valkyrie,12,12,Fireball,12,12,Spear Goblins,14,14,Tesla,14,14,Bats,14,14,Wall Breakers,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170800.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P88PQJ2UV,<c2>⚡️Manuel⚡️,6910,2,#YP8RYJ0C,clanpeyo4,16000099,Giant,12,12,Graveyard,6,6,Bats,14,14,Witch,9,9,Dark Prince,9,9,Giant Snowball,14,14,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYQ8PY90J,chicopercebe,6863,1,#YV2JRC0Q,CRL NOVA I MEX5,16000111,Mega Knight,6,6,Balloon,9,9,Electro Spirit,14,14,Minions,14,14,Ice Golem,12,12,Hunter,9,9,Giant Snowball,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170347.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P88PQJ2UV,<c2>⚡️Manuel⚡️,6880,3,#YP8RYJ0C,clanpeyo4,16000099,Giant,12,12,Graveyard,6,6,Bats,14,14,Witch,9,9,Dark Prince,9,9,Giant Snowball,14,14,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98RC2Y9YG,Pawlo,6880,0,#90UUC92Y,FightClub PL,16000004,Valkyrie,12,12,Balloon,9,9,Arrows,14,14,Rage,9,9,P.E.K.K.A,9,9,Prince,9,9,Electro Wizard,6,6,Wizard,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170009.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P88PQJ2UV,<c2>⚡️Manuel⚡️,6848,3,#YP8RYJ0C,clanpeyo4,16000099,Giant,12,12,Graveyard,6,6,Bats,14,14,Witch,9,9,Dark Prince,9,9,Giant Snowball,14,14,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9U8J2YUL,Don Cangrejo,6872,0,#QRVPP8QQ,Matoooola,16000165,Tesla,14,14,Goblin Drill,9,9,Fire Spirit,14,14,Valkyrie,12,12,Wall Breakers,9,9,Bomber,14,14,Skeleton Army,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165650.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P88PQJ2UV,<c2>⚡️Manuel⚡️,6818,3,#YP8RYJ0C,clanpeyo4,16000099,Giant,12,12,Graveyard,6,6,Bats,14,14,Witch,9,9,Dark Prince,9,9,Giant Snowball,14,14,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0VC8PJR,AGoodName✨,6821,1,#LVJRRQUV,twitter,16000014,Tornado,9,9,Skeletons,14,14,Tesla,14,14,The Log,6,6,Magic Archer,6,6,Wall Breakers,9,9,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165152.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P88PQJ2UV,<c2>⚡️Manuel⚡️,6848,0,#YP8RYJ0C,clanpeyo4,16000099,Giant,12,12,Graveyard,6,6,Bats,14,14,Witch,9,9,Dark Prince,9,9,Giant Snowball,14,14,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCYJRJY0,υκ TooGood ρκ,6848,1,#LQ29LY2Y,Mortar Cycle,16000152,Knight,14,14,Tornado,9,9,Archers,14,14,Mortar,14,14,Rocket,12,12,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T021410.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P88PQJ2UV,<c2>⚡️Manuel⚡️,6818,3,#YP8RYJ0C,clanpeyo4,16000099,Giant,12,12,Graveyard,6,6,Bats,14,14,Witch,9,9,Dark Prince,9,9,Giant Snowball,14,14,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C9VU22P0,¥XABLAU¥™,6827,1,#8QGPYC98,Infernal Kings,16000012,Giant,12,12,Mini P.E.K.K.A,12,12,Bats,14,14,Minion Horde,14,14,Sparky,6,6,Arrows,14,14,Zap,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T014334.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P88PQJ2UV,<c2>⚡️Manuel⚡️,6787,1,#YP8RYJ0C,clanpeyo4,16000099,Giant,12,12,Graveyard,6,6,Bats,14,14,Witch,9,9,Dark Prince,9,9,Giant Snowball,14,14,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RPPU0GYY,"PATRON13 \,,/",6800,0,,,,Prince,9,9,Fireball,12,12,Bats,14,14,Mortar,14,14,The Log,6,6,Spear Goblins,14,14,Guards,9,9,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T013949.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P88PQJ2UV,<c2>⚡️Manuel⚡️,6814,0,#YP8RYJ0C,clanpeyo4,16000099,Giant,12,12,Graveyard,6,6,Bats,14,14,Witch,9,9,Dark Prince,9,9,Giant Snowball,14,14,Skeleton Army,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G0Y9U0Q,ᴢʀ™❤️ᴊᴀɪʀᴏ3ᴄᴍ,6838,1,#QUJJ0U2C,ᴢᴇʀᴏ ʀᴇᴍᴏʀꜱᴇ™,16000028,P.E.K.K.A,9,9,Battle Ram,12,12,Fireball,12,12,Electro Wizard,6,6,Magic Archer,6,6,Bandit,6,6,Zap,14,14,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
