type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T161632.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P8LVL2RYU,葵花小小林,6753,1,#22CRGRR9,Devious,16000077,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,13,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y8VJ2U0QJ,shayan,6759,0,#L9CRPJJR,Team Light™️,16000010,Mega Knight,6,6,Miner,6,6,Wall Breakers,9,9,Prince,9,9,Inferno Dragon,6,6,Goblin Gang,14,14,Bats,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152718.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P8LVL2RYU,葵花小小林,6724,1,#22CRGRR9,Devious,16000077,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,13,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JCRC9VVR,D K P,6714,0,#LLC20LP0,Jabłka Japchana,16000101,Mortar,14,14,Miner,6,6,Guards,9,9,Bats,14,14,Rascals,14,14,Dart Goblin,12,12,The Log,6,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141748.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P8LVL2RYU,葵花小小林,6696,1,#22CRGRR9,Devious,16000077,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,13,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPVJCU8YL,mmmm,6673,0,#LUR0PRR2,CowCowFinance,16000138,Zap,14,14,Electro Wizard,6,6,Dark Prince,9,9,Fireball,12,12,Giant,12,12,Prince,9,9,Miner,6,6,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141248.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P8LVL2RYU,葵花小小林,6670,1,#22CRGRR9,Devious,16000077,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,13,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QJ9LYJ,Uchiha Sasuke,6628,0,#Y0LJ82R2,THE CONQUEROR$™,16000139,Royal Recruits,14,14,Royal Ghost,6,6,Arrows,14,14,Wall Breakers,9,9,Flying Machine,12,12,Elite Barbarians,14,14,Zappies,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140753.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P8LVL2RYU,葵花小小林,6639,1,#22CRGRR9,Devious,16000077,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,13,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L0888PVY,Kid DINAMITE,6651,0,#Y0UVJR8P,Elite⚡Skills™,16000123,Baby Dragon,9,9,Barbarian Hut,12,12,Electro Dragon,9,9,Fireball,12,12,Battle Healer,12,12,Elixir Golem,12,12,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140217.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P8LVL2RYU,葵花小小林,6665,0,#22CRGRR9,Devious,16000077,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,13,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,6706,1,#8UL8V0Q0,CLASHwithINDIAN,16000059,Lava Hound,6,6,Mega Minion,12,12,Tombstone,12,12,Barbarians,14,14,Lightning,9,9,Zap,14,14,Skeleton Dragons,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135906.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P8LVL2RYU,葵花小小林,6693,0,#22CRGRR9,Devious,16000077,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,13,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RJGC8LL9,芝っち,6713,1,#8QP9RCUC,Selene Vert,16000031,Miner,6,6,Balloon,9,9,Cannon,14,14,Valkyrie,12,12,Executioner,9,9,Tornado,8,9,Zap,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135421.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P8LVL2RYU,葵花小小林,6667,1,#22CRGRR9,Devious,16000077,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,13,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G0V8JRR2,¶HURRICANE¶™,6624,0,#2Q0QGGG9,"Oops, sorry!",16000044,Graveyard,6,6,Baby Dragon,9,9,Zappies,12,12,Tornado,8,9,Bowler,9,9,Valkyrie,12,12,Inferno Dragon,6,6,Freeze,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134929.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P8LVL2RYU,葵花小小林,6641,1,#22CRGRR9,Devious,16000077,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,13,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LG0CYLR,~Malek~,6601,0,#LQGQUJRU,Friends❤️,16000168,Mega Knight,6,6,Archer Queen,4,4,Ram Rider,6,6,Giant Snowball,14,14,The Log,6,6,Dark Prince,9,9,Inferno Dragon,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134452.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#P8LVL2RYU,葵花小小林,6672,0,#22CRGRR9,Devious,16000077,Archer Queen,4,4,The Log,6,6,Hog Rider,12,12,Knight,13,14,Skeletons,14,14,Bomb Tower,12,12,Fire Spirit,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GGJ8LGV,JoseMG,6657,1,#Q99Y8C8P,Donald Trump,16000038,Freeze,9,9,Valkyrie,12,12,Inferno Dragon,6,6,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Electro Wizard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
