type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T110224.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#P9J8VYPL,Checkmate,6902,1,#YGC8C2PY,Quantum North,16000016,Skeletons,14,14,Hog Rider,12,12,Ice Golem,12,12,Ice Spirit,14,14,Cannon,14,14,Musketeer,12,12,Fireball,12,12,The Log,6,6,#2JYLQ02QV,Kbolt42,,1,#YGC8C2PY,Quantum North,16000016,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,#82GGRY2C9,萌男舞刀,5758,0,#P9PYJ2UG,80.90【天蝎营】,16000077,Royal Hogs,12,12,Royal Recruits,14,14,Zappies,12,12,Flying Machine,11,12,Barbarian Barrel,9,9,Fireball,12,12,Electro Spirit,14,14,Goblin Cage,12,12,#8UP8L08U,骷髅王子,,0,#PVRCUVV9,屠尽天下又何妨,16000151,Valkyrie,12,12,Archer Queen,4,4,Bats,14,14,Spear Goblins,14,14,Baby Dragon,9,9,Mortar,14,14,Poison,9,9,Zap,14,14
casual2v2,20220104T105846.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#P9J8VYPL,Checkmate,6902,1,#YGC8C2PY,Quantum North,16000016,Skeletons,14,14,Hog Rider,12,12,Ice Golem,12,12,Ice Spirit,14,14,Cannon,14,14,Musketeer,12,12,Fireball,12,12,The Log,6,6,#2JYLQ02QV,Kbolt42,,1,#YGC8C2PY,Quantum North,16000016,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,#LV2PYVU2G,kelenggas,5425,0,#9J92Q0L8,"""MASTER CLAN""",16000173,Valkyrie,12,12,Mega Knight,6,6,Rage,7,9,Hog Rider,12,12,Balloon,9,9,Wizard,12,12,Witch,9,9,Royal Giant,14,14,#8L9GUJ0G0,Mithras,,0,#CU9QQQ0,snøball,16000168,Mega Knight,6,6,Valkyrie,12,12,Fireball,12,12,Hog Rider,12,12,Tesla,14,14,Firecracker,14,14,Bats,14,14,Goblin Gang,14,14
casual2v2,20220104T105419.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#P9J8VYPL,Checkmate,6902,1,#YGC8C2PY,Quantum North,16000016,Skeletons,14,14,Hog Rider,12,12,Ice Golem,12,12,Ice Spirit,14,14,Cannon,14,14,Musketeer,12,12,Fireball,12,12,The Log,6,6,#2JYLQ02QV,Kbolt42,,1,#YGC8C2PY,Quantum North,16000016,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,#V9J2PV8,JUSTICE♎,5792,0,#L2VU8U9P,Iran Diamond 2,16000046,Prince,9,9,Zap,14,14,Giant,12,12,Mega Minion,12,12,Dark Prince,9,9,Miner,6,6,Electro Wizard,6,6,Fireball,12,12,#99882V9UG,Sir Bana,,0,#899PJG8J,Los Magios,16000162,Rage,8,9,Skeleton Army,9,9,Mini P.E.K.K.A,12,12,Royal Hogs,12,12,Electro Wizard,6,6,Valkyrie,12,12,Arrows,14,14,Baby Dragon,9,9
casual2v2,20220104T105045.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#P9J8VYPL,Checkmate,6902,3,#YGC8C2PY,Quantum North,16000016,Skeletons,14,14,Hog Rider,12,12,Ice Golem,12,12,Ice Spirit,14,14,Cannon,14,14,Musketeer,12,12,Fireball,12,12,The Log,6,6,#2JYLQ02QV,Kbolt42,,3,#YGC8C2PY,Quantum North,16000016,Graveyard,6,6,Valkyrie,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tombstone,12,12,Barbarian Barrel,9,9,Tornado,9,9,Poison,9,9,#Y8C9Q8L8U,ομορφος,6349,0,#PCU0LQP8,407,16000173,Tornado,9,9,Rage,9,9,Electro Dragon,9,9,Battle Healer,12,12,Arrows,14,14,Night Witch,6,6,Elixir Golem,12,12,Inferno Dragon,6,6,#LLPUQL9C2,Khokha,,0,#LLJL0LG,elsentree,16000164,Balloon,9,9,Arrows,14,14,Wizard,12,12,Fireball,12,12,Skeleton Army,9,9,Golem,9,9,Valkyrie,12,12,Night Witch,6,6
casual2v2,20220104T104450.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#2QG9R2LP,Thy,6110,1,#YGC8C2PY,Quantum North,16000016,Ice Golem,12,12,Cannon,14,14,Musketeer,12,12,Fireball,12,12,Skeletons,14,14,Ice Spirit,14,14,Hog Rider,12,12,The Log,6,6,#P9J8VYPL,Checkmate,,1,#YGC8C2PY,Quantum North,16000016,Skeletons,14,14,Hog Rider,12,12,Ice Golem,12,12,Ice Spirit,14,14,Cannon,14,14,Musketeer,12,12,Fireball,12,12,The Log,6,6,#2LRYLR88C,Trident,5865,0,#2CVUVVG,大港起風湧,16000167,Electro Wizard,6,6,Zap,14,14,Bandit,6,6,Magic Archer,6,6,Fireball,12,12,Goblin Drill,9,9,P.E.K.K.A,9,9,Royal Ghost,6,6,#22L9PPYJL,心蓝blueheart,,0,#28C9P2UJ,!SkullandBones!,16000024,Golem,9,9,Lumberjack,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Archer Queen,4,4,Lightning,9,9,Tornado,8,9,Night Witch,6,6
clanMate2v2,20220104T103034.000Z,,54000023,,72000051,TeamVsTeam_Touchdown_Draft,,draft,#2JYLQ02QV,Kbolt42,,0,#YGC8C2PY,Quantum North,16000016,Furnace,9,12,Zap,11,14,Earthquake,9,12,Hog Rider,9,12,Spear Goblins,11,14,Tombstone,9,12,Dark Prince,6,9,Giant,9,12,#P9J8VYPL,Checkmate,,0,#YGC8C2PY,Quantum North,16000016,Inferno Tower,9,12,Dart Goblin,9,12,Poison,6,9,Barbarians,11,14,Golem,6,9,Royal Delivery,11,14,Goblin Drill,6,9,Battle Ram,9,12,#2QG9R2LP,Thy,,3,#YGC8C2PY,Quantum North,16000016,Goblin Giant,6,9,Mega Knight,3,6,Tesla,11,14,Witch,6,9,Wall Breakers,6,9,The Log,3,6,Tornado,6,9,Goblin Cage,9,12,#Y8PGQ2QY,eGG,,3,#YGC8C2PY,Quantum North,16000016,Royal Hogs,9,12,Bomb Tower,9,12,Rocket,9,12,Elixir Golem,9,12,Knight,11,14,Clone,6,9,Magic Archer,3,6,Cannon,11,14
clanMate2v2,20220104T102642.000Z,,54000023,,72000051,TeamVsTeam_Touchdown_Draft,,draft,#2JYLQ02QV,Kbolt42,,3,#YGC8C2PY,Quantum North,16000016,Knight,11,14,Arrows,11,14,Inferno Tower,9,12,Bats,11,14,Goblin Giant,6,9,Hunter,6,9,Minion Horde,11,14,Mother Witch,3,6,#P9J8VYPL,Checkmate,,3,#YGC8C2PY,Quantum North,16000016,P.E.K.K.A,6,9,Guards,6,9,Skeleton Dragons,11,14,Wall Breakers,6,9,Goblin Cage,9,12,Golem,6,9,Giant,9,12,Zap,11,14,#2QG9R2LP,Thy,,0,#YGC8C2PY,Quantum North,16000016,Hog Rider,9,12,Ice Wizard,3,6,Mega Minion,9,12,Balloon,6,9,Ice Golem,9,12,Bomb Tower,9,12,Royal Delivery,11,14,Royal Ghost,3,6,#2LRQQYGU8,klash is clans,,0,#YGC8C2PY,Quantum North,16000016,Fireball,9,12,Elixir Golem,9,12,Earthquake,9,12,X-Bow,6,9,Battle Ram,9,12,Minions,11,14,Goblins,11,14,Miner,3,6
clanMate2v2,20220104T102214.000Z,,54000023,,72000051,TeamVsTeam_Touchdown_Draft,,draft,#2JYLQ02QV,Kbolt42,,2,#YGC8C2PY,Quantum North,16000016,Minions,11,14,The Log,3,6,Cannon,11,14,Mother Witch,3,6,Earthquake,9,12,Lava Hound,3,6,Archers,11,14,Royal Recruits,11,14,#P9J8VYPL,Checkmate,,2,#YGC8C2PY,Quantum North,16000016,Executioner,6,9,Princess,3,6,Electro Dragon,6,9,Valkyrie,9,12,Goblin Giant,6,9,Barbarian Barrel,6,9,Barbarian Hut,9,12,Hog Rider,9,12,#2QG9R2LP,Thy,,1,#YGC8C2PY,Quantum North,16000016,Elite Barbarians,11,14,Witch,6,9,Giant,9,12,Poison,6,9,Royal Hogs,9,12,Mortar,11,14,Zap,11,14,Ice Wizard,3,6,#2LRQQYGU8,klash is clans,,1,#YGC8C2PY,Quantum North,16000016,Ram Rider,3,6,Bomb Tower,9,12,Giant Snowball,11,14,Balloon,6,9,Rascals,11,14,Skeleton Dragons,11,14,Wizard,9,12,Spear Goblins,11,14
clanMate2v2,20220104T101806.000Z,,54000023,,72000051,TeamVsTeam_Touchdown_Draft,,draft,#2JYLQ02QV,Kbolt42,,3,#YGC8C2PY,Quantum North,16000016,Electro Wizard,3,6,Barbarian Hut,9,12,Freeze,6,9,Hunter,6,9,Lava Hound,3,6,Goblin Drill,6,9,Hog Rider,9,12,Elite Barbarians,11,14,#P9J8VYPL,Checkmate,,3,#YGC8C2PY,Quantum North,16000016,Royal Hogs,9,12,Tornado,6,9,Bomb Tower,9,12,Skeleton Barrel,11,14,Witch,6,9,Cannon Cart,6,9,Night Witch,3,6,Golem,6,9,#2LRQQYGU8,klash is clans,,1,#YGC8C2PY,Quantum North,16000016,P.E.K.K.A,6,9,Mother Witch,3,6,Goblin Hut,9,12,Balloon,6,9,Ice Wizard,3,6,Clone,6,9,Furnace,9,12,Skeleton Dragons,11,14,#2QG9R2LP,Thy,,1,#YGC8C2PY,Quantum North,16000016,Giant,9,12,Valkyrie,9,12,Wizard,9,12,Poison,6,9,Fire Spirit,11,14,Tesla,11,14,Rage,6,9,Battle Ram,9,12
clanMate2v2,20220104T101252.000Z,,54000023,,72000051,TeamVsTeam_Touchdown_Draft,,draft,#2JYLQ02QV,Kbolt42,,1,#YGC8C2PY,Quantum North,16000016,Fire Spirit,11,14,Cannon Cart,6,9,Miner,3,6,Elixir Golem,9,12,Rage,6,9,Furnace,9,12,Wall Breakers,6,9,Goblin Cage,9,12,#P9J8VYPL,Checkmate,,1,#YGC8C2PY,Quantum North,16000016,Skeleton Barrel,11,14,Cannon,11,14,The Log,3,6,Lava Hound,3,6,Ram Rider,3,6,Ice Wizard,3,6,Barbarian Barrel,6,9,Battle Healer,9,12,#2LRQQYGU8,klash is clans,,0,#YGC8C2PY,Quantum North,16000016,Goblin Hut,9,12,Battle Ram,9,12,Tesla,11,14,Poison,6,9,Goblin Giant,6,9,Bandit,3,6,Spear Goblins,11,14,Ice Golem,9,12,#9PGPJLRJ,marshal nutty,,0,#YGC8C2PY,Quantum North,16000016,Prince,6,9,Arrows,11,14,Executioner,6,9,Mother Witch,3,6,Golem,6,9,Mirror,6,9,X-Bow,6,9,Bomber,11,14
