type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T083953.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PCPGJ8J0,G6MAN95,6783,2,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Mega Minion,12,12,Zap,14,14,Fireball,12,12,Balloon,9,9,Skeleton Dragons,14,14,Guards,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29CV9909J,gen,6751,0,#LVQ2V2J2,Green ogress,16000136,P.E.K.K.A,9,9,Magic Archer,6,6,Elixir Golem,12,12,Zappies,12,12,Dark Prince,9,9,Tornado,9,9,Electro Dragon,9,9,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T083546.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PCPGJ8J0,G6MAN95,6752,2,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Mega Minion,12,12,Zap,14,14,Fireball,12,12,Balloon,9,9,Skeleton Dragons,14,14,Guards,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89CY9LCJ0,Leͥgeͣnͫdたけもt,6768,1,#Y2GG890Q,天界への展開,16000152,Tesla,14,14,Valkyrie,12,12,The Log,6,6,Guards,9,9,Electro Spirit,14,14,Princess,6,6,Lightning,9,9,Goblin Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T073858.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PCPGJ8J0,G6MAN95,6729,2,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Mega Minion,12,12,Zap,14,14,Fireball,12,12,Balloon,9,9,Skeleton Dragons,14,14,Guards,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28UQYQ9C,ぼぼん,6658,1,#8G82CR,正義超人軍,16000098,Ram Rider,6,6,Bandit,6,6,Giant Snowball,14,14,Mega Knight,6,6,Fireball,12,12,Electro Spirit,14,14,Royal Ghost,6,6,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T073420.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PCPGJ8J0,G6MAN95,6700,1,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Mega Minion,12,12,Zap,14,14,Fireball,12,12,Balloon,9,9,Skeleton Dragons,14,14,Guards,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8L8YVRY0J,-Tusey-,6691,0,#8LPGCUG2,Sangre AzteKa,16000028,X-Bow,9,9,Archers,14,14,Tesla,14,14,Fireball,12,12,Knight,14,14,Skeletons,14,14,Electro Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T073100.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PCPGJ8J0,G6MAN95,6670,3,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Mega Minion,12,12,Zap,14,14,Fireball,12,12,Balloon,9,9,Skeleton Dragons,14,14,Guards,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9LRJLUR,Higorziin,6676,0,#9YJGVCPQ,LimiT eSports,16000142,Mortar,14,14,Miner,6,6,Cannon Cart,9,9,Guards,9,9,Minion Horde,14,14,The Log,6,6,Spear Goblins,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T072901.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PCPGJ8J0,G6MAN95,6697,0,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Mega Minion,12,12,Zap,14,14,Fireball,12,12,Balloon,9,9,Skeleton Dragons,14,14,Guards,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C9VGURQ9,ツウィちゃんちゃん㌨,6731,1,#Y89VR8JL,Juvenile,16000040,The Log,6,6,Princess,6,6,Goblin Barrel,9,9,Guards,9,9,Dart Goblin,12,12,Prince,9,9,Rascals,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T072523.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PCPGJ8J0,G6MAN95,6727,0,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Mega Minion,12,12,Zap,14,14,Fireball,12,12,Balloon,9,9,Skeleton Dragons,14,14,Guards,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PY0YGJRUL,mauboe,6726,1,#G9QP2QC,18's,16000003,Princess,6,6,Valkyrie,12,12,Inferno Tower,12,12,Rocket,12,12,Goblin Barrel,9,9,Dark Prince,9,9,Fire Spirit,14,14,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T072023.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PCPGJ8J0,G6MAN95,6764,1,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Mega Minion,12,12,Zap,14,14,Fireball,12,12,Balloon,9,9,Skeleton Dragons,14,14,Guards,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y90CL0PCQ,ふぃりったん,6676,3,#Y89VR8JL,Juvenile,16000040,Zap,14,14,Bats,14,14,Wall Breakers,9,9,Royal Ghost,6,6,Miner,6,6,Prince,9,9,Archer Queen,4,4,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T071634.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PCPGJ8J0,G6MAN95,6732,1,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Mega Minion,12,12,Zap,14,14,Fireball,12,12,Balloon,9,9,Skeleton Dragons,14,14,Guards,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2GV0Q9C,Dominican CR☠️,6756,0,#LQ82RJQ2,nerf al minero,16000108,Barbarian Barrel,9,9,Dark Prince,9,9,Royal Hogs,12,12,Bats,14,14,Mega Knight,6,6,Electro Spirit,14,14,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T071251.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PCPGJ8J0,G6MAN95,6762,0,#PPCLCJG9,AK Syndicate,16000044,Lava Hound,6,6,Mega Minion,12,12,Zap,14,14,Fireball,12,12,Balloon,9,9,Skeleton Dragons,14,14,Guards,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29CV9909J,gen,6755,1,#LVQ2V2J2,Green ogress,16000136,P.E.K.K.A,9,9,Magic Archer,6,6,Elixir Golem,12,12,Zappies,12,12,Dark Prince,9,9,Tornado,9,9,Electro Dragon,9,9,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
