type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T122652.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,6778,1,,,,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U028CLRQ,捷哥,6747,0,#QYRCRJJ,不落星辰,16000168,Skeleton Army,9,9,Prince,9,9,Princess,6,6,Mega Knight,6,6,Dart Goblin,12,12,Goblin Barrel,9,9,Royal Giant,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T122210.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,6748,2,,,,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LGVPY8G0,Rod,6751,1,#YPU0GJUV,BisTuRi,16000021,Archer Queen,4,4,Mega Knight,6,6,Ram Rider,6,6,Bandit,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T224007.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,6718,2,,,,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QPGR0CV8,⚡️PS Rony,6727,1,#PV0V98LC,⚡PERÚ SQUAD⚡,16000177,Mega Knight,6,6,Dark Prince,9,9,Bandit,6,6,Inferno Dragon,6,6,Goblin Drill,9,9,Electro Wizard,6,6,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T175736.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,6691,3,,,,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R2LUL9CC,Baltram,6663,0,#L9VYRCUP,D33znuts reborn,16000044,Electro Giant,9,9,Bowler,9,9,Musketeer,12,12,Goblin Cage,12,12,Skeletons,14,14,Barbarian Barrel,9,9,Tornado,8,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T175320.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,6661,2,,,,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P20GGVCQV,TE DestroyerSP1,6661,0,#92UJU9LC,Autoritura,16000002,P.E.K.K.A,9,9,Electro Wizard,6,6,Royal Giant,14,14,Poison,9,9,Valkyrie,12,12,Mini P.E.K.K.A,12,12,Zap,14,14,Zappies,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T174826.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,6632,1,,,,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GGJ8LGV,JoseMG,6630,0,#Q99Y8C8P,Donald Trump,16000038,Freeze,9,9,Valkyrie,12,12,Inferno Dragon,6,6,Tornado,9,9,Bowler,9,9,Graveyard,6,6,Electro Wizard,6,6,Ice Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220103T174404.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,6600,1,,,,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90CRP29PP,ここちゃん:),6633,0,#GY29C2U,LAVA × ZAPoison,16000028,Ice Golem,12,12,Elite Barbarians,14,14,Heal Spirit,12,12,Elixir Collector,12,12,Barbarian Barrel,9,9,Royal Ghost,6,6,Bandit,6,6,Three Musketeers,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220102T235316.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,7354,2,#L9CV8Q9V,TOP KSA™️✨,16000032,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28Y22YYJG,DoorMammøn,7354,1,#QQQJJ9UG,Leyendas MX,16000142,Baby Dragon,9,9,Balloon,9,9,Barbarian Barrel,9,9,Lumberjack,6,6,Tornado,9,9,Freeze,9,9,Inferno Dragon,6,6,Bowler,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220102T234359.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,7323,1,#L9CV8Q9V,TOP KSA™️✨,16000032,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VRPQ9LUY,Abraham,7341,0,#9GLU0VCG,Guardianes,16000032,Dart Goblin,12,12,Flying Machine,12,12,Tornado,9,9,Dark Prince,9,9,Electro Giant,9,9,Cannon Cart,9,9,Earthquake,12,12,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220102T231909.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,7290,3,#L9CV8Q9V,TOP KSA™️✨,16000032,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YCQ8U8QL,父•The┋Mix•父,7331,2,#LRYCRYRQ,la Estudiacion,16000171,Wall Breakers,9,9,Firecracker,14,14,Royal Ghost,6,6,Bandit,6,6,Goblin Drill,9,9,Rocket,12,12,Furnace,12,12,Royal Recruits,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220102T231607.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,7316,0,#L9CV8Q9V,TOP KSA™️✨,16000032,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCQQQ9R8,¥VIRUS¥,7351,1,#LQVUVY8C,R. K. O,16000028,Lava Hound,6,6,Inferno Dragon,6,6,Balloon,9,9,Elite Barbarians,14,14,Fireball,12,12,Skeleton Army,9,9,Arrows,14,14,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220102T231254.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,7345,0,#L9CV8Q9V,TOP KSA™️✨,16000032,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VJQRQY8,あっこ,7356,3,#2VUJ00YG,蒼穹ルベライト,16000128,Skeleton Army,9,9,Goblin Hut,12,12,Prince,9,9,Graveyard,6,6,Fireball,12,12,Arrows,14,14,Archer Queen,4,4,Bowler,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220102T230633.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,7312,2,#L9CV8Q9V,TOP KSA™️✨,16000032,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20008RVRL,G I R A R A Y,7350,1,#P0RVUQRR,clash of loyal,16000044,Lava Hound,6,6,Zap,14,14,Minions,14,14,Tombstone,12,12,Inferno Dragon,6,6,Fireball,12,12,Balloon,9,9,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220102T225740.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,7281,3,#L9CV8Q9V,TOP KSA™️✨,16000032,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CGU002R,Zolag,7294,0,#8LV9PV82,Swiss Allstars,16000038,Royal Delivery,14,14,Skeletons,14,14,Poison,9,9,Mega Minion,12,12,The Log,6,6,Golden Knight,4,4,Miner,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220102T225436.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,7308,0,#L9CV8Q9V,TOP KSA™️✨,16000032,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8CQJQC0U,DeliRiuM#2,7342,3,#LLU8R820,Pluizers,16000096,Ice Spirit,14,14,Rocket,12,12,Goblin Barrel,9,9,Goblin Gang,14,14,Inferno Tower,12,12,Valkyrie,12,12,Princess,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220102T225116.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,7337,0,#L9CV8Q9V,TOP KSA™️✨,16000032,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CCR02PP2,saribakhsh,7339,1,#VL8VJRG,(اساطير رويال),16000028,Inferno Dragon,6,6,Dark Prince,9,9,Tornado,9,9,Lightning,9,9,Electro Giant,9,9,Archer Queen,4,4,Goblin Cage,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220102T224715.000Z,,54000050,Legendary Arena,72000201,Ladder_CrownRush,,collection,#PGJCRU2,♍ⓖⓐⓖⓐ♍,7370,0,#L9CV8Q9V,TOP KSA™️✨,16000032,Lumberjack,6,6,Elixir Collector,12,12,Elite Barbarians,14,14,Golem,9,9,Electro Dragon,9,9,Tornado,9,9,Skeleton Dragons,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YQQJYUJGV,JACK,7334,3,#QUQY2VJG,∞Divus Revive∞,16000128,Musketeer,12,12,Hog Rider,12,12,Ice Spirit,14,14,Skeletons,14,14,Ice Golem,12,12,Cannon,14,14,Fireball,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
