type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T182408.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJ8RJPRPR,I Love X-Bow❤,6813,1,#LGL89GQQ,Kodigo❤️Noob,16000110,Tesla,14,14,Archers,14,14,X-Bow,9,9,Fireball,12,12,Skeletons,14,14,Electro Spirit,14,14,Knight,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20J22P0V9,Ornortシ︎,6769,0,#YP80Q22C,red chili,16000074,Cannon Cart,9,9,Mortar,14,14,Miner,6,6,Fireball,12,12,Minion Horde,14,14,Spear Goblins,14,14,Guards,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T181843.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJ8RJPRPR,I Love X-Bow❤,6842,0,#LGL89GQQ,Kodigo❤️Noob,16000110,Tesla,14,14,Archers,14,14,X-Bow,9,9,Fireball,12,12,Skeletons,14,14,Electro Spirit,14,14,Knight,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#822RQGYP,ZP I RAPHA 974✅,6845,1,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175658.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJ8RJPRPR,I Love X-Bow❤,6870,0,#LGL89GQQ,Kodigo❤️Noob,16000110,Tesla,14,14,Archers,14,14,X-Bow,9,9,Fireball,12,12,Skeletons,14,14,Electro Spirit,14,14,Knight,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y2LUQ98R9,疯狂｜PoiMaS,6893,1,#Y89VR8JL,Juvenile,16000040,Bandit,6,6,Lightning,9,9,P.E.K.K.A,9,9,Barbarian Barrel,9,9,Electro Wizard,6,6,Baby Dragon,9,9,Giant Snowball,14,14,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T174650.000Z,,54000013,Challenger II,72000007,Friendly,,collection,#PJ8RJPRPR,I Love X-Bow❤,6870,1,,,,Tesla,11,14,Archers,11,14,X-Bow,6,9,Fireball,9,12,Skeletons,11,14,Electro Spirit,11,14,Knight,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CLVCUP0UR,CANランボス,5379,0,,,,Bowler,6,9,Electro Wizard,3,6,Graveyard,3,6,Inferno Dragon,3,6,Tornado,6,9,Freeze,6,9,Valkyrie,9,12,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T174112.000Z,,54000017,Master III,72000007,Friendly,,collection,#PJ8RJPRPR,I Love X-Bow❤,6870,1,,,,Tesla,11,14,Archers,11,14,X-Bow,6,9,Fireball,9,12,Skeletons,11,14,Electro Spirit,11,14,Knight,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CLVCUP0UR,CANランボス,5379,0,,,,Bowler,6,9,Electro Wizard,3,6,Graveyard,3,6,Inferno Dragon,3,6,Tornado,6,9,Freeze,6,9,Valkyrie,9,12,Baby Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173043.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJ8RJPRPR,I Love X-Bow❤,6847,1,#Q998V20Y,Insta/Twitter,16000108,Tesla,14,14,Archers,14,14,X-Bow,9,9,Fireball,12,12,Skeletons,14,14,Electro Spirit,14,14,Knight,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRRQUVG9,⭐️King⭐️Texas⚡️,6770,0,#P0LLG9RG,QLASH Eclipse,16000077,Bowler,9,9,Electro Giant,9,9,Lightning,9,9,Baby Dragon,9,9,Mega Minion,12,12,Tornado,9,9,Barbarian Barrel,9,9,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T161811.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJ8RJPRPR,I Love X-Bow❤,6823,1,#LYJYR0YJ,X-Bow❤️Skill,16000108,Tesla,14,14,Archers,14,14,X-Bow,9,9,Fireball,12,12,Skeletons,14,14,Electro Spirit,14,14,Knight,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UJ2UC8CJ,ドルフィンʕ•ᴥ•ʔ,6763,0,#LUR0PRR2,CowCowFinance,16000138,Golem,9,9,Night Witch,6,6,Fireball,12,12,Mega Minion,12,12,Mini P.E.K.K.A,12,12,Bomber,13,14,Skeleton Army,8,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T153322.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJ8RJPRPR,I Love X-Bow❤,6799,1,#LYJYR0YJ,X-Bow❤️Skill,16000108,Tesla,14,14,Archers,14,14,X-Bow,9,9,Fireball,12,12,Skeletons,14,14,Electro Spirit,14,14,Knight,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYJU0JLVV,泉南の希望｜岡田浦,6740,0,#L8V0UPG2,フレバト＠天界までの道,16000054,Lava Hound,6,6,Guards,9,9,Zap,14,14,Mega Minion,12,12,Balloon,9,9,Tombstone,12,12,Fireball,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152621.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJ8RJPRPR,I Love X-Bow❤,6772,1,#LYJYR0YJ,X-Bow❤️Skill,16000108,Tesla,14,14,Archers,14,14,X-Bow,9,9,Fireball,12,12,Skeletons,14,14,Electro Spirit,14,14,Knight,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98R8GQ2,leon der große,6744,0,#LJLGUG8R,Twitter,16000108,Golem,9,9,Night Witch,6,6,Baby Dragon,9,9,Mega Minion,12,12,Skeletons,14,14,Lightning,9,9,Tornado,9,9,Elixir Collector,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T152153.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJ8RJPRPR,I Love X-Bow❤,6741,1,#LYJYR0YJ,X-Bow❤️Skill,16000108,Tesla,14,14,Archers,14,14,X-Bow,9,9,Fireball,12,12,Skeletons,14,14,Electro Spirit,14,14,Knight,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20LULJVCJ,Nobody™,6755,0,#LR0GVCJQ,NICARAGUA,16000114,Fireball,12,12,Bats,14,14,Dart Goblin,12,12,Skeleton Barrel,14,14,Mega Knight,6,6,Skeleton Army,9,9,Electro Wizard,6,6,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
