type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T181934.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6947,0,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,#JGJG9GC0,admerath,,0,#YR9GV28C,LE K.O,16000122,Golden Knight,4,4,The Log,6,6,Goblin Barrel,9,9,Fireball,12,12,Inferno Tower,12,12,Electro Spirit,14,14,Skeletons,14,14,Dart Goblin,12,12,#QVUV9CYLJ,jenruchodrilo,5733,2,#9QRP00CC,Chicali Crew ™,16000177,Mini P.E.K.K.A,12,12,Magic Archer,6,6,Cannon Cart,9,9,Inferno Dragon,6,6,Dark Prince,9,9,Arrows,14,14,Barbarian Barrel,9,9,Battle Ram,12,12,#Y098CLPV,Ti雷神,,2,#8PUYP999,⚡️唐~,16000167,Dart Goblin,12,12,Skeleton Barrel,14,14,Rocket,12,12,Bomb Tower,12,12,Skeletons,13,14,The Log,6,6,Knight,14,14,Goblin Barrel,9,9
PvP,20220104T180606.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6921,1,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRYLGLRQU,LWJ,6882,0,#LRC29YY0,BetaGo,16000014,Royal Ghost,6,6,P.E.K.K.A,9,9,Electro Wizard,6,6,Magic Archer,6,6,Battle Ram,12,12,Lightning,9,9,Zap,14,14,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180126.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6888,1,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G22U2G8J8,키라리✨,6931,0,#Y89VR8JL,Juvenile,16000040,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,Guards,9,9,Knight,14,14,Inferno Tower,12,12,Princess,6,6,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175447.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6921,0,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UCYRJRL9,Griwhoo✨,6880,1,#LQ2CCQG9,YT : Griwhoo CR,16000017,Goblin Barrel,9,9,Skeleton Army,9,9,Skeleton Barrel,14,14,Dart Goblin,12,12,Inferno Tower,12,12,Princess,6,6,The Log,6,6,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T174850.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#JGJG9GC0,admerath,6133,1,#YR9GV28C,LE K.O,16000122,Golden Knight,4,4,The Log,6,6,Goblin Barrel,9,9,Fireball,12,12,Inferno Tower,12,12,Electro Spirit,14,14,Skeletons,14,14,Dart Goblin,12,12,#PJUUV9CV,βⱮƓ I Zorro ♤,,1,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,#PY0PVJ8CR,Big Tree,5611,0,#LU9U82JQ,BTH Sy,16000145,Firecracker,14,14,Barbarian Barrel,9,9,Mega Knight,6,6,Goblin Barrel,9,9,Tornado,9,9,Mini P.E.K.K.A,12,12,Archer Queen,4,4,Rocket,12,12,#20JPY2CVQ,kylian83,,0,#2PLY9Y88,FAMILIA ROYALE,16000024,Lightning,9,9,Golem,9,9,Arrows,14,14,Furnace,12,12,Wizard,12,12,Mirror,9,9,Firecracker,14,14,Mini P.E.K.K.A,12,12
casual2v2,20220104T174528.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6921,2,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,#JGJG9GC0,admerath,,2,#YR9GV28C,LE K.O,16000122,Golden Knight,4,4,The Log,6,6,Goblin Barrel,9,9,Fireball,12,12,Inferno Tower,12,12,Electro Spirit,14,14,Skeletons,14,14,Dart Goblin,12,12,#890G22Y0P,Claude-Pierre,5665,1,#80Y88Q,Aussie Wargods,16000096,Wizard,12,12,P.E.K.K.A,9,9,Princess,6,6,Rage,9,9,Balloon,9,9,Mother Witch,6,6,Royal Hogs,12,12,Skeleton Army,9,9,#8GVY92QJ,Weyling,,1,#9CYYJR8G,LaSquadra Bûche,16000098,Skeleton Army,9,9,Skeleton Barrel,14,14,Inferno Tower,12,12,Princess,6,6,Dart Goblin,12,12,Goblin Barrel,9,9,The Log,6,6,Knight,14,14
PvP,20220104T143154.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6890,1,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9J8LRRLCC,きくけこ@タワーは飾り,6912,0,#Y9RRQGYY,はむもふ団,16000032,Fisherman,6,6,Royal Giant,14,14,Skeletons,14,14,Archer Queen,4,4,The Log,6,6,Electro Spirit,14,14,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142558.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6865,1,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LGVPY8G0,Rod,6814,0,#YPU0GJUV,BisTuRi,16000021,Archer Queen,4,4,Mega Knight,6,6,Ram Rider,6,6,Bandit,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T142021.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6894,0,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPPPJGC2,Enrico 2005,6899,1,,,,Miner,6,6,Valkyrie,12,12,Fireball,12,12,Spear Goblins,14,14,Tesla,14,14,Bats,14,14,Wall Breakers,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T141401.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6855,1,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99Q8CU,Kaique™,6963,0,#9GUCJRL0,Team Solid,16000113,Skeleton King,4,4,Miner,6,6,Mortar,14,14,Bats,14,14,Minion Horde,14,14,Fireball,12,12,Skeleton Army,9,9,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140452.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6823,1,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#200U8CULL,RoCaT,6849,0,#LR0UL202,Twitter@RoCaT20,16000179,Lava Hound,6,6,Arrows,14,14,Electro Dragon,9,9,Flying Machine,12,12,Skeleton Dragons,14,14,Tombstone,12,12,Barbarians,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T140058.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6854,0,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQYVQ2YJ,Charbel S,6839,1,#LJ0U898U,golden brothers,16000012,Fisherman,6,6,Royal Giant,14,14,Lightning,9,9,Royal Ghost,5,6,Hunter,9,9,Electro Wizard,6,6,Electro Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135657.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6886,0,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#228Y8U29J,⭐NS I 이지후⭐™️,6862,1,#LRUVVLCJ,First Love❤️,16000005,Princess,6,6,Goblin Barrel,9,9,Tesla,14,14,The Log,6,6,Knight,14,14,Skeleton Barrel,14,14,Goblin Gang,14,14,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T135144.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6861,1,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQVQ29JJ,темыч,6808,0,#Q82P2JCJ,Community,16000169,Graveyard,6,6,Poison,9,9,Mega Minion,12,12,Barbarian Barrel,9,9,Tombstone,12,12,Knight,14,14,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134719.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6895,0,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LGJ8JYY,Dexter,6840,1,#82LQRL,FiringRange,16000016,Mortar,14,14,Minion Horde,14,14,Miner,6,6,Skeleton Army,9,9,Bats,14,14,Spear Goblins,14,14,Fireball,12,12,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134314.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PJUUV9CV,βⱮƓ I Zorro ♤,6861,1,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8U9C8JRGJ,梦执✨,6913,0,#9LRRVY,u jump! i jump!,16000013,P.E.K.K.A,9,9,Bandit,6,6,Minions,14,14,Miner,6,6,Electro Wizard,6,6,Royal Ghost,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
