type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T121759.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PLLVJPL8G,Nowy螿會,6753,2,#90UUC92Y,FightClub PL,16000004,Lava Hound,6,6,Balloon,9,9,Miner,6,6,Skeleton Dragons,14,14,Arrows,14,14,Fireball,12,12,Inferno Dragon,6,6,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0L92GLU2,カメさん,6743,1,#LP90G9Q2,Last Resort,16000097,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Baby Dragon,9,9,Tornado,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T121332.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PLLVJPL8G,Nowy螿會,6718,3,#90UUC92Y,FightClub PL,16000004,Lava Hound,6,6,Balloon,9,9,Miner,6,6,Skeleton Dragons,14,14,Arrows,14,14,Fireball,12,12,Inferno Dragon,6,6,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GQJY00YP,Dz I Kayden,6779,1,#Q8JRQ8PL,TopResort™️,16000122,Tesla,14,14,Rocket,12,12,Fire Spirit,14,14,Wall Breakers,9,9,Goblin Drill,9,9,Valkyrie,12,12,Bomber,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T121010.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PLLVJPL8G,Nowy螿會,6748,2,#90UUC92Y,FightClub PL,16000004,Lava Hound,6,6,Balloon,9,9,Miner,6,6,Skeleton Dragons,14,14,Arrows,14,14,Fireball,12,12,Inferno Dragon,6,6,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJ2G2R0,Deathstrøke,6747,3,#L8U8GLJJ,Solide™️,16000012,Golem,9,9,Night Witch,6,6,Bomber,14,14,Mega Minion,12,12,Baby Dragon,9,9,Zap,14,14,Tornado,8,9,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T120425.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PLLVJPL8G,Nowy螿會,6718,1,#90UUC92Y,FightClub PL,16000004,Lava Hound,6,6,Balloon,9,9,Miner,6,6,Skeleton Dragons,14,14,Arrows,14,14,Fireball,12,12,Inferno Dragon,6,6,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CYPV9UVL,goliat,6726,0,#2V2LRQLQ,IX Hispana,16000172,Inferno Dragon,6,6,Lumberjack,6,6,Balloon,9,9,Tornado,9,9,Baby Dragon,9,9,Bowler,9,9,Freeze,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T115722.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PLLVJPL8G,Nowy螿會,6747,1,#90UUC92Y,FightClub PL,16000004,Lava Hound,6,6,Balloon,9,9,Miner,6,6,Skeleton Dragons,14,14,Arrows,14,14,Fireball,12,12,Inferno Dragon,6,6,Guards,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29C8YJRUP,ayoub Darken,6757,2,#YVRJP8GC,Destroyers,16000163,Giant,12,12,Giant Snowball,14,14,Skeleton Army,9,9,Minions,14,14,Graveyard,6,6,Musketeer,12,12,Arrows,14,14,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T115151.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#PLLVJPL8G,Nowy螿會,6747,2,,,,Ram Rider,3,6,Electro Giant,6,9,Golden Knight,1,4,Skeletons,11,14,Goblin Cage,9,12,Tornado,6,9,Electro Spirit,11,14,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QQ80QQUC,★D3mON★,5476,1,#2UJ2GJ,+ Р О С С И Я +,16000072,Ram Rider,3,6,Musketeer,9,12,Skeleton Army,6,9,Tesla,11,14,Firecracker,11,14,Mega Knight,3,6,Poison,6,9,Flying Machine,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T114626.000Z,,54000015,Master I,72000007,Friendly,,collection,#PLLVJPL8G,Nowy螿會,6747,0,#Q8VRVY2Q,Polska,16000067,Valkyrie,9,12,Fire Spirit,11,14,Skeletons,11,14,Mega Minion,9,12,Miner,3,6,Poison,6,9,Tesla,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VCU000LL,babypro❤kvm,6056,1,#G09CYU28,DRC S2,16000017,Mega Knight,3,6,Miner,3,6,Prince,6,9,Bats,11,14,Zap,11,14,Musketeer,9,12,Wall Breakers,6,9,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T114106.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#PLLVJPL8G,Nowy螿會,6747,2,#90UUC92Y,FightClub PL,16000004,Ram Rider,3,6,Electro Giant,6,9,Golden Knight,1,4,Skeletons,11,14,Goblin Cage,9,12,Tornado,6,9,Electro Spirit,11,14,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQRRLL0UV,davvvid111,3959,3,#Q8VRVY2Q,Polska,16000067,Ram Rider,3,6,Fisherman,3,6,Magic Archer,3,6,Skeleton Army,6,9,Bats,11,14,Tesla,11,14,Mirror,6,9,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T113739.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,7,eventDeck,#PLLVJPL8G,Nowy螿會,6747,1,#90UUC92Y,FightClub PL,16000004,Ram Rider,3,6,Electro Giant,6,9,Golden Knight,1,4,Skeletons,11,14,Goblin Cage,9,12,Bats,11,14,Electro Spirit,11,14,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P8UUCY922,Holmess,3613,2,#2YCRL282,S.K.O ARMY II,16000015,Ram Rider,3,6,Royal Ghost,3,6,Bandit,3,6,Archer Queen,1,4,Mega Knight,3,6,Barbarian Barrel,6,9,Lightning,6,9,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T112956.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,6,eventDeck,#PLLVJPL8G,Nowy螿會,6747,3,#90UUC92Y,FightClub PL,16000004,Ram Rider,3,6,Mega Knight,3,6,Archer Queen,1,4,Bandit,3,6,Royal Ghost,3,6,Lightning,6,9,Electro Spirit,11,14,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C2CUR9PJV,100,1330,0,#YJG0CYPV,Pazantes,16000114,Ram Rider,3,6,Royal Ghost,3,6,Lumberjack,3,6,Magic Archer,3,6,Barbarian Barrel,6,9,Fireball,9,12,Bandit,3,6,Inferno Dragon,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
