type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T143120.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PP029LCLJ,O̮ ɾℓα η ժ σ,6811,2,#92008009,BORBOTONES 2.0,16000000,Bats,14,14,Skeleton Army,9,9,Fireball,12,12,Lumberjack,6,6,Clone,9,9,Flying Machine,12,12,Baby Dragon,9,9,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99YLJPPRL,RBN I inSAnE,6779,1,#YGL9PU80,Troops Of War,16000161,Fireball,12,12,Goblin Giant,9,9,Mega Minion,12,12,Royal Ghost,6,6,Bats,14,14,Fisherman,6,6,Mega Knight,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132310.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PP029LCLJ,O̮ ɾℓα η ժ σ,6781,3,#92008009,BORBOTONES 2.0,16000000,Bats,14,14,Skeleton Army,9,9,Fireball,12,12,Lumberjack,6,6,Clone,9,9,Flying Machine,12,12,Baby Dragon,9,9,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JGGR80U,NutVan,6783,0,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Fireball,12,12,Minion Horde,14,14,Cannon Cart,9,9,Mortar,14,14,Guards,9,9,Spear Goblins,14,14,The Log,6,6,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T131931.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PP029LCLJ,O̮ ɾℓα η ժ σ,6750,3,#92008009,BORBOTONES 2.0,16000000,Bats,14,14,Skeleton Army,9,9,Fireball,12,12,Lumberjack,6,6,Clone,9,9,Flying Machine,12,12,Baby Dragon,9,9,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80UCCUJRL,ルイージ,6762,0,,,,Bandit,6,6,Dark Prince,9,9,Rascals,14,14,Princess,6,6,Guards,9,9,Rocket,12,12,Goblin Barrel,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T131452.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PP029LCLJ,O̮ ɾℓα η ժ σ,6721,2,#92008009,BORBOTONES 2.0,16000000,Bats,14,14,Skeleton Army,9,9,Fireball,12,12,Lumberjack,6,6,Clone,9,9,Flying Machine,12,12,Baby Dragon,9,9,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G9VQL8U8,EA Alex✨,6719,1,#Y20P8GCC,Los Puercos,16000141,Ice Wizard,6,6,Barbarian Barrel,9,9,Poison,9,9,Baby Dragon,9,9,Valkyrie,12,12,Tornado,9,9,Graveyard,6,6,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T131022.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PP029LCLJ,O̮ ɾℓα η ժ σ,6752,0,#92008009,BORBOTONES 2.0,16000000,Bats,14,14,Skeleton Army,9,9,Fireball,12,12,Lumberjack,6,6,Clone,9,9,Flying Machine,12,12,Baby Dragon,9,9,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QVPJCJU2,Acun,6731,1,#QQCPUGQ,#INDO COLONIAL,16000173,Arrows,14,14,Giant,12,12,Inferno Dragon,6,6,Fireball,12,12,Witch,9,9,Dark Prince,9,9,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T130554.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PP029LCLJ,O̮ ɾℓα η ժ σ,6785,1,#92008009,BORBOTONES 2.0,16000000,Bats,14,14,Skeleton Army,9,9,Fireball,12,12,Lumberjack,6,6,Clone,9,9,Flying Machine,12,12,Baby Dragon,9,9,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9CL9Y8PV,mendigo_8000,6748,3,#L8YPG8UC,GOLD DRAGONS⚡️,16000001,Cannon Cart,9,9,Zap,14,14,Lumberjack,6,6,Electro Spirit,14,14,Fireball,12,12,Mega Knight,6,6,Balloon,9,9,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T130126.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#PP029LCLJ,O̮ ɾℓα η ժ σ,6785,0,#92008009,BORBOTONES 2.0,16000000,Skeletons,11,14,The Log,3,6,Knight,11,14,Fireball,9,12,Ice Spirit,11,14,Archers,11,14,Tesla,11,14,X-Bow,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2G982QL,VᴇʀɢᴀsMᴇᴛᴏ69,5602,1,#92008009,BORBOTONES 2.0,16000000,Mega Minion,9,12,Graveyard,3,6,Inferno Tower,9,12,Freeze,6,9,Archers,11,14,Bowler,6,9,Valkyrie,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T125504.000Z,,54000017,Master III,72000007,Friendly,,collection,#PP029LCLJ,O̮ ɾℓα η ժ σ,6785,0,#92008009,BORBOTONES 2.0,16000000,Skeletons,11,14,The Log,3,6,Earthquake,9,12,Valkyrie,9,12,Ice Spirit,11,14,Firecracker,11,14,Tesla,11,14,Hog Rider,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQYJ09GPJ,roy,5776,1,#92008009,BORBOTONES 2.0,16000000,Guards,6,9,Electro Wizard,3,6,Wizard,9,12,Musketeer,9,12,Fireball,9,12,Arrows,11,14,Hog Rider,9,12,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20220104T125100.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#PP029LCLJ,O̮ ɾℓα η ժ σ,6785,2,#92008009,BORBOTONES 2.0,16000000,Bats,11,14,Skeleton Army,6,9,Fireball,9,12,Lumberjack,3,6,Clone,6,9,Flying Machine,9,12,Baby Dragon,6,9,Lava Hound,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQYJ09GPJ,roy,5776,1,#92008009,BORBOTONES 2.0,16000000,Guards,6,9,Electro Wizard,3,6,Wizard,9,12,Musketeer,9,12,Fireball,9,12,Arrows,11,14,Hog Rider,9,12,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T123903.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PP029LCLJ,O̮ ɾℓα η ժ σ,6755,3,#92008009,BORBOTONES 2.0,16000000,Bats,14,14,Skeleton Army,9,9,Fireball,12,12,Lumberjack,6,6,Clone,9,9,Flying Machine,12,12,Baby Dragon,9,9,Lava Hound,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CYPV9UVL,goliat,6759,1,#2V2LRQLQ,IX Hispana,16000172,Inferno Dragon,6,6,Lumberjack,6,6,Balloon,9,9,Tornado,9,9,Baby Dragon,9,9,Bowler,9,9,Freeze,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
