type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T172627.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQGPYUP8,NBA YoungBoy,6882,3,#QUYURLRP,Tw:@MagicmanCR,16000170,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Fireball,12,12,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PRYLGLRQU,LWJ,6907,1,#LRC29YY0,BetaGo,16000014,Magic Archer,6,6,Giant Snowball,14,14,Royal Ghost,6,6,Cannon Cart,9,9,Bandit,6,6,Skeletons,13,14,Electro Wizard,6,6,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172321.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQGPYUP8,NBA YoungBoy,6849,2,#QUYURLRP,Tw:@MagicmanCR,16000170,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Fireball,12,12,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGCG8UL2P,yoan974,6884,1,#G0C2CC8C,YT=SOHEIL CR,16000117,Graveyard,6,6,Witch,9,9,Dark Prince,9,9,Zappies,12,12,Goblin Hut,12,12,Arrows,14,14,Barbarian Barrel,9,9,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171713.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQGPYUP8,NBA YoungBoy,6818,3,#QUYURLRP,Tw:@MagicmanCR,16000170,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Fireball,12,12,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R09228V,SK Morten,6839,2,#YUGJCLGU,SK Free2Play,16000044,Archer Queen,4,4,The Log,6,6,Earthquake,12,12,Mini P.E.K.K.A,12,12,Skeletons,14,14,Bats,14,14,Hog Rider,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T171235.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQGPYUP8,NBA YoungBoy,6793,3,#QUYURLRP,Tw:@MagicmanCR,16000170,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Fireball,12,12,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CGQPUVV,SVG⚡JirenGOD™️,6744,2,#QYYYLC0L,reencarnación,16000059,Giant,12,12,Mini P.E.K.K.A,12,12,Skeleton Army,9,9,Giant Snowball,14,14,Graveyard,6,6,Musketeer,12,12,Bats,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170813.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQGPYUP8,NBA YoungBoy,6766,3,#QUYURLRP,Tw:@MagicmanCR,16000170,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Fireball,12,12,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88CG9JY9C,Leogam09,6732,1,#8YLJ8UL2,Aftershock,16000011,The Log,6,6,Princess,6,6,Royal Ghost,6,6,Golden Knight,4,4,Lumberjack,6,6,Prince,9,9,Wizard,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170437.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQGPYUP8,NBA YoungBoy,6792,1,#QUYURLRP,Tw:@MagicmanCR,16000170,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Fireball,12,12,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88VLPPGQ0,GGYi,6830,2,,,,Mega Knight,6,6,Minions,14,14,Miner,6,6,Wall Breakers,9,9,Zap,14,14,Arrows,14,14,Prince,9,9,Musketeer,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T170050.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQGPYUP8,NBA YoungBoy,6824,1,#QUYURLRP,Tw:@MagicmanCR,16000170,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Fireball,12,12,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P0VC8PJR,AGoodName✨,6791,2,#LVJRRQUV,twitter,16000014,Tornado,9,9,Skeletons,14,14,Tesla,14,14,The Log,6,6,Magic Archer,6,6,Wall Breakers,9,9,Valkyrie,12,12,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165706.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQGPYUP8,NBA YoungBoy,6793,1,#QUYURLRP,Tw:@MagicmanCR,16000170,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Fireball,12,12,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VU0JGVLP,Alex,6807,0,#YU0QCLVL,NOVA ÉLITE PE,16000040,Hog Rider,12,12,Cannon,14,14,Fire Spirit,14,14,The Log,6,6,Musketeer,12,12,Skeletons,14,14,Fireball,12,12,Ice Golem,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T165021.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQGPYUP8,NBA YoungBoy,6825,2,#QUYURLRP,Tw:@MagicmanCR,16000170,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Fireball,12,12,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LGVPY8G0,Rod,6792,3,#YPU0GJUV,BisTuRi,16000021,Archer Queen,4,4,Mega Knight,6,6,Ram Rider,6,6,Bandit,6,6,Giant Snowball,14,14,Electro Spirit,14,14,Royal Ghost,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T164515.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQGPYUP8,NBA YoungBoy,6800,3,#QUYURLRP,Tw:@MagicmanCR,16000170,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Fireball,12,12,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YCJL0L,UnmortaI,6742,1,#CPVV9QJ,RoyalFlush II,16000077,Skeletons,14,14,The Log,6,6,Golden Knight,4,4,Royal Giant,14,14,Fisherman,6,6,Fireball,12,12,Mega Minion,12,12,Hunter,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
