type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T171844.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQVQ29JJ,темыч,6732,0,#Q82P2JCJ,Community,16000169,Graveyard,6,6,Tombstone,12,12,Knight,14,14,Poison,9,9,Archer Queen,4,4,Barbarian Barrel,9,9,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YJVRGRCL,☣️Telminator☣️,6694,1,#LQ89LY9U,Just lava,16000123,Lava Hound,6,6,Flying Machine,12,12,Miner,6,6,Skeleton Dragons,14,14,Inferno Dragon,6,6,Arrows,14,14,Barbarians,14,14,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T170013.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,1,eventDeck,#PQVQ29JJ,темыч,6732,2,#Q82P2JCJ,Community,16000169,Ram Rider,3,6,Giant Snowball,11,14,P.E.K.K.A,6,9,Fire Spirit,11,14,Bandit,3,6,Lightning,6,9,Baby Dragon,6,9,Golden Knight,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R82U2PRJU,sammy3435,5387,1,#8JR8UUY,Warlords,16000044,Ram Rider,3,6,Inferno Tower,9,12,Wizard,9,12,Zap,11,14,Arrows,11,14,P.E.K.K.A,6,9,Skeleton Army,6,9,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T165517.000Z,73005582,54000040,Legendary Arena,72000274,RAMRIDER_Rage_Buff_Tournament,0,eventDeck,#PQVQ29JJ,темыч,6732,1,#Q82P2JCJ,Community,16000169,Ram Rider,3,6,Giant Snowball,11,14,Ice Golem,9,12,Lumberjack,3,6,Bandit,3,6,Lightning,6,9,Inferno Dragon,3,6,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GQUGQ0LJ,✴THUNDER✴,5414,0,#QUGRPRLG,"AUTO ""C""",16000162,Ram Rider,3,6,Princess,3,6,Arrows,11,14,Inferno Tower,9,12,Electro Wizard,3,6,Goblin Barrel,6,9,Goblin Gang,11,14,Giant Skeleton,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T151352.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQVQ29JJ,темыч,6762,0,#Q82P2JCJ,Community,16000169,Graveyard,6,6,Tombstone,12,12,Knight,14,14,Poison,9,9,Archer Queen,4,4,Barbarian Barrel,9,9,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PPJ0Q2RQ,MONYK,6758,1,#9RQYJGUY,Furia Nocturna,16000044,Goblin Cage,12,12,Skeletons,14,14,Lightning,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Royal Giant,14,14,Fisherman,6,6,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150819.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQVQ29JJ,темыч,6790,0,#Q82P2JCJ,Community,16000169,Graveyard,6,6,Tombstone,12,12,Knight,14,14,Poison,9,9,Archer Queen,4,4,Barbarian Barrel,9,9,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#822RQGYP,ZP I RAPHA 974✅,6810,1,#LRQGRGUQ,zPunish eSports,16000014,Goblin Giant,9,9,Rage,9,9,Zap,14,14,Sparky,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Archer Queen,4,4,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T150436.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQVQ29JJ,темыч,6762,1,#Q82P2JCJ,Community,16000169,Graveyard,6,6,Tombstone,12,12,Knight,14,14,Poison,9,9,Archer Queen,4,4,Barbarian Barrel,9,9,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89J8QGPP,|⚡️Chamar⚡️™️,6744,0,#9JJRCUUY,PDF Origins,16000029,Goblin Barrel,9,9,Valkyrie,12,12,Skeleton Barrel,14,14,Skeleton Army,9,9,Inferno Tower,12,12,Princess,6,6,The Log,6,6,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144946.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQVQ29JJ,темыч,6799,0,#Q82P2JCJ,Community,16000169,Graveyard,6,6,Baby Dragon,9,9,Guards,9,9,Freeze,8,9,Bowler,9,9,Electro Wizard,6,6,Inferno Dragon,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22QQVRJC,✨Ka良さ❤️Lashシャイ✨,6715,1,#LQ29JQUJ,Bad Meta.,16000144,Royal Giant,14,14,Goblin Cage,12,12,Lightning,9,9,Baby Dragon,9,9,Fisherman,6,6,Electro Wizard,6,6,Dark Prince,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T144423.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQVQ29JJ,темыч,6830,0,#Q82P2JCJ,Community,16000169,Graveyard,6,6,Poison,9,9,Mega Minion,12,12,Barbarian Barrel,9,9,Tombstone,12,12,Knight,14,14,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88P88299J,⚡AXXEL10⚡,6816,1,#8UULG2C9,Kingdom PR,16000142,Electro Giant,9,9,Baby Dragon,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Tornado,7,9,Goblin Cage,12,12,Lightning,9,9,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143905.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQVQ29JJ,темыч,6860,0,#Q82P2JCJ,Community,16000169,Graveyard,6,6,Poison,9,9,Mega Minion,12,12,Barbarian Barrel,9,9,Tombstone,12,12,Knight,14,14,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2980L999G,H A M Z A ⭐,6859,1,#LG98VR2L,WAR OF CLANS ™,16000030,Lava Hound,6,6,Tombstone,12,12,Zap,14,14,Arrows,14,14,Balloon,9,9,Miner,6,6,Minions,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T143413.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PQVQ29JJ,темыч,6832,1,#Q82P2JCJ,Community,16000169,Graveyard,6,6,Poison,9,9,Mega Minion,12,12,Barbarian Barrel,9,9,Tombstone,12,12,Knight,14,14,Baby Dragon,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U9CCLPC,Zero Absolute,6811,0,#QG9QRRPU,The Dangers C.R,16000085,The Log,6,6,Royal Giant,14,14,Dark Prince,9,9,Electro Wizard,6,6,Fisherman,6,6,Electro Spirit,14,14,Fireball,12,12,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
