type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T180606.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PRYLGLRQU,LWJ,6882,0,#LRC29YY0,BetaGo,16000014,Royal Ghost,6,6,P.E.K.K.A,9,9,Electro Wizard,6,6,Magic Archer,6,6,Battle Ram,12,12,Lightning,9,9,Zap,14,14,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJUUV9CV,βⱮƓ I Zorro ♤,6921,1,#YG90PJLC,Eternal Aurore,16000142,Dart Goblin,12,12,Skeleton Army,9,9,Royal Delivery,14,14,Golden Knight,4,4,Inferno Tower,12,12,Goblin Barrel,9,9,Skeleton Barrel,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T180240.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PRYLGLRQU,LWJ,6910,1,#LRC29YY0,BetaGo,16000014,Royal Ghost,6,6,P.E.K.K.A,9,9,Electro Wizard,6,6,Magic Archer,6,6,Battle Ram,12,12,Lightning,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QQVLGVG2,★ToXICalDeaTH★,6931,3,,,,Giant,12,12,Sparky,6,6,Mini P.E.K.K.A,12,12,Arrows,14,14,Archer Queen,4,4,Bats,14,14,Skeleton Army,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175854.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PRYLGLRQU,LWJ,6935,0,#LRC29YY0,BetaGo,16000014,Royal Ghost,6,6,P.E.K.K.A,9,9,Electro Wizard,6,6,Magic Archer,6,6,Battle Ram,12,12,Lightning,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G9YV9GR8R,Mohamed Light,6991,1,,,,Archer Queen,4,4,Magic Archer,6,6,Battle Ram,12,12,Barbarian Barrel,9,9,Heal Spirit,12,12,Elite Barbarians,14,14,Bandit,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T175402.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PRYLGLRQU,LWJ,6915,1,#LRC29YY0,BetaGo,16000014,Royal Ghost,6,6,P.E.K.K.A,9,9,Electro Wizard,6,6,Magic Archer,6,6,Battle Ram,12,12,Lightning,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U8QC00V0,Magic Jannik,6807,0,#PU0R0PQC,Gin & Juice,16000141,Skeletons,14,14,Wall Breakers,9,9,Magic Archer,6,6,Arrows,14,14,Bats,14,14,Miner,6,6,Valkyrie,12,12,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174911.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PRYLGLRQU,LWJ,6883,1,#LRC29YY0,BetaGo,16000014,Royal Ghost,6,6,P.E.K.K.A,9,9,Electro Wizard,6,6,Magic Archer,6,6,Battle Ram,12,12,Lightning,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#220CY2PL,Amir cLuB,6913,0,#G9PJUUGV,yt: amir club,16000086,Golem,9,9,Night Witch,6,6,Arrows,14,14,Zap,13,14,Mega Minion,12,12,Dark Prince,9,9,Bomber,13,14,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174336.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PRYLGLRQU,LWJ,6854,1,#LRC29YY0,BetaGo,16000014,Royal Ghost,6,6,P.E.K.K.A,9,9,Electro Wizard,6,6,Magic Archer,6,6,Battle Ram,12,12,Lightning,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YGJ0VUP8,henrybalon:),6853,0,#PC0CYYYV,Magiczne Mrozy,16000034,Fireball,12,12,Zap,14,14,Magic Archer,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Battle Ram,12,12,P.E.K.K.A,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T174001.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PRYLGLRQU,LWJ,6886,0,#LRC29YY0,BetaGo,16000014,Royal Ghost,6,6,P.E.K.K.A,9,9,Electro Wizard,6,6,Magic Archer,6,6,Battle Ram,12,12,Lightning,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YPG9LJGG,Over Ryoki,6856,1,#QUPVYQG2,GC×100,16000164,P.E.K.K.A,9,9,Electro Wizard,6,6,Inferno Dragon,6,6,Golden Knight,4,4,Tombstone,12,12,Arrows,14,14,Poison,9,9,Graveyard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173436.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PRYLGLRQU,LWJ,6855,1,#LRC29YY0,BetaGo,16000014,Royal Ghost,6,6,P.E.K.K.A,9,9,Electro Wizard,6,6,Magic Archer,6,6,Battle Ram,12,12,Lightning,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#80R00VPRU,UNL TOCHE,6877,0,#9QVQPR,Dark Legends,16000000,Royal Hogs,12,12,Royal Recruits,14,14,Fireball,12,12,Barbarian Barrel,9,9,Goblin Cage,12,12,Flying Machine,12,12,Arrows,14,14,Zappies,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T173037.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PRYLGLRQU,LWJ,6875,0,#LRC29YY0,BetaGo,16000014,Magic Archer,6,6,Royal Ghost,6,6,Electro Wizard,6,6,Battle Ram,12,12,Giant Snowball,14,14,Barbarian Barrel,9,9,Bandit,6,6,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JJ89LQ0,NzT™FєƊƊƳ❤️Sara,6995,1,#LY2LGR29,QLASH Reality,16000007,Guards,9,9,Prince,9,9,Freeze,9,9,Royal Delivery,14,14,Graveyard,6,6,Archer Queen,4,4,Hunter,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T172627.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PRYLGLRQU,LWJ,6907,1,#LRC29YY0,BetaGo,16000014,Magic Archer,6,6,Giant Snowball,14,14,Royal Ghost,6,6,Cannon Cart,9,9,Bandit,6,6,Skeletons,13,14,Electro Wizard,6,6,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQGPYUP8,NBA YoungBoy,6882,3,#QUYURLRP,Tw:@MagicmanCR,16000170,Baby Dragon,9,9,Bats,14,14,Clone,9,9,Fireball,12,12,Flying Machine,12,12,Lava Hound,6,6,Lumberjack,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
