type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20220104T181801.000Z,,54000017,Master III,72000007,Friendly,,collection,#PU0QL92L,PZ I Pluisboy,6722,1,#YCCGYRPY,Pluizers Jr,16000096,P.E.K.K.A,6,9,Electro Wizard,3,6,Battle Ram,9,12,Royal Ghost,3,6,Bandit,3,6,Magic Archer,3,6,Fireball,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LGLYG89U,PZ l Rutger,5755,0,#QCP8G80R,Pluizers NoFlex,16000096,Mega Knight,3,6,Inferno Dragon,3,6,Bats,11,14,Fireball,9,12,Miner,3,6,Goblin Gang,11,14,Prince,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T174939.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#PU0QL92L,PZ I Pluisboy,6722,1,#YCCGYRPY,Pluizers Jr,16000096,P.E.K.K.A,6,9,Electro Wizard,3,6,Battle Ram,9,12,Royal Ghost,3,6,Bandit,3,6,Magic Archer,3,6,Fireball,9,12,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LGLYG89U,PZ l Rutger,5784,0,#QCP8G80R,Pluizers NoFlex,16000096,Mega Knight,3,6,Inferno Dragon,3,6,Bats,11,14,Fireball,9,12,Miner,3,6,Goblin Gang,11,14,Prince,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T173332.000Z,,54000017,Master III,72000007,Friendly,,collection,#PU0QL92L,PZ I Pluisboy,6722,1,#YCCGYRPY,Pluizers Jr,16000096,Mega Knight,3,6,Inferno Dragon,3,6,Bats,11,14,Fireball,9,12,Miner,3,6,Goblin Gang,11,14,Prince,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LGLYG89U,PZ l Rutger,5784,0,#QCP8G80R,Pluizers NoFlex,16000096,P.E.K.K.A,6,9,Electro Wizard,3,6,Battle Ram,9,12,Fireball,9,12,Royal Ghost,3,6,Magic Archer,3,6,Bandit,3,6,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20220104T161156.000Z,,54000014,Challenger III,72000007,Friendly,,collection,#PU0QL92L,PZ I Pluisboy,6722,1,#YCCGYRPY,Pluizers Jr,16000096,P.E.K.K.A,6,9,Electro Wizard,3,6,Battle Ram,9,12,Royal Ghost,3,6,Fireball,9,12,Archer Queen,1,4,Bandit,3,6,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LGLYG89U,PZ l Rutger,5784,0,#QCP8G80R,Pluizers NoFlex,16000096,Mega Knight,3,6,Inferno Dragon,3,6,Bats,11,14,Fireball,9,12,Miner,3,6,Goblin Gang,11,14,Prince,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134116.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PU0QL92L,PZ I Pluisboy,6690,1,#YCCGYRPY,Pluizers Jr,16000096,P.E.K.K.A,9,9,Electro Wizard,6,6,Battle Ram,12,12,Royal Ghost,6,6,Fireball,12,12,Archer Queen,4,4,Bandit,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYGQVPVVV,LIN I c0me0n,6723,0,#LR0URQPU,愛が1番,16000108,Golem,9,9,Barbarian Barrel,9,9,Lumberjack,6,6,Night Witch,6,6,Mega Minion,12,12,Tornado,9,9,Baby Dragon,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133620.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PU0QL92L,PZ I Pluisboy,6658,1,#YCCGYRPY,Pluizers Jr,16000096,P.E.K.K.A,9,9,Electro Wizard,6,6,Battle Ram,12,12,Royal Ghost,6,6,Fireball,12,12,Archer Queen,4,4,Bandit,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V9YQ929Q,батя,6684,0,#2RCUURR8,NOMAD,16000003,Lava Hound,6,6,Electro Dragon,9,9,Flying Machine,12,12,Mega Minion,12,12,Barbarians,14,14,Miner,6,6,Tombstone,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133255.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PU0QL92L,PZ I Pluisboy,6686,0,#YCCGYRPY,Pluizers Jr,16000096,P.E.K.K.A,9,9,Electro Wizard,6,6,Battle Ram,12,12,Royal Ghost,6,6,Fireball,12,12,Archer Queen,4,4,Bandit,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CPPUVLQJ,Marco,6698,1,#Y02290QU,Dark knights 2,16000003,Cannon Cart,9,9,Mortar,14,14,Magic Archer,6,6,Miner,6,6,Minion Horde,14,14,Zap,13,14,Guards,8,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132413.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PU0QL92L,PZ I Pluisboy,6657,1,#YCCGYRPY,Pluizers Jr,16000096,P.E.K.K.A,9,9,Electro Wizard,6,6,Battle Ram,12,12,Royal Ghost,6,6,Fireball,12,12,Archer Queen,4,4,Bandit,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y8LRYYQQY,shadow-fiend,6649,0,#8RU0JYQ8,ارتش امام زمان,16000101,Golem,9,9,Lumberjack,6,6,Baby Dragon,9,9,Barbarian Barrel,9,9,Mega Minion,12,12,Electro Dragon,9,9,Cannon Cart,9,9,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T132048.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PU0QL92L,PZ I Pluisboy,6624,1,#YCCGYRPY,Pluizers Jr,16000096,P.E.K.K.A,9,9,Electro Wizard,6,6,Battle Ram,12,12,Royal Ghost,6,6,Fireball,12,12,Archer Queen,4,4,Bandit,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88P88299J,⚡AXXEL10⚡,6664,0,#8UULG2C9,Kingdom PR,16000142,Electro Giant,9,9,Baby Dragon,9,9,Dark Prince,9,9,Barbarian Barrel,9,9,Tornado,7,9,Goblin Cage,12,12,Lightning,9,9,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T131517.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PU0QL92L,PZ I Pluisboy,6653,1,#YCCGYRPY,Pluizers Jr,16000096,P.E.K.K.A,9,9,Electro Wizard,6,6,Battle Ram,12,12,Royal Ghost,6,6,Fireball,12,12,Archer Queen,4,4,Bandit,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82UVUYY2R,晓月残风,6663,2,#9GUVG2J,紫禁城之巅,16000125,Golem,9,9,Night Witch,6,6,Elite Barbarians,14,14,Lumberjack,6,6,Minion Horde,14,14,Skeleton Army,9,9,Tornado,9,9,Clone,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
