type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20220104T155940.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#PU9RCVYUG,FJ21,6854,3,#YVJU2YLG,INDIAN LIFE ✊,16000028,Mega Knight,6,6,Archer Queen,4,4,Lightning,9,9,Giant Snowball,14,14,Bandit,6,6,Electro Spirit,14,14,Ram Rider,6,6,Royal Ghost,6,6,#R98PYG82,你瞅啥,,3,#PV922Q2V,19届11班,16000009,Goblin Cage,12,12,Dark Prince,9,9,Electro Giant,9,9,Mother Witch,6,6,Baby Dragon,9,9,Skeletons,11,14,Tornado,7,9,Lightning,9,9,#PPCCQRGUQ,D.Luffy,5489,0,#9UJPPP8,ANaDoLu_BeYLeRi,16000030,Goblin Barrel,9,9,Firecracker,13,14,Mega Knight,6,6,Dart Goblin,12,12,Princess,5,6,Musketeer,11,12,Mirror,8,9,Skeleton Barrel,14,14,#288L0ULP0,mk,,0,#9YV0CU8,Black Castle,16000024,Skeleton Army,9,9,Hog Rider,12,12,Knight,14,14,Zap,14,14,Balloon,9,9,Bomber,14,14,Prince,9,9,Wizard,12,12
challenge,20220104T142543.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#PU9RCVYUG,FJ21,6854,1,#YVJU2YLG,INDIAN LIFE ✊,16000028,Royal Ghost,3,6,Mega Knight,3,6,Electro Spirit,11,14,Lightning,6,9,Archer Queen,1,4,Bandit,3,6,Giant Snowball,11,14,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28CV82JQ2,CRIS 8,5779,0,#LUYJ89LV,Los JIJIJIJA,16000146,Ram Rider,3,6,The Log,3,6,Fireball,9,12,Golden Knight,1,4,Inferno Dragon,3,6,Electro Wizard,3,6,Dart Goblin,9,12,P.E.K.K.A,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T142226.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#PU9RCVYUG,FJ21,6854,1,#YVJU2YLG,INDIAN LIFE ✊,16000028,Royal Ghost,3,6,Mega Knight,3,6,Electro Spirit,11,14,Lightning,6,9,Archer Queen,1,4,Bandit,3,6,Giant Snowball,11,14,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22YJ0JGPL,Lukithas_LF,5812,0,#9CLC2VPP,The Poodles,16000003,Earthquake,9,12,Goblin Cage,9,12,Archer Queen,1,4,Royal Delivery,11,14,Skeletons,11,14,Fire Spirit,11,14,The Log,3,6,Royal Hogs,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20220104T141816.000Z,65000000,54000040,Legendary Arena,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#PU9RCVYUG,FJ21,6854,3,#YVJU2YLG,INDIAN LIFE ✊,16000028,Royal Ghost,3,6,Mega Knight,3,6,Electro Spirit,11,14,Lightning,6,9,Archer Queen,1,4,Bandit,3,6,Giant Snowball,11,14,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20QLJC99G,BATARIFA,5264,0,#JYJ8U2G,NECAXA,16000009,Ice Wizard,3,6,Electro Spirit,11,14,Giant,9,12,Goblin Drill,6,9,Fisherman,3,6,Archers,11,14,Mirror,6,9,Bomber,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casual2v2,20220104T141348.000Z,,54000040,Legendary Arena,72000023,TeamVsTeamLadder,,collection,#PU9RCVYUG,FJ21,6854,2,#YVJU2YLG,INDIAN LIFE ✊,16000028,Mega Knight,6,6,Archer Queen,4,4,Lightning,9,9,Giant Snowball,14,14,Bandit,6,6,Electro Spirit,14,14,Ram Rider,6,6,Royal Ghost,6,6,#2RRVCYC9G,Sk nick warles,,2,#PJP8CLJ0,Gli Avvelenati,16000021,Elixir Golem,12,12,Battle Healer,12,12,Electro Dragon,9,9,Inferno Dragon,6,6,Rage,8,9,Zap,13,14,Arrows,14,14,Elite Barbarians,14,14,#808YJ9GG,オッコンメラー,5645,0,#RR2YRGL,株式会社クラロワ第一支部,16000140,Skeletons,14,14,Cannon,14,14,Ice Spirit,14,14,Ice Golem,12,12,The Log,6,6,Hog Rider,12,12,Fireball,12,12,Musketeer,12,12,#U0G202PQ,Care,,0,#Y99Q9VY,瑞文戴尔,16000162,Mega Knight,6,6,Hog Rider,12,12,Mini P.E.K.K.A,12,12,Zap,14,14,Executioner,9,9,Fireball,12,12,Skeleton Army,9,9,Dart Goblin,12,12
PvP,20220104T134723.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PU9RCVYUG,FJ21,6823,1,#YVJU2YLG,INDIAN LIFE ✊,16000028,Mega Knight,6,6,Archer Queen,4,4,Lightning,9,9,Giant Snowball,14,14,Bandit,6,6,Electro Spirit,14,14,Ram Rider,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QJ9R8RJL,T.S.E.⚡巴萨,6836,0,#9L8QRQ8R,北皇战盟,16000171,The Log,6,6,Guards,9,9,Furnace,12,12,Inferno Tower,12,12,Dark Prince,9,9,Miner,6,6,Fireball,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T134337.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PU9RCVYUG,FJ21,6790,1,#YVJU2YLG,INDIAN LIFE ✊,16000028,Mega Knight,6,6,Archer Queen,4,4,Lightning,9,9,Giant Snowball,14,14,Bandit,6,6,Electro Spirit,14,14,Ram Rider,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJ2G2R0,Deathstrøke,6827,0,#L8U8GLJJ,Solide™️,16000012,Golem,9,9,Night Witch,6,6,Bomber,14,14,Mega Minion,12,12,Baby Dragon,9,9,Zap,14,14,Tornado,8,9,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133938.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PU9RCVYUG,FJ21,6759,1,#YVJU2YLG,INDIAN LIFE ✊,16000028,Mega Knight,6,6,Archer Queen,4,4,Lightning,9,9,Giant Snowball,14,14,Bandit,6,6,Electro Spirit,14,14,Ram Rider,6,6,Royal Ghost,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q0JQGRUV,❄Seori❄,6780,0,#LQ8YJY9J,Scrim,16000139,Graveyard,6,6,Poison,9,9,Valkyrie,12,12,Barbarian Barrel,9,9,Archer Queen,4,4,Tornado,9,9,Baby Dragon,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133249.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PU9RCVYUG,FJ21,6790,0,#YVJU2YLG,INDIAN LIFE ✊,16000028,Archer Queen,4,4,Bandit,6,6,Battle Ram,12,12,Electro Wizard,6,6,Fireball,12,12,P.E.K.K.A,9,9,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCUJ2ULP,aboo,6777,3,#PPJPQLRP,Ir Wolves☆☆,16000107,Graveyard,6,6,Elite Barbarians,14,14,Archer Queen,4,4,Giant,12,12,Skeleton Army,9,9,Arrows,14,14,Giant Snowball,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T133026.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PU9RCVYUG,FJ21,6765,1,#YVJU2YLG,INDIAN LIFE ✊,16000028,Archer Queen,4,4,Bandit,6,6,Battle Ram,12,12,Electro Wizard,6,6,Fireball,12,12,P.E.K.K.A,9,9,Royal Ghost,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QJGGLVQP,THB_Thomas™,6718,0,#9CPV098R,Titan Warfare,16000156,Princess,6,6,Mega Knight,6,6,Royal Giant,14,14,Bats,14,14,Dart Goblin,12,12,Prince,9,9,Skeleton Army,9,9,Goblin Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
