type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20220104T104507.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PURLJVQYP,⚡⚡Kid Buu⚡⚡,6784,1,#LQ2QJ9GJ,☠☠☠EMO☠☠☠,16000029,Electro Wizard,6,6,Zap,14,14,Balloon,9,9,Inferno Dragon,6,6,Mega Knight,6,6,Fireball,12,12,Bandit,6,6,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22P2RCU2U,blair,6732,2,#RRQ2UCY,Rocket Pong #1,16000167,Bowler,9,9,Electro Wizard,6,6,Graveyard,6,6,Ice Wizard,6,6,Inferno Dragon,6,6,Freeze,9,9,Tornado,9,9,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T104025.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PURLJVQYP,⚡⚡Kid Buu⚡⚡,6810,0,#LQ2QJ9GJ,☠☠☠EMO☠☠☠,16000029,Electro Wizard,6,6,Zap,14,14,Balloon,9,9,Inferno Dragon,6,6,Mega Knight,6,6,Fireball,12,12,Bandit,6,6,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20U9UYVPV,TRT丨✨Hxm❤️烟雨✨,6847,1,,,,Bandit,6,6,Mega Knight,6,6,Royal Ghost,6,6,Electro Spirit,14,14,Giant Snowball,14,14,Ram Rider,6,6,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T103521.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PURLJVQYP,⚡⚡Kid Buu⚡⚡,6780,1,#LQ2QJ9GJ,☠☠☠EMO☠☠☠,16000029,Electro Wizard,6,6,Zap,14,14,Balloon,9,9,Inferno Dragon,6,6,Mega Knight,6,6,Fireball,12,12,Bandit,6,6,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UGC2JJ8,hussain,6784,0,#G9LGQR,PhatKatz,16000008,Earthquake,12,12,Royal Hogs,12,12,Fire Spirit,14,14,The Log,6,6,Archer Queen,4,4,Skeletons,14,14,Goblin Cage,12,12,Royal Delivery,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T103202.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PURLJVQYP,⚡⚡Kid Buu⚡⚡,6802,0,#LQ2QJ9GJ,☠☠☠EMO☠☠☠,16000029,Electro Wizard,6,6,Zap,14,14,Balloon,9,9,Inferno Dragon,6,6,Mega Knight,6,6,Fireball,12,12,Bandit,6,6,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8899L8V20,OKAN,6888,1,#LVRL8VPG,come on da,16000030,Princess,6,6,Goblin Barrel,9,9,The Log,6,6,Knight,14,14,Goblin Gang,14,14,Inferno Tower,12,12,Rocket,12,12,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T102611.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PURLJVQYP,⚡⚡Kid Buu⚡⚡,6828,1,#LQ2QJ9GJ,☠☠☠EMO☠☠☠,16000029,Electro Wizard,6,6,Zap,14,14,Balloon,9,9,Inferno Dragon,6,6,Mega Knight,6,6,Fireball,12,12,Bandit,6,6,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#200U8CULL,RoCaT,6871,2,#LR0UL202,Twitter@RoCaT20,16000179,Lava Hound,6,6,Arrows,14,14,Electro Dragon,9,9,Flying Machine,12,12,Skeleton Dragons,14,14,Tombstone,12,12,Barbarians,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T101911.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PURLJVQYP,⚡⚡Kid Buu⚡⚡,6808,1,#LQ2QJ9GJ,☠☠☠EMO☠☠☠,16000029,Electro Wizard,6,6,Zap,14,14,Balloon,9,9,Inferno Dragon,6,6,Mega Knight,6,6,Fireball,12,12,Bandit,6,6,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JQUGGRVR,ᴬᵉᵗʰʳᶦˡ❤️傾ける™ッ✨,6689,0,#2L0909VP,Systematic,16000030,Mega Knight,6,6,Inferno Dragon,6,6,Royal Ghost,6,6,Ram Rider,6,6,Electro Wizard,6,6,Bandit,6,6,Zap,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T101337.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PURLJVQYP,⚡⚡Kid Buu⚡⚡,6783,2,#LQ2QJ9GJ,☠☠☠EMO☠☠☠,16000029,Electro Wizard,6,6,Zap,14,14,Balloon,9,9,Inferno Dragon,6,6,Mega Knight,6,6,Fireball,12,12,Bandit,6,6,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28YP9JV8,❤️Dany_Boon❤️,6735,0,#Y080RYJ8,Fondue suisse,16000060,Ice Golem,12,12,Musketeer,12,12,Barbarian Barrel,9,9,Bomb Tower,12,12,Giant Snowball,14,14,Balloon,9,9,Skeletons,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T100931.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PURLJVQYP,⚡⚡Kid Buu⚡⚡,6745,3,#LQ2QJ9GJ,☠☠☠EMO☠☠☠,16000029,Electro Wizard,6,6,Zap,14,14,Balloon,9,9,Inferno Dragon,6,6,Mega Knight,6,6,Fireball,12,12,Bandit,6,6,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JQJL2PU,Infinity Mukul,6845,1,#8UL8V0Q0,CLASHwithINDIAN,16000059,Lava Hound,6,6,Mega Minion,12,12,Tombstone,12,12,Barbarians,14,14,Lightning,9,9,Zap,14,14,Skeleton Dragons,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T100605.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PURLJVQYP,⚡⚡Kid Buu⚡⚡,6777,0,#LQ2QJ9GJ,☠☠☠EMO☠☠☠,16000029,Electro Wizard,6,6,Zap,14,14,Balloon,9,9,Inferno Dragon,6,6,Mega Knight,6,6,Fireball,12,12,Bandit,6,6,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CJYLJ2LP,沼りんご/Swampple,6750,1,,,,The Log,6,6,Princess,6,6,Goblin Barrel,9,9,Tesla,14,14,Electro Spirit,14,14,Skeletons,14,14,Valkyrie,12,12,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20220104T100044.000Z,,54000040,Legendary Arena,72000006,Ladder,,collection,#PURLJVQYP,⚡⚡Kid Buu⚡⚡,6806,0,#LQ2QJ9GJ,☠☠☠EMO☠☠☠,16000029,Electro Wizard,6,6,Zap,14,14,Balloon,9,9,Inferno Dragon,6,6,Mega Knight,6,6,Fireball,12,12,Bandit,6,6,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20U9UYVPV,TRT丨✨Hxm❤️烟雨✨,6812,1,,,,Bandit,6,6,Mega Knight,6,6,Royal Ghost,6,6,Electro Spirit,14,14,Giant Snowball,14,14,Ram Rider,6,6,Archer Queen,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
