type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20211224T164656.000Z,,54000050,Legendary Arena,72000044,Ladder_GoldRush,,collection,#PVRRVRJG8,❤️HinataHyuga❤️,6972,1,#PRR8Q8PL,le pecore nere,16000081,Minions,14,14,Freeze,9,9,Ice Golem,12,12,Hog Rider,12,12,Zap,14,14,Elite Barbarians,14,14,Heal Spirit,11,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PURLYU29,TRT｜Bacteria,6964,0,#L9JQPYG2,天真可爱の少✨女❤️,16000108,Earthquake,12,12,Archer Queen,4,4,Royal Hogs,12,12,The Log,6,6,Royal Delivery,14,14,Skeletons,14,14,Fire Spirit,14,14,Goblin Cage,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20211224T164346.000Z,,54000050,Legendary Arena,72000044,Ladder_GoldRush,,collection,#PVRRVRJG8,❤️HinataHyuga❤️,6940,1,#PRR8Q8PL,le pecore nere,16000081,Minions,14,14,Freeze,9,9,Ice Golem,12,12,Hog Rider,12,12,Zap,14,14,Elite Barbarians,14,14,Heal Spirit,11,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V098RUPP,Just_Slink,6971,0,#PY2QCJ28,Mex. Army,16000145,Electro Spirit,14,14,Skeleton Barrel,14,14,Mortar,14,14,The Log,6,6,Cannon Cart,9,9,Spear Goblins,14,14,Mega Minion,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20211224T164034.000Z,,54000050,Legendary Arena,72000044,Ladder_GoldRush,,collection,#PVRRVRJG8,❤️HinataHyuga❤️,6913,2,#PRR8Q8PL,le pecore nere,16000081,Minions,14,14,Freeze,9,9,Ice Golem,12,12,Hog Rider,12,12,Zap,14,14,Elite Barbarians,14,14,Heal Spirit,11,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#90Y02208R,Jävï Ël Prö,6888,0,#LP9PQRPJ,game+overr⚡,16000146,Lava Hound,6,6,Balloon,9,9,Goblin Cage,12,12,Valkyrie,12,12,Skeleton Dragons,14,14,Zap,14,14,Fireball,12,12,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20211224T163724.000Z,,54000050,Legendary Arena,72000044,Ladder_GoldRush,,collection,#PVRRVRJG8,❤️HinataHyuga❤️,6883,3,#PRR8Q8PL,le pecore nere,16000081,Minions,14,14,Freeze,9,9,Ice Golem,12,12,Hog Rider,12,12,Zap,14,14,Elite Barbarians,14,14,Heal Spirit,11,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92UJYYVJ,Lemon Child,6883,0,#PGLQ0VQ,Lost Orbit,16000096,Lava Hound,6,6,Skeleton Dragons,14,14,Mega Minion,12,12,Tombstone,12,12,Guards,9,9,Zap,14,14,Balloon,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20211224T163457.000Z,,54000050,Legendary Arena,72000044,Ladder_GoldRush,,collection,#PVRRVRJG8,❤️HinataHyuga❤️,6854,1,#PRR8Q8PL,le pecore nere,16000081,Minions,14,14,Freeze,9,9,Ice Golem,12,12,Hog Rider,12,12,Zap,14,14,Elite Barbarians,14,14,Heal Spirit,11,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PVUCC,Suchteffekt,6849,0,#8U0CPGQR,Team Str¥ng™,16000168,Bats,14,14,Knight,14,14,The Log,6,6,Musketeer,12,12,Spear Goblins,14,14,Mortar,14,14,Miner,6,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20211224T163058.000Z,,54000050,Legendary Arena,72000044,Ladder_GoldRush,,collection,#PVRRVRJG8,❤️HinataHyuga❤️,6825,2,#PRR8Q8PL,le pecore nere,16000081,Minions,14,14,Freeze,9,9,Ice Golem,12,12,Hog Rider,12,12,Zap,14,14,Elite Barbarians,14,14,Heal Spirit,11,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J8Q0J9U,jehad,6814,0,#Q0RL2GRU,The Invincibles,16000159,Electro Wizard,6,6,Hunter,9,9,P.E.K.K.A,9,9,Royal Ghost,6,6,Lightning,9,9,Ram Rider,6,6,Zap,14,14,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20211224T162718.000Z,,54000050,Legendary Arena,72000044,Ladder_GoldRush,,collection,#PVRRVRJG8,❤️HinataHyuga❤️,6797,1,#PRR8Q8PL,le pecore nere,16000081,Minions,14,14,Freeze,9,9,Ice Golem,12,12,Hog Rider,12,12,Zap,14,14,Elite Barbarians,14,14,Heal Spirit,11,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22080PY22,jay,6779,0,#L8YUV8UY,SmokedOut,16000035,Electro Spirit,14,14,The Log,6,6,Skeletons,14,14,Archers,14,14,Fireball,12,12,Knight,14,14,X-Bow,9,9,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20211224T162227.000Z,,54000050,Legendary Arena,72000044,Ladder_GoldRush,,collection,#PVRRVRJG8,❤️HinataHyuga❤️,6824,0,#PRR8Q8PL,le pecore nere,16000081,Minions,14,14,Freeze,9,9,Ice Golem,12,12,Hog Rider,12,12,Zap,14,14,Elite Barbarians,14,14,Heal Spirit,11,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VJRJ90GY,매직JOEY,6856,1,#LRC29YY0,BetaGo,16000014,Goblin Drill,9,9,Bandit,6,6,Royal Ghost,6,6,Skeletons,13,14,Cannon Cart,9,9,Electro Wizard,6,6,Magic Archer,6,6,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20211224T161818.000Z,,54000050,Legendary Arena,72000044,Ladder_GoldRush,,collection,#PVRRVRJG8,❤️HinataHyuga❤️,6794,1,#PRR8Q8PL,le pecore nere,16000081,Minions,14,14,Freeze,9,9,Ice Golem,12,12,Hog Rider,12,12,Zap,14,14,Elite Barbarians,14,14,Heal Spirit,11,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QYQUYG0YQ,⚡AMIR.SINGLE⚡,6801,0,#LVPQVYVU,best friends,16000005,Golem,9,9,Elite Barbarians,14,14,Bomber,14,14,Night Witch,6,6,Lumberjack,6,6,Zap,14,14,Arrows,13,14,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20211224T152512.000Z,,54000050,Legendary Arena,72000044,Ladder_GoldRush,,collection,#PVRRVRJG8,❤️HinataHyuga❤️,6765,1,#PRR8Q8PL,le pecore nere,16000081,Minions,14,14,Freeze,9,9,Ice Golem,12,12,Hog Rider,12,12,Zap,14,14,Elite Barbarians,14,14,Heal Spirit,11,12,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y8G8200LV,とりょー。,6755,0,#Y0RG92,CLUB.C.S.C,16000028,Royal Recruits,14,14,Royal Hogs,12,12,Flying Machine,12,12,Zappies,12,12,Goblin Cage,12,12,Zap,13,14,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
